league,team,color_hex
austria,EC Red Bull Salzburg,
austria,EC iDM Wärmepumpen VSV,
austria,EC-KAC,
austria,FTC-Telekom,
austria,HC Falkensteiner Pustertal,
austria,HC TIWAG Innsbruck - Die Haie,
austria,HCB Südtirol Alperia,
austria,Hydro Fehervar AV 19,
austria,Moser Medical Graz99ers,
austria,Olimpija Ljubljana,
austria,Pioneers Vorarlberg,
austria,Steinbach Black Wings Linz,
austria,Vienna Capitals,
czech,BK Mladá Boleslav,
czech,Bílí Tygři Liberec,
czech,HC Dynamo Pardubice,
czech,HC Energie Karlovy Vary,
czech,HC Kometa Brno,
czech,HC Oceláři Třinec,
czech,HC Olomouc,
czech,HC Sparta Praha,
czech,HC VERVA Litvínov,
czech,HC VÍTKOVICE RIDERA,
czech,HC Škoda Plzeň,
czech,Mountfield HK,
czech,Rytíři Kladno,
czech,Č. Budějovice,
finland,HIFK,
finland,HPK,
finland,Ilves,
finland,JYP,
finland,Jukurit,
finland,K-Espoo,
finland,KalPa,
finland,KooKoo,
finland,Kärpät,
finland,Lukko,
finland,Pelicans,
finland,SaiPa,
finland,Sport,
finland,TPS,
finland,Tappara,
finland,Ässät,
germany,Adler Mannheim,
germany,Augsburger Panther,
germany,Dresdner Eislöwen,
germany,EHC Red Bull München,
germany,ERC Ingolstadt,
germany,Eisbären Berlin,
germany,Grizzlys Wolfsburg,
germany,Iserlohn Roosters,
germany,Kölner Haie,
germany,Löwen Frankfurt,
germany,Nürnberg Ice Tigers,
germany,Pinguins Bremerhaven,
germany,Schwenninger Wild Wings,
germany,Straubing Tigers,
slovakia,HC 19 Humenné,
slovakia,HC Košice s.r.o.,
slovakia,"HC SLOVAN Bratislava, a.s.",#66b3ff
slovakia,"HC ‘05 BANSKÁ BYSTRICA, a.s.",
slovakia,"HK Nitra, s.r.o.",
slovakia,"HK Rysy, s.r.o.",
slovakia,"HK Skalica, s.r.o.",
slovakia,HKM a.s,
slovakia,"Hokejový klub DUKLA Trenčín, a.s.",
slovakia,Hokejový klub Dukla Ingema Michalovce,
slovakia,Hokejový klub Poprad a.s.,
slovakia,"Mestský Hokejový klub 32 Liptovský Mikuláš, a.s.",
slovakia,Presov Hockey a.s.,
slovakia,"VLCI ŽILINA, a.s.",
sweden,Brynäs IF,
sweden,Djurgårdens IF,
sweden,Frölunda HC,
sweden,Färjestad BK,
sweden,IF Malmö Redhawks,
sweden,Luleå HF,
sweden,Rögle BK,
sweden,Skellefteå AIK,
sweden,Växjö Lakers HC,
sweden,Örebro HK,
switzerland,EHC Biel-Bienne,
switzerland,EHC Kloten,
switzerland,EV Zug,
switzerland,Fribourg-Gottéron,
switzerland,Genève-Servette HC,
switzerland,HC Ajoie,
switzerland,HC Ambri-Piotta,
switzerland,HC Davos,
switzerland,HC Lugano,
switzerland,Lausanne HC,
switzerland,SC Bern,
switzerland,SC Rapperswil-Jona Lakers,
switzerland,SCL Tigers,
switzerland,SCRJ Lakers,
switzerland,ZSC Lions,
