player,team,goals,assists,points,penalties,pim
Meyer Nicolai,Olimpija Ljubljana,21,42,63,7,16
Haudum Lukas,Moser Medical Graz99ers,11,50,61,14,31
From Mathias,EC-KAC,30,30,60,15,38
Raffl Michael,EC Red Bull Salzburg,20,35,55,17,63
Brennan Terrence James,Olimpija Ljubljana,22,32,54,19,82
Schneider Cole,HCB Südtirol Alperia,18,36,54,4,8
Bailen Nicholas,Moser Medical Graz99ers,11,42,53,11,28
Knott Graham,Steinbach Black Wings Linz,21,29,50,11,22
Shaw Braeden,FTC-Telekom,19,31,50,6,12
Pollock Brett,HCB Südtirol Alperia,18,32,50,9,20
Helewka Adam,EC iDM Wärmepumpen VSV,27,22,49,17,48
Bowlby Henry,HC Falkensteiner Pustertal,21,28,49,14,30
Vey Linden,Vienna Capitals,12,35,47,12,34
St. Denis Travis,EC Red Bull Salzburg,21,24,45,10,30
Benker Sebastian,HC TIWAG Innsbruck - Die Haie,16,29,45,5,10
Scherbak Nikita,EC iDM Wärmepumpen VSV,10,35,45,8,16
Bardreau Cole,HC Falkensteiner Pustertal,18,26,44,15,38
Bradley Matt,HCB Südtirol Alperia,13,31,44,12,26
Petersen Nicholas Eric,EC-KAC,18,25,43,8,48
Coulter Tyler,FTC-Telekom,17,26,43,11,22
Hancock Kevin,EC iDM Wärmepumpen VSV,15,28,43,9,18
Mursak Jan,EC-KAC,14,29,43,7,26
Roy Kevin,Moser Medical Graz99ers,14,29,43,4,8
Souch Carter,Vienna Capitals,21,21,42,4,8
Barron Travis,Steinbach Black Wings Linz,18,24,42,12,39
Currie Josh,Moser Medical Graz99ers,18,24,42,8,39
Boychuk Zach,Olimpija Ljubljana,16,26,42,15,48
Gersich Shane,HCB Südtirol Alperia,16,26,42,15,34
Lebler Brian,Steinbach Black Wings Linz,21,20,41,13,55
Mahkovec Marcel,Olimpija Ljubljana,20,21,41,1,2
Gildon Max,HCB Südtirol Alperia,7,34,41,16,46
McClure Brad,HCB Südtirol Alperia,26,14,40,8,24
Ticar Rok,HC Falkensteiner Pustertal,16,24,40,11,28
Schwinger Simeon,EC-KAC,20,18,38,10,24
Kuralt Anze,Hydro Fehervar AV 19,18,20,38,8,39
Quince Marly,Olimpija Ljubljana,14,24,38,12,26
Collins Chris,Moser Medical Graz99ers,23,14,37,4,8
Gazley Dustin,HCB Südtirol Alperia,18,19,37,2,4
Bourke Troy Wayne,EC Red Bull Salzburg,16,21,37,6,15
Purdeller Tommy,HC Falkensteiner Pustertal,18,18,36,9,24
Hari Janos,Hydro Fehervar AV 19,14,22,36,5,14
Huber Paul,Moser Medical Graz99ers,21,14,35,6,14
Nissner Benjamin,EC Red Bull Salzburg,12,23,35,15,44
Petan Alex,Olimpija Ljubljana,9,26,35,16,48
Franklin Zane,Vienna Capitals,14,20,34,13,28
Hughes John,EC iDM Wärmepumpen VSV,11,23,34,8,18
Hults Mitch,Vienna Capitals,9,25,34,12,26
Messner Joel,Hydro Fehervar AV 19,8,26,34,18,48
Ierullo Alexander Joseph,HC Falkensteiner Pustertal,12,21,33,12,72
Di Tomaso Greg,HC Falkensteiner Pustertal,10,23,33,8,16
Herburger Raphael,EC-KAC,9,24,33,8,18
Robertson Dennis,EC Red Bull Salzburg,6,27,33,18,42
Hutchison Nick,EC iDM Wärmepumpen VSV,17,15,32,17,73
Maier Oskar,Pioneers Vorarlberg,14,18,32,3,8
Dornbach Casey,Pioneers Vorarlberg,7,25,32,15,30
Tammela Jussi,FTC-Telekom,18,13,31,12,29
Adams Collin,Pioneers Vorarlberg,17,14,31,5,12
Bengtsson Rasmus,FTC-Telekom,6,25,31,9,18
Masic Bine,Olimpija Ljubljana,3,28,31,8,18
St-Amant Shawn,Steinbach Black Wings Linz,16,14,30,5,10
Thaler Lucas,EC Red Bull Salzburg,13,17,30,12,37
Corcoran Connor,EC Red Bull Salzburg,11,19,30,7,24
Kempe Mario,EC-KAC,10,20,30,1,2
Unterweger Clemens,EC-KAC,6,24,30,7,16
Fraser Matthew,EC-KAC,18,11,29,12,24
Vela Marcus,Moser Medical Graz99ers,14,15,29,17,57
Rueschhoff Austin,HC Falkensteiner Pustertal,14,15,29,16,40
Ganahl Manuel,Moser Medical Graz99ers,8,21,29,14,30
Gallant Cole,Pioneers Vorarlberg,8,21,29,2,4
Ograjensek Ken,Steinbach Black Wings Linz,6,23,29,5,10
Lindgren Jesper,FTC-Telekom,2,27,29,3,6
Corbeil Benjamin,HC TIWAG Innsbruck - Die Haie,16,12,28,7,14
Green Gordon,FTC-Telekom,12,16,28,7,18
Schneider Peter,EC Red Bull Salzburg,10,18,28,8,18
Blum Jonathon,HC Falkensteiner Pustertal,5,23,28,5,10
Cheek Trevor,Hydro Fehervar AV 19,14,13,27,19,44
Kestila Aku,FTC-Telekom,14,13,27,11,22
Erdely Csanad,Hydro Fehervar AV 19,14,13,27,10,20
Wilkins Mathew,HC TIWAG Innsbruck - Die Haie,13,14,27,14,52
van Ee Finn,EC-KAC,12,15,27,23,52
Bourque Simon,Vienna Capitals,9,18,27,10,79
Frycklund Mats Mikael,HC Falkensteiner Pustertal,9,18,27,8,16
Nickl Thimo,EC-KAC,3,24,27,18,38
Gerlach Maxwell Nicholas,Hydro Fehervar AV 19,14,12,26,7,16
Coe Brandon,EC Red Bull Salzburg,11,15,26,6,12
Saracino Nicholas Samuel,HC Falkensteiner Pustertal,11,15,26,2,4
Florchuk Eric,Pioneers Vorarlberg,10,16,26,8,16
Lajeunesse Troy,HC TIWAG Innsbruck - Die Haie,10,16,26,6,14
Lipon JC,HC Falkensteiner Pustertal,8,18,26,13,40
Gazzola Randy,Vienna Capitals,8,18,26,2,4
Kudla Patrick,HC TIWAG Innsbruck - Die Haie,3,23,26,10,22
Huber Mario,EC Red Bull Salzburg,14,11,25,2,27
Owre Steven,HC TIWAG Innsbruck - Die Haie,13,12,25,4,10
van Nes Guus,EC iDM Wärmepumpen VSV,12,13,25,6,23
Coatta Max,HC TIWAG Innsbruck - Die Haie,12,13,25,5,10
Schiechl Michael,Moser Medical Graz99ers,11,14,25,5,10
Drozg Jan,Olimpija Ljubljana,11,14,25,3,6
Archibald Darren,Hydro Fehervar AV 19,10,15,25,6,12
Andersen Ol Einar Engeland,Hydro Fehervar AV 19,3,22,25,8,18
Jensen Aabo Jesper,EC-KAC,2,23,25,6,14
Digiacinto Cristiano,HCB Südtirol Alperia,10,14,24,16,71
MacPherson Dylan,EC iDM Wärmepumpen VSV,5,19,24,5,10
Roehl Louie,Pioneers Vorarlberg,1,23,24,12,24
Pance Ziga,Olimpija Ljubljana,14,9,23,12,27
Baltram Florian,EC Red Bull Salzburg,9,14,23,2,4
Raffl Thomas,EC Red Bull Salzburg,8,15,23,13,51
Romig Emilio,Steinbach Black Wings Linz,6,17,23,13,26
Macierzynski Kevin,Pioneers Vorarlberg,12,10,22,13,30
Lindner Philipp,EC iDM Wärmepumpen VSV,8,14,22,11,45
Lauridsen Markus,HC Falkensteiner Pustertal,5,17,22,5,10
Nienhuis Nash,EC Red Bull Salzburg,3,19,22,4,8
Swaney Nick,Moser Medical Graz99ers,9,12,21,3,8
Sabolic Robert,Olimpija Ljubljana,6,15,21,3,14
Roe Logan,Steinbach Black Wings Linz,4,17,21,11,26
Samuelsson Philip,HCB Südtirol Alperia,2,19,21,9,18
Polei Evan,Olimpija Ljubljana,13,7,20,6,14
Wallenta Elias Jeronimo,EC iDM Wärmepumpen VSV,7,13,20,6,37
Wall Alex,EC iDM Wärmepumpen VSV,5,15,20,12,28
Sproule Emmett,HC TIWAG Innsbruck - Die Haie,4,16,20,3,6
Simsic Nik,Olimpija Ljubljana,10,9,19,8,18
Frigo Luca,HCB Südtirol Alperia,10,9,19,5,14
Mantenuto Daniel,HCB Südtirol Alperia,7,12,19,5,12
Richards Justin,Hydro Fehervar AV 19,6,13,19,9,24
Bartalis Istvan,Hydro Fehervar AV 19,6,13,19,4,10
Hults Cole,Vienna Capitals,4,15,19,13,62
Koch Anders,Moser Medical Graz99ers,1,18,19,6,12
Gregoire Jeremy,Vienna Capitals,14,4,18,9,36
Rebernig Maximilian,EC iDM Wärmepumpen VSV,10,8,18,3,11
Hundertpfund Thomas,EC-KAC,6,12,18,7,16
