season,round,round_index,team,elo
2025-26,1,1,EC Red Bull Salzburg,1510.0
2025-26,1,1,EC iDM Wärmepumpen VSV,1510.99
2025-26,1,1,EC-KAC,1516.09
2025-26,1,1,FTC-Telekom,1489.01
2025-26,1,1,HC Falkensteiner Pustertal,1520.79
2025-26,1,1,HC TIWAG Innsbruck - Die Haie,1479.21
2025-26,1,1,HCB Südtirol Alperia,1490.0
2025-26,1,1,Hydro Fehervar AV 19,1483.91
2025-26,1,1,Olimpija Ljubljana,1520.79
2025-26,1,1,Pioneers Vorarlberg,1486.14
2025-26,1,1,Steinbach Black Wings Linz,1513.86
2025-26,1,1,Vienna Capitals,1479.21
2025-26,2,2,EC Red Bull Salzburg,1524.07
2025-26,2,2,EC iDM Wärmepumpen VSV,1493.65
2025-26,2,2,EC-KAC,1502.03
2025-26,2,2,FTC-Telekom,1478.73
2025-26,2,2,HC Falkensteiner Pustertal,1503.9
2025-26,2,2,HC TIWAG Innsbruck - Die Haie,1489.41
2025-26,2,2,HCB Südtirol Alperia,1490.0
2025-26,2,2,Hydro Fehervar AV 19,1494.77
2025-26,2,2,Moser Medical Graz99ers,1516.9
2025-26,2,2,Olimpija Ljubljana,1538.13
2025-26,2,2,Pioneers Vorarlberg,1475.94
2025-26,2,2,Steinbach Black Wings Linz,1503.0
2025-26,2,2,Vienna Capitals,1489.49
2025-26,3,3,EC Red Bull Salzburg,1533.19
2025-26,3,3,EC iDM Wärmepumpen VSV,1484.52
2025-26,3,3,EC-KAC,1516.89
2025-26,3,3,FTC-Telekom,1463.87
2025-26,3,3,HC Falkensteiner Pustertal,1503.9
2025-26,3,3,HC TIWAG Innsbruck - Die Haie,1479.56
2025-26,3,3,HCB Südtirol Alperia,1508.55
2025-26,3,3,Hydro Fehervar AV 19,1504.61
2025-26,3,3,Moser Medical Graz99ers,1507.51
2025-26,3,3,Olimpija Ljubljana,1547.52
2025-26,3,3,Pioneers Vorarlberg,1457.38
2025-26,3,3,Steinbach Black Wings Linz,1492.61
2025-26,3,3,Vienna Capitals,1499.88
2025-26,4,4,EC Red Bull Salzburg,1542.98
2025-26,4,4,EC iDM Wärmepumpen VSV,1471.55
2025-26,4,4,EC-KAC,1500.47
2025-26,4,4,FTC-Telekom,1480.57
2025-26,4,4,HC Falkensteiner Pustertal,1516.87
2025-26,4,4,HC TIWAG Innsbruck - Die Haie,1462.86
2025-26,4,4,HCB Südtirol Alperia,1524.97
2025-26,4,4,Hydro Fehervar AV 19,1486.87
2025-26,4,4,Moser Medical Graz99ers,1525.25
2025-26,4,4,Olimpija Ljubljana,1560.36
2025-26,4,4,Pioneers Vorarlberg,1444.54
2025-26,4,4,Steinbach Black Wings Linz,1492.61
2025-26,4,4,Vienna Capitals,1490.09
2025-26,5,5,EC Red Bull Salzburg,1532.23
2025-26,5,5,EC iDM Wärmepumpen VSV,1490.37
2025-26,5,5,EC-KAC,1491.18
2025-26,5,5,FTC-Telekom,1471.17
2025-26,5,5,HC Falkensteiner Pustertal,1527.62
2025-26,5,5,HC TIWAG Innsbruck - Die Haie,1449.32
2025-26,5,5,HCB Südtirol Alperia,1534.37
2025-26,5,5,Hydro Fehervar AV 19,1486.87
2025-26,5,5,Moser Medical Graz99ers,1534.54
2025-26,5,5,Olimpija Ljubljana,1573.9
2025-26,5,5,Pioneers Vorarlberg,1456.71
2025-26,5,5,Steinbach Black Wings Linz,1473.79
2025-26,5,5,Vienna Capitals,1477.92
2025-26,6,6,EC Red Bull Salzburg,1542.77
2025-26,6,6,EC iDM Wärmepumpen VSV,1501.64
2025-26,6,6,EC-KAC,1491.18
2025-26,6,6,FTC-Telekom,1482.78
2025-26,6,6,HC Falkensteiner Pustertal,1516.01
2025-26,6,6,HC TIWAG Innsbruck - Die Haie,1436.76
2025-26,6,6,HCB Südtirol Alperia,1542.65
2025-26,6,6,Hydro Fehervar AV 19,1479.32
2025-26,6,6,Moser Medical Graz99ers,1523.28
2025-26,6,6,Olimpija Ljubljana,1581.45
2025-26,6,6,Pioneers Vorarlberg,1446.17
2025-26,6,6,Steinbach Black Wings Linz,1465.52
2025-26,6,6,Vienna Capitals,1490.48
2025-26,7,7,EC Red Bull Salzburg,1528.9
2025-26,7,7,EC iDM Wärmepumpen VSV,1513.02
2025-26,7,7,EC-KAC,1500.44
2025-26,7,7,FTC-Telekom,1482.78
2025-26,7,7,HC Falkensteiner Pustertal,1525.68
2025-26,7,7,HC TIWAG Innsbruck - Die Haie,1449.2
2025-26,7,7,HCB Südtirol Alperia,1556.51
2025-26,7,7,Hydro Fehervar AV 19,1469.65
2025-26,7,7,Moser Medical Graz99ers,1510.84
2025-26,7,7,Olimpija Ljubljana,1568.2
2025-26,7,7,Pioneers Vorarlberg,1434.79
2025-26,7,7,Steinbach Black Wings Linz,1456.26
2025-26,7,7,Vienna Capitals,1503.73
2025-26,8,8,EC Red Bull Salzburg,1516.84
2025-26,8,8,EC iDM Wärmepumpen VSV,1500.91
2025-26,8,8,EC-KAC,1509.94
2025-26,8,8,FTC-Telekom,1473.29
2025-26,8,8,HC Falkensteiner Pustertal,1535.05
2025-26,8,8,HC TIWAG Innsbruck - Die Haie,1449.2
2025-26,8,8,HCB Südtirol Alperia,1567.81
2025-26,8,8,Hydro Fehervar AV 19,1481.76
2025-26,8,8,Moser Medical Graz99ers,1518.68
2025-26,8,8,Olimpija Ljubljana,1556.9
2025-26,8,8,Pioneers Vorarlberg,1426.94
2025-26,8,8,Steinbach Black Wings Linz,1468.32
2025-26,8,8,Vienna Capitals,1494.37
2025-26,9,9,EC Red Bull Salzburg,1526.19
2025-26,9,9,EC iDM Wärmepumpen VSV,1514.31
2025-26,9,9,EC-KAC,1509.94
2025-26,9,9,FTC-Telekom,1484.59
2025-26,9,9,HC Falkensteiner Pustertal,1546.89
2025-26,9,9,HC TIWAG Innsbruck - Die Haie,1435.8
2025-26,9,9,HCB Südtirol Alperia,1555.97
2025-26,9,9,Hydro Fehervar AV 19,1466.12
2025-26,9,9,Moser Medical Graz99ers,1507.38
2025-26,9,9,Olimpija Ljubljana,1568.51
2025-26,9,9,Pioneers Vorarlberg,1442.59
2025-26,9,9,Steinbach Black Wings Linz,1456.71
2025-26,9,9,Vienna Capitals,1485.01
2025-26,10,10,EC Red Bull Salzburg,1514.48
2025-26,10,10,EC iDM Wärmepumpen VSV,1529.54
2025-26,10,10,EC-KAC,1521.0
2025-26,10,10,FTC-Telekom,1501.39
2025-26,10,10,HC Falkensteiner Pustertal,1535.83
2025-26,10,10,HC TIWAG Innsbruck - Die Haie,1449.44
2025-26,10,10,HCB Südtirol Alperia,1540.74
2025-26,10,10,Hydro Fehervar AV 19,1477.83
2025-26,10,10,Moser Medical Graz99ers,1517.56
2025-26,10,10,Olimpija Ljubljana,1554.87
2025-26,10,10,Pioneers Vorarlberg,1425.79
2025-26,10,10,Steinbach Black Wings Linz,1456.71
2025-26,10,10,Vienna Capitals,1474.83
2025-26,11,11,EC Red Bull Salzburg,1505.64
2025-26,11,11,EC iDM Wärmepumpen VSV,1511.1
2025-26,11,11,EC-KAC,1529.67
2025-26,11,11,FTC-Telekom,1510.11
2025-26,11,11,HC Falkensteiner Pustertal,1543.09
2025-26,11,11,HC TIWAG Innsbruck - Die Haie,1440.26
2025-26,11,11,HCB Südtirol Alperia,1540.74
2025-26,11,11,Hydro Fehervar AV 19,1487.02
2025-26,11,11,Moser Medical Graz99ers,1535.99
2025-26,11,11,Olimpija Ljubljana,1563.71
2025-26,11,11,Pioneers Vorarlberg,1418.53
2025-26,11,11,Steinbach Black Wings Linz,1447.98
2025-26,11,11,Vienna Capitals,1466.16
2025-26,12,12,EC Red Bull Salzburg,1514.32
2025-26,12,12,EC iDM Wärmepumpen VSV,1521.07
2025-26,12,12,EC-KAC,1539.86
2025-26,12,12,FTC-Telekom,1500.14
2025-26,12,12,HC Falkensteiner Pustertal,1552.83
2025-26,12,12,HC TIWAG Innsbruck - Die Haie,1431.57
2025-26,12,12,HCB Südtirol Alperia,1552.19
2025-26,12,12,Hydro Fehervar AV 19,1475.56
2025-26,12,12,Moser Medical Graz99ers,1525.81
2025-26,12,12,Olimpija Ljubljana,1571.58
2025-26,12,12,Pioneers Vorarlberg,1410.67
2025-26,12,12,Steinbach Black Wings Linz,1438.25
2025-26,12,12,Vienna Capitals,1466.16
2025-26,13,13,EC Red Bull Salzburg,1531.4
2025-26,13,13,EC iDM Wärmepumpen VSV,1511.98
2025-26,13,13,EC-KAC,1548.03
2025-26,13,13,FTC-Telekom,1483.06
2025-26,13,13,HC Falkensteiner Pustertal,1561.92
2025-26,13,13,HC TIWAG Innsbruck - Die Haie,1422.82
2025-26,13,13,HCB Südtirol Alperia,1560.95
2025-26,13,13,Hydro Fehervar AV 19,1467.39
2025-26,13,13,Moser Medical Graz99ers,1513.34
2025-26,13,13,Olimpija Ljubljana,1571.58
2025-26,13,13,Pioneers Vorarlberg,1402.25
2025-26,13,13,Steinbach Black Wings Linz,1450.71
2025-26,13,13,Vienna Capitals,1474.57
2025-26,14,14,EC Red Bull Salzburg,1521.51
2025-26,14,14,EC iDM Wärmepumpen VSV,1499.47
2025-26,14,14,EC-KAC,1538.7
2025-26,14,14,FTC-Telekom,1475.27
2025-26,14,14,HC Falkensteiner Pustertal,1571.8
2025-26,14,14,HC TIWAG Innsbruck - Die Haie,1435.33
2025-26,14,14,HCB Südtirol Alperia,1568.74
2025-26,14,14,Hydro Fehervar AV 19,1447.15
2025-26,14,14,Moser Medical Graz99ers,1522.46
2025-26,14,14,Olimpija Ljubljana,1580.9
2025-26,14,14,Pioneers Vorarlberg,1393.14
2025-26,14,14,Steinbach Black Wings Linz,1470.95
2025-26,14,14,Vienna Capitals,1474.57
2025-26,15,15,EC Red Bull Salzburg,1507.98
2025-26,15,15,EC iDM Wärmepumpen VSV,1499.47
2025-26,15,15,EC-KAC,1550.48
2025-26,15,15,FTC-Telekom,1465.94
2025-26,15,15,HC Falkensteiner Pustertal,1583.45
2025-26,15,15,HC TIWAG Innsbruck - Die Haie,1425.62
2025-26,15,15,HCB Südtirol Alperia,1556.97
2025-26,15,15,Hydro Fehervar AV 19,1434.54
2025-26,15,15,Moser Medical Graz99ers,1510.81
2025-26,15,15,Olimpija Ljubljana,1590.22
2025-26,15,15,Pioneers Vorarlberg,1406.67
2025-26,15,15,Steinbach Black Wings Linz,1480.66
