game_id,season,date,round,round_index,home_team,away_team,home_score,away_score,is_overtime,is_shootout,home_elo_before,away_elo_before,expected_home_win,actual_home_score,elo_delta_home,home_elo_after,away_elo_after
3,2025-26,2025-09-12 00:00:00+00:00,1,1,EC-KAC,Hydro Fehervar AV 19,4.0,0.0,False,False,1500.0,1500.0,0.5,1.0,16.094,1516.09,1483.91
4,2025-26,2025-09-12 00:00:00+00:00,1,1,Steinbach Black Wings Linz,Pioneers Vorarlberg,5.0,2.0,False,False,1500.0,1500.0,0.5,1.0,13.863,1513.86,1486.14
5,2025-26,2025-09-12 00:00:00+00:00,1,1,FTC-Telekom,EC iDM Wärmepumpen VSV,2.0,4.0,False,False,1500.0,1500.0,0.5,0.0,-10.986,1489.01,1510.99
6,2025-26,2025-09-12 00:00:00+00:00,1,1,HC TIWAG Innsbruck - Die Haie,HC Falkensteiner Pustertal,1.0,8.0,False,False,1500.0,1500.0,0.5,0.0,-20.794,1479.21,1520.79
7,2025-26,2025-09-12 00:00:00+00:00,1,1,HCB Südtirol Alperia,EC Red Bull Salzburg,3.0,4.0,False,False,1500.0,1500.0,0.5,0.0,-10.0,1490.0,1510.0
8,2025-26,2025-09-12 00:00:00+00:00,1,1,Olimpija Ljubljana,Vienna Capitals,8.0,1.0,False,False,1500.0,1500.0,0.5,1.0,20.794,1520.79,1479.21
10,2025-26,2025-09-14 00:00:00+00:00,2,2,EC Red Bull Salzburg,EC-KAC,4.0,1.0,False,False,1510.0,1516.09,0.4912,1.0,14.067,1524.07,1502.03
11,2025-26,2025-09-14 00:00:00+00:00,2,2,Hydro Fehervar AV 19,Steinbach Black Wings Linz,1.0,0.0,False,False,1483.91,1513.86,0.457,1.0,10.86,1494.77,1503.0
12,2025-26,2025-09-14 00:00:00+00:00,2,2,Pioneers Vorarlberg,HC TIWAG Innsbruck - Die Haie,2.0,3.0,False,False,1486.14,1479.21,0.51,0.0,-10.199,1475.94,1489.41
13,2025-26,2025-09-14 00:00:00+00:00,2,2,HC Falkensteiner Pustertal,Moser Medical Graz99ers,0.0,4.0,False,False,1520.79,1500.0,0.5299,0.0,-16.897,1503.9,1516.9
14,2025-26,2025-09-14 00:00:00+00:00,2,2,Olimpija Ljubljana,EC iDM Wärmepumpen VSV,7.0,2.0,False,False,1520.79,1510.99,0.5141,1.0,17.335,1538.13,1493.65
9,2025-26,2025-09-14 00:00:00+00:00,2,2,Vienna Capitals,FTC-Telekom,3.0,2.0,False,False,1479.21,1489.01,0.4859,1.0,10.282,1489.49,1478.73
15,2025-26,2025-09-19 00:00:00+00:00,3,3,Moser Medical Graz99ers,Olimpija Ljubljana,3.0,4.0,False,False,1516.9,1538.13,0.4695,0.0,-9.39,1507.51,1547.52
16,2025-26,2025-09-19 00:00:00+00:00,3,3,Vienna Capitals,Steinbach Black Wings Linz,7.0,6.0,False,False,1489.49,1503.0,0.4806,1.0,10.389,1499.88,1492.61
17,2025-26,2025-09-19 00:00:00+00:00,3,3,EC Red Bull Salzburg,EC iDM Wärmepumpen VSV,2.0,1.0,False,False,1524.07,1493.65,0.5437,1.0,9.127,1533.19,1484.52
18,2025-26,2025-09-19 00:00:00+00:00,3,3,Pioneers Vorarlberg,HCB Südtirol Alperia,0.0,6.0,False,False,1475.94,1490.0,0.4798,0.0,-18.553,1457.38,1508.55
19,2025-26,2025-09-19 00:00:00+00:00,3,3,FTC-Telekom,EC-KAC,2.0,6.0,False,False,1478.73,1502.03,0.4665,0.0,-14.86,1463.87,1516.89
20,2025-26,2025-09-20 00:00:00+00:00,3,3,Hydro Fehervar AV 19,HC TIWAG Innsbruck - Die Haie,5.0,4.0,False,False,1494.77,1489.41,0.5077,1.0,9.846,1504.61,1479.56
22,2025-26,2025-09-21 00:00:00+00:00,4,4,Vienna Capitals,EC Red Bull Salzburg,1.0,3.0,False,False,1499.88,1533.19,0.4522,0.0,-9.788,1490.09,1542.98
23,2025-26,2025-09-21 00:00:00+00:00,4,4,EC-KAC,HCB Südtirol Alperia,1.0,5.0,False,False,1516.89,1508.55,0.512,0.0,-16.418,1500.47,1524.97
24,2025-26,2025-09-21 00:00:00+00:00,4,4,EC iDM Wärmepumpen VSV,HC Falkensteiner Pustertal,0.0,3.0,False,False,1484.52,1503.9,0.4721,0.0,-12.976,1471.55,1516.87
25,2025-26,2025-09-21 00:00:00+00:00,4,4,FTC-Telekom,HC TIWAG Innsbruck - Die Haie,6.0,2.0,False,False,1463.87,1479.56,0.4774,1.0,16.701,1480.57,1462.86
26,2025-26,2025-09-21 00:00:00+00:00,4,4,Olimpija Ljubljana,Pioneers Vorarlberg,6.0,1.0,False,False,1547.52,1457.38,0.6269,1.0,12.845,1560.36,1444.54
21,2025-26,2025-09-23 00:00:00+00:00,4,4,Moser Medical Graz99ers,Hydro Fehervar AV 19,9.0,4.0,False,False,1507.51,1504.61,0.5042,1.0,17.745,1525.25,1486.87
27,2025-26,2025-09-26 00:00:00+00:00,5,5,EC-KAC,Moser Medical Graz99ers,2.0,3.0,False,False,1500.47,1525.25,0.4644,0.0,-9.288,1491.18,1534.54
28,2025-26,2025-09-26 00:00:00+00:00,5,5,Steinbach Black Wings Linz,EC iDM Wärmepumpen VSV,3.0,8.0,False,False,1492.61,1471.55,0.5303,0.0,-18.822,1473.79,1490.37
29,2025-26,2025-09-26 00:00:00+00:00,5,5,Pioneers Vorarlberg,Vienna Capitals,4.0,2.0,False,False,1444.54,1490.09,0.4348,1.0,12.166,1456.71,1477.92
30,2025-26,2025-09-26 00:00:00+00:00,5,5,HC TIWAG Innsbruck - Die Haie,Olimpija Ljubljana,3.0,9.0,False,False,1462.86,1560.36,0.3632,0.0,-13.537,1449.32,1573.9
31,2025-26,2025-09-26 00:00:00+00:00,5,5,HCB Südtirol Alperia,FTC-Telekom,2.0,0.0,False,False,1524.97,1480.57,0.5635,1.0,9.4,1534.37,1471.17
32,2025-26,2025-09-26 00:00:00+00:00,5,5,HC Falkensteiner Pustertal,EC Red Bull Salzburg,2.0,1.0,False,False,1516.87,1542.98,0.4625,1.0,10.75,1527.62,1532.23
33,2025-26,2025-09-27 00:00:00+00:00,6,6,HC TIWAG Innsbruck - Die Haie,Vienna Capitals,1.0,4.0,False,False,1449.32,1477.92,0.4589,0.0,-12.561,1436.76,1490.48
34,2025-26,2025-09-27 00:00:00+00:00,6,6,HC Falkensteiner Pustertal,FTC-Telekom,2.0,3.0,False,False,1527.62,1471.17,0.5805,0.0,-11.611,1516.01,1482.78
35,2025-26,2025-09-28 00:00:00+00:00,6,6,Moser Medical Graz99ers,EC iDM Wärmepumpen VSV,3.0,4.0,False,False,1534.54,1490.37,0.5632,0.0,-11.264,1523.28,1501.64
36,2025-26,2025-09-28 00:00:00+00:00,6,6,EC Red Bull Salzburg,Pioneers Vorarlberg,4.0,1.0,False,False,1532.23,1456.71,0.607,1.0,10.534,1542.77,1446.17
37,2025-26,2025-09-28 00:00:00+00:00,6,6,HCB Südtirol Alperia,Steinbach Black Wings Linz,3.0,2.0,False,False,1534.37,1473.79,0.5863,1.0,8.274,1542.65,1465.52
38,2025-26,2025-09-28 00:00:00+00:00,6,6,Olimpija Ljubljana,Hydro Fehervar AV 19,3.0,2.0,False,False,1573.9,1486.87,0.6227,1.0,7.546,1581.45,1479.32
39,2025-26,2025-10-03 00:00:00+00:00,7,7,Vienna Capitals,Olimpija Ljubljana,3.0,1.0,False,False,1490.48,1581.45,0.372,1.0,13.251,1503.73,1568.2
40,2025-26,2025-10-03 00:00:00+00:00,7,7,EC Red Bull Salzburg,HCB Südtirol Alperia,1.0,4.0,False,False,1542.77,1542.65,0.5002,0.0,-13.867,1528.9,1556.51
41,2025-26,2025-10-03 00:00:00+00:00,7,7,EC iDM Wärmepumpen VSV,Pioneers Vorarlberg,5.0,2.0,False,False,1501.64,1446.17,0.5791,1.0,11.382,1513.02,1434.79
42,2025-26,2025-10-03 00:00:00+00:00,7,7,Hydro Fehervar AV 19,HC Falkensteiner Pustertal,1.0,3.0,False,False,1479.32,1516.01,0.4474,0.0,-9.669,1469.65,1525.68
43,2025-26,2025-10-03 00:00:00+00:00,7,7,Steinbach Black Wings Linz,EC-KAC,2.0,3.0,False,False,1465.52,1491.18,0.4631,0.0,-9.263,1456.26,1500.44
44,2025-26,2025-10-04 00:00:00+00:00,7,7,HC TIWAG Innsbruck - Die Haie,Moser Medical Graz99ers,3.0,2.0,False,False,1436.76,1523.28,0.378,1.0,12.44,1449.2,1510.84
45,2025-26,2025-10-04 00:00:00+00:00,8,8,Vienna Capitals,HC Falkensteiner Pustertal,4.0,5.0,False,False,1503.73,1525.68,0.4685,0.0,-9.369,1494.37,1535.05
46,2025-26,2025-10-05 00:00:00+00:00,8,8,EC-KAC,FTC-Telekom,3.0,2.0,False,False,1500.44,1482.78,0.5254,1.0,9.492,1509.94,1473.29
47,2025-26,2025-10-05 00:00:00+00:00,8,8,EC iDM Wärmepumpen VSV,Hydro Fehervar AV 19,2.0,4.0,False,False,1513.02,1469.65,0.5621,0.0,-12.112,1500.91,1481.76
48,2025-26,2025-10-05 00:00:00+00:00,8,8,Steinbach Black Wings Linz,EC Red Bull Salzburg,3.0,2.0,False,False,1456.26,1528.9,0.397,1.0,12.061,1468.32,1516.84
49,2025-26,2025-10-05 00:00:00+00:00,8,8,Pioneers Vorarlberg,Moser Medical Graz99ers,2.0,3.0,False,False,1434.79,1510.84,0.3923,0.0,-7.846,1426.94,1518.68
50,2025-26,2025-10-05 00:00:00+00:00,8,8,HCB Südtirol Alperia,Olimpija Ljubljana,4.0,2.0,False,False,1556.51,1568.2,0.4832,1.0,11.295,1567.81,1556.9
51,2025-26,2025-10-10 00:00:00+00:00,9,9,Moser Medical Graz99ers,FTC-Telekom,2.0,3.0,False,False,1518.68,1473.29,0.565,0.0,-11.299,1507.38,1484.59
52,2025-26,2025-10-10 00:00:00+00:00,9,9,EC Red Bull Salzburg,Vienna Capitals,4.0,3.0,False,False,1516.84,1494.37,0.5323,1.0,9.354,1526.19,1485.01
53,2025-26,2025-10-10 00:00:00+00:00,9,9,HC Falkensteiner Pustertal,HCB Südtirol Alperia,5.0,3.0,False,False,1535.05,1567.81,0.453,1.0,11.843,1546.89,1555.97
54,2025-26,2025-10-10 00:00:00+00:00,9,9,Olimpija Ljubljana,Steinbach Black Wings Linz,8.0,4.0,False,False,1556.9,1468.32,0.6248,1.0,11.61,1568.51,1456.71
55,2025-26,2025-10-11 00:00:00+00:00,9,9,EC iDM Wärmepumpen VSV,HC TIWAG Innsbruck - Die Haie,5.0,1.0,False,False,1500.91,1449.2,0.5739,1.0,13.402,1514.31,1435.8
56,2025-26,2025-10-11 00:00:00+00:00,9,9,Hydro Fehervar AV 19,Pioneers Vorarlberg,1.0,4.0,False,False,1481.76,1426.94,0.5782,0.0,-15.643,1466.12,1442.59
57,2025-26,2025-10-12 00:00:00+00:00,10,10,Vienna Capitals,Moser Medical Graz99ers,1.0,3.0,False,False,1485.01,1507.38,0.4678,0.0,-10.176,1474.83,1517.56
58,2025-26,2025-10-12 00:00:00+00:00,10,10,EC-KAC,HC Falkensteiner Pustertal,3.0,2.0,False,False,1509.94,1546.89,0.447,1.0,11.06,1521.0,1535.83
59,2025-26,2025-10-12 00:00:00+00:00,10,10,Hydro Fehervar AV 19,EC Red Bull Salzburg,3.0,2.0,False,False,1466.12,1526.19,0.4144,1.0,11.712,1477.83,1514.48
60,2025-26,2025-10-12 00:00:00+00:00,10,10,FTC-Telekom,Pioneers Vorarlberg,6.0,0.0,False,False,1484.59,1442.59,0.5602,1.0,16.797,1501.39,1425.79
