season,round,round_index,team,elo
2025-26,52,52,Moser Medical Graz99ers,1647.33
2025-26,52,52,EC Red Bull Salzburg,1628.35
2025-26,52,52,EC-KAC,1621.9
2025-26,52,52,Olimpija Ljubljana,1579.43
2025-26,52,52,HCB Südtirol Alperia,1560.28
2025-26,52,52,HC Falkensteiner Pustertal,1550.54
2025-26,52,52,Vienna Capitals,1508.86
2025-26,52,52,Steinbach Black Wings Linz,1477.84
2025-26,52,52,EC iDM Wärmepumpen VSV,1471.97
2025-26,52,52,Hydro Fehervar AV 19,1410.61
2025-26,52,52,FTC-Telekom,1386.23
2025-26,52,52,Pioneers Vorarlberg,1357.55
2025-26,52,52,HC TIWAG Innsbruck - Die Haie,1299.1
