league,team,state_diff,n_score,n_total,n_concede,p_score,p_concede,next_if_score,next_if_concede
austria,EC Red Bull Salzburg,-4,1,1,0,1.0,0.0,-3,-5
austria,EC Red Bull Salzburg,-3,1,3,2,0.3333,0.6667,-2,-4
austria,EC Red Bull Salzburg,-2,7,13,6,0.5385,0.4615,-1,-3
austria,EC Red Bull Salzburg,-1,31,45,14,0.6889,0.3111,0,-2
austria,EC Red Bull Salzburg,0,56,107,51,0.5234,0.4766,1,-1
austria,EC Red Bull Salzburg,1,35,59,24,0.5932,0.4068,2,0
austria,EC Red Bull Salzburg,2,21,34,13,0.6176,0.3824,3,1
austria,EC Red Bull Salzburg,3,13,16,3,0.8125,0.1875,4,2
austria,EC Red Bull Salzburg,4,3,5,2,0.6,0.4,5,3
austria,EC Red Bull Salzburg,5,1,1,0,1.0,0.0,6,4
austria,EC Red Bull Salzburg,6,1,1,0,1.0,0.0,7,5
austria,EC iDM Wärmepumpen VSV,-6,1,1,0,1.0,0.0,-5,-7
austria,EC iDM Wärmepumpen VSV,-5,2,3,1,0.6667,0.3333,-4,-6
austria,EC iDM Wärmepumpen VSV,-4,2,6,4,0.3333,0.6667,-3,-5
austria,EC iDM Wärmepumpen VSV,-3,6,12,6,0.5,0.5,-2,-4
austria,EC iDM Wärmepumpen VSV,-2,16,37,21,0.4324,0.5676,-1,-3
austria,EC iDM Wärmepumpen VSV,-1,19,54,35,0.3519,0.6481,0,-2
austria,EC iDM Wärmepumpen VSV,0,49,99,50,0.4949,0.5051,1,-1
austria,EC iDM Wärmepumpen VSV,1,31,57,26,0.5439,0.4561,2,0
austria,EC iDM Wärmepumpen VSV,2,25,40,15,0.625,0.375,3,1
austria,EC iDM Wärmepumpen VSV,3,7,20,13,0.35,0.65,4,2
austria,EC iDM Wärmepumpen VSV,4,2,4,2,0.5,0.5,5,3
austria,EC iDM Wärmepumpen VSV,5,0,1,1,0.0,1.0,6,4
austria,EC-KAC,-4,1,1,0,1.0,0.0,-3,-5
austria,EC-KAC,-3,3,5,2,0.6,0.4,-2,-4
austria,EC-KAC,-2,8,15,7,0.5333,0.4667,-1,-3
austria,EC-KAC,-1,22,36,14,0.6111,0.3889,0,-2
austria,EC-KAC,0,72,113,41,0.6372,0.3628,1,-1
austria,EC-KAC,1,41,78,37,0.5256,0.4744,2,0
austria,EC-KAC,2,28,45,17,0.6222,0.3778,3,1
austria,EC-KAC,3,11,21,10,0.5238,0.4762,4,2
austria,EC-KAC,4,3,5,2,0.6,0.4,5,3
austria,FTC-Telekom,-6,2,2,0,1.0,0.0,-5,-7
austria,FTC-Telekom,-5,2,4,2,0.5,0.5,-4,-6
austria,FTC-Telekom,-4,2,9,7,0.2222,0.7778,-3,-5
austria,FTC-Telekom,-3,11,24,13,0.4583,0.5417,-2,-4
