game_id,date,home_team,away_team,score,away_abbr,away_faceoffs,away_hits,away_pim,away_score,away_shots,home_abbr,home_faceoffs,home_hits,home_pim,home_score,home_shots,is_overtime,is_shootout,period_scores
2921768,2025-09-09,Č. Budějovice,HC Sparta Praha,2:3,SPA,28,2,6,3,26,CEB,23,1,4,2,28,0,0,"1:1, 0:1, 1:1"
2921766,2025-09-10,HC Oceláři Třinec,HC Olomouc,8:2,OLO,36,1,6,2,30,TRI,37,3,8,8,38,0,0,"1:1, 4:1, 3:0"
2921763,2025-09-10,Bílí Tygři Liberec,HC Škoda Plzeň,1:3,PLZ,22,3,10,3,25,LIB,39,3,12,1,24,0,0,"0:2, 1:0, 0:1"
2921764,2025-09-10,HC Dynamo Pardubice,Mountfield HK,7:1,MHK,24,5,19,1,33,PCE,33,4,15,7,29,0,0,"5:0, 2:1, 0:0"
2921765,2025-09-10,Rytíři Kladno,BK Mladá Boleslav,1:2,MBL,24,4,10,2,15,KLA,26,2,10,1,28,0,0,"0:0, 0:2, 1:0"
2921767,2025-09-10,HC Energie Karlovy Vary,HC VÍTKOVICE RIDERA,4:7,VIT,37,7,12,7,24,KVA,32,12,12,4,31,0,0,"2:3, 1:3, 1:1"
2921769,2025-09-10,HC Kometa Brno,HC VERVA Litvínov,4:2,LIT,25,3,14,2,14,KOM,33,5,10,4,28,0,0,"1:1, 1:0, 2:1"
2921771,2025-09-12,HC VÍTKOVICE RIDERA,Rytíři Kladno,1:0,KLA,28,2,10,0,41,VIT,28,3,6,1,24,0,0,"0:0, 0:0, 0:0 - 0:0 - 1:0"
2921772,2025-09-12,HC VERVA Litvínov,HC Energie Karlovy Vary,0:4,KVA,34,5,20,4,26,LIT,24,8,12,0,24,0,0,"0:0, 0:1, 0:3"
2921776,2025-09-12,BK Mladá Boleslav,HC Kometa Brno,1:3,KOM,27,4,8,3,29,MBL,22,8,6,1,30,0,0,"0:1, 0:0, 1:2"
2921770,2025-09-12,Mountfield HK,Č. Budějovice,3:4,CEB,34,1,8,4,21,MHK,35,4,8,3,18,0,0,"2:1, 1:3, 0:0"
2921773,2025-09-12,HC Olomouc,HC Škoda Plzeň,1:4,PLZ,38,5,4,4,29,OLO,20,5,4,1,26,0,0,"1:0, 0:3, 0:1"
2921774,2025-09-12,Bílí Tygři Liberec,HC Dynamo Pardubice,4:2,PCE,41,2,16,2,29,LIB,30,2,12,4,36,0,0,"1:2, 1:0, 2:0"
2921775,2025-09-12,HC Sparta Praha,HC Oceláři Třinec,5:2,TRI,20,2,36,2,21,SPA,34,2,15,5,39,0,0,"1:1, 2:0, 2:1"
2921781,2025-09-14,Rytíři Kladno,Mountfield HK,4:2,MHK,40,2,10,2,34,KLA,32,1,10,4,31,0,0,"1:0, 2:2, 1:0"
2921783,2025-09-14,HC Energie Karlovy Vary,HC Olomouc,2:4,OLO,35,4,6,4,41,KVA,31,2,10,2,23,0,0,"0:0, 2:1, 0:3"
2921778,2025-09-14,HC Škoda Plzeň,Č. Budějovice,1:4,CEB,18,2,20,4,28,PLZ,41,1,14,1,24,0,0,"0:1, 0:1, 1:2"
2921779,2025-09-14,HC Kometa Brno,HC Sparta Praha,2:0,SPA,31,4,16,0,27,KOM,29,1,39,2,21,0,0,"1:0, 1:0, 0:0"
2921777,2025-09-14,HC Oceláři Třinec,Bílí Tygři Liberec,4:2,LIB,38,7,10,2,26,TRI,29,6,6,4,23,0,0,"0:0, 1:1, 3:1"
2921780,2025-09-14,HC Dynamo Pardubice,BK Mladá Boleslav,4:1,MBL,21,7,12,1,14,PCE,32,12,8,4,43,0,0,"0:0, 3:1, 1:0"
2921782,2025-09-14,HC VERVA Litvínov,HC VÍTKOVICE RIDERA,0:3,VIT,24,2,4,3,22,LIT,38,3,8,0,32,0,0,"0:0, 0:1, 0:2"
2921788,2025-09-16,Č. Budějovice,HC Dynamo Pardubice,4:1,PCE,41,4,12,1,31,CEB,36,3,12,4,33,0,0,"0:1, 2:0, 2:0"
2921789,2025-09-16,BK Mladá Boleslav,HC Oceláři Třinec,2:1,TRI,32,3,4,1,22,MBL,30,4,2,2,22,0,0,"1:1, 1:0, 0:0"
2921784,2025-09-16,HC Kometa Brno,HC VÍTKOVICE RIDERA,5:2,VIT,26,1,6,2,21,KOM,26,1,4,5,17,0,0,"1:0, 1:0, 3:2"
2921785,2025-09-16,Mountfield HK,HC Škoda Plzeň,4:3,PLZ,22,5,37,3,29,MHK,32,6,6,4,32,0,0,"2:2, 0:1, 1:0 - 1:0"
2921787,2025-09-16,Bílí Tygři Liberec,HC VERVA Litvínov,2:4,LIT,39,10,16,4,16,LIB,42,9,6,2,60,0,0,"0:1, 1:2, 1:1"
2921790,2025-09-16,HC Sparta Praha,HC Energie Karlovy Vary,1:2,KVA,30,4,6,2,32,SPA,30,4,6,1,38,0,0,"0:2, 1:0, 0:0"
2921786,2025-09-17,HC Olomouc,Rytíři Kladno,4:1,KLA,37,5,12,1,31,OLO,26,1,8,4,34,0,0,"1:0, 1:0, 2:1"
2921791,2025-09-19,HC Oceláři Třinec,HC Škoda Plzeň,2:1,PLZ,35,7,2,1,31,TRI,28,5,4,2,31,0,0,"0:0, 1:1, 0:0 - 1:0"
2921792,2025-09-19,HC VÍTKOVICE RIDERA,BK Mladá Boleslav,2:4,MBL,28,1,4,4,23,VIT,40,1,2,2,27,0,0,"0:2, 0:1, 2:1"
2921796,2025-09-19,HC VERVA Litvínov,HC Sparta Praha,1:5,SPA,34,7,4,5,34,LIT,20,7,4,1,20,0,0,"0:3, 1:1, 0:1"
2921793,2025-09-19,HC Dynamo Pardubice,HC Olomouc,3:1,OLO,23,3,6,1,20,PCE,33,1,6,3,41,0,0,"0:0, 1:1, 2:0"
2921794,2025-09-19,Rytíři Kladno,Č. Budějovice,1:4,CEB,35,3,16,4,20,KLA,31,1,16,1,34,0,0,"0:1, 1:1, 0:2"
