player,team,games,saves,goals_against,assists,pim,save_pct,gaa
Vojtěch MOKRY,MBL,13,353,25,1,0,93.39,1.92
Dominik FRODL,KVA,48,1274,95,0,12,93.06,1.98
Nick MALÍK,PLZ,48,1021,79,2,0,92.82,1.65
Adam BRÍZGALA,KLA,47,1219,95,1,2,92.77,2.02
Marek MAZANEC,TRI,47,1151,92,1,4,92.6,1.96
Petr KVÁČA,LIB,48,1212,97,4,4,92.59,2.02
Stanislav ŠKORVÁNEK,MHK,49,1174,97,1,2,92.37,1.98
Josef KOŘENÁŘ,SPA,33,838,71,0,0,92.19,2.15
Jakub KOVÁŘ,SPA,29,734,63,0,0,92.1,2.17
Martin MICHAJLOV,SPA,4,92,8,0,4,92.0,2.0
Matěj MACHOVSKÝ,OLO,42,1223,109,0,0,91.82,2.6
Roman WILL,PCE,40,859,77,1,0,91.77,1.92
Dominik HRACHOVINA,VIT,51,1444,132,1,0,91.62,2.59
Tomáš VOMÁČKA,PCE,6,155,15,1,2,91.18,2.5
Aleš STEZKA,KOM,48,1301,127,1,2,91.11,2.65
Jan STRMEŇ,CEB,15,360,36,0,0,90.91,2.4
Pavel ČAJAN,LIT,27,826,83,2,2,90.87,3.07
Milan KLOUČEK,CEB,30,690,70,0,0,90.79,2.33
Dominik FURCH,MBL,39,912,95,0,4,90.57,2.44
Matej TOMEK,LIT,26,714,75,0,2,90.49,2.88
Jakub SOUKUP,MHK,2,56,6,0,0,90.32,3.0
Niclas WESTERHOLM,CEB,9,214,23,1,0,90.3,2.56
Daniel KRÁL,KVA,16,353,38,0,2,90.28,2.38
Jan RŮŽIČKA,PLZ,15,324,35,0,0,90.25,2.33
Malcolm SUBBAN,PCE,11,239,26,1,0,90.19,2.36
Štěpán LUKEŠ,LIB,7,153,17,0,0,90.0,2.43
Jan KAVAN,KOM,10,229,26,2,0,89.8,2.6
Petr HAMALČÍK,LIB,3,61,7,0,0,89.71,2.33
Ondřej KACETL,TRI,16,383,44,0,0,89.7,2.75
Oldřich CICHOŇ,OLO,15,396,46,0,0,89.59,3.07
Oscar DANSK,KLA,13,309,36,0,2,89.57,2.77
Gašper KROŠELJ,KOM,5,102,12,0,0,89.47,2.4
Niclas WESTERHOLM,MBL,3,81,10,0,0,89.01,3.33
Filip NOVOTNÝ,MHK,9,167,21,0,0,88.83,2.33
Matyáš MAŘÍK,CEB,7,121,19,0,0,86.43,2.71
Lukáš KLIMEŠ,VIT,8,159,28,0,0,85.03,3.5
Štěpán LUKEŠ,KLA,2,24,7,0,0,77.42,3.5
Jan KASAL,MHK,1,9,3,0,0,75.0,3.0
Adam KUBÍK,LIT,2,12,5,0,0,70.59,2.5
