player,team,position,games,goals,assists,points,pim,plus_minus,hits,shots,blocks
Roman ČERVENKA,PCE,Ú,47,22,47,69,28,28,1,131,6
Filip CHLAPÍK,SPA,Ú,60,26,35,61,42,12,34,208,20
Lukáš SEDLÁK,PCE,Ú,53,20,39,59,37,28,24,100,34
Michael ŠPAČEK,SPA,Ú,61,16,36,52,18,0,6,112,25
Jakub FLEK,KOM,Ú,58,26,23,49,6,-1,1,201,24
Anthony NELLIS,VIT,Ú,55,25,23,48,34,2,11,139,25
Libor HUDÁČEK,TRI,Ú,59,20,28,48,78,10,10,151,6
Róbert LANTOŠI,CEB,Ú,56,19,29,48,40,-3,8,171,28
Kristián POSPÍŠIL,KOM,Ú,58,16,32,48,46,13,26,129,22
Jan KOŠŤÁLEK,PCE,O,50,17,30,47,26,9,6,162,31
Jiří ČERNOCH,KVA,Ú,61,17,29,46,67,-4,28,136,63
Nick OLESEN,CEB,Ú,55,14,31,45,32,-13,10,162,12
Oscar FLYNN,TRI,Ú,60,15,25,40,22,17,5,145,11
Andrej NESTRAŠIL,TRI,Ú,60,14,26,40,12,16,4,124,26
Radan LENC,LIB,Ú,57,26,13,39,46,10,17,199,42
Jindřich ABDUL,VIT,Ú,53,17,22,39,39,-8,3,136,31
Daniel AUDETTE,KLA,Ú,57,13,26,39,44,-8,9,136,27
Michal ŘEPÍK,SPA,Ú,56,18,20,38,26,12,10,164,18
Michal KOVAŘČÍK,TRI,Ú,60,16,22,38,20,20,3,113,29
Jakub KREJČÍK,SPA,O,56,7,30,37,48,16,5,120,71
Libor ZÁBRANSKÝ,KOM,O,60,20,16,36,14,12,13,174,110
Ondřej BERÁNEK,KVA,Ú,48,20,16,36,22,-5,18,153,21
Tristen Nelson ROBINS,KLA,Ú,50,19,17,36,24,4,12,130,17
Chad YETMAN,VIT,Ú,47,15,21,36,12,3,2,100,18
Adam MUSIL,LIB,Ú,57,11,25,36,41,14,24,122,31
Šimon STRÁNSKÝ,KOM,Ú,60,10,26,36,30,-14,1,90,26
Filip SANDBERG,LIB,Ú,56,9,27,36,18,12,6,100,29
Devin SHORE,SPA,Ú,55,19,16,35,12,16,7,130,51
Roman HORÁK,SPA,Ú,52,19,16,35,10,5,5,105,34
Pavel KOUSAL,SPA,Ú,64,18,17,35,30,10,18,166,27
Lukáš RADIL,MHK,Ú,55,14,21,35,24,8,5,144,8
Adam MĚCHURA,PLZ,Ú,59,21,13,34,22,9,13,116,44
Ondřej KOVAŘČÍK,TRI,Ú,51,17,17,34,14,9,3,88,32
Adam ZBOŘIL,KOM,Ú,60,13,21,34,30,2,27,113,34
Tomáš ZOHORNA,KOM,Ú,60,11,23,34,77,8,11,95,35
Petr FRIDRICH,OLO,Ú,55,21,12,33,20,0,4,107,31
Niko OJAMÄKI,KLA,Ú,55,16,16,32,8,-2,9,132,37
Kelly KLÍMA,KLA,Ú,55,15,17,32,40,-2,10,154,16
Jáchym KONDELÍK,PCE,Ú,50,12,20,32,20,10,2,81,37
Christophe LALANCETTE,PLZ,Ú,45,8,24,32,12,4,4,72,19
Nicholas JONES,KVA,Ú,47,13,18,31,14,0,3,102,18
David ŠŤASTNÝ,KVA,Ú,60,12,18,30,28,0,20,145,36
Matyáš FILIP,PLZ,Ú,53,15,14,29,10,15,14,66,30
Andrej KOLLÁR,KOM,Ú,59,14,15,29,10,12,6,109,44
Jaromír PYTLÍK,LIB,Ú,50,11,18,29,31,18,17,115,32
Hynek ZOHORNA,KOM,Ú,54,17,11,28,18,11,21,85,14
Brant HARRIS,CEB,Ú,37,13,15,28,20,-6,7,77,26
Mikko PETMAN,PLZ,Ú,55,13,15,28,40,12,25,87,27
Petr ZÁMORSKÝ,PLZ,O,56,11,17,28,18,-2,6,179,42
Jan ŠTENCEL,CEB,O,55,8,20,28,18,9,9,59,79
Miguël TOURIGNY,PCE,O,54,8,20,28,39,3,10,161,23
Kevin KLÍMA,MHK,Ú,44,7,21,28,92,8,16,80,21
Petr TOMEK,KVA,Ú,60,16,11,27,20,5,9,86,20
Aleš JERGL,MHK,Ú,48,13,14,27,16,-4,6,111,11
Martin FAŠKO-RUDÁŠ,LIB,Ú,56,13,14,27,22,1,1,124,21
Samuel VIGNEAULT,KLA,Ú,55,13,14,27,34,-4,10,64,32
Haralds EGLE,KVA,Ú,48,10,17,27,16,-4,3,101,11
Janis JAKS,KVA,O,55,10,17,27,42,-11,17,145,63
Radovan PAVLÍK,MHK,Ú,54,14,12,26,31,16,13,101,9
Marek KALUS,VIT,Ú,50,12,14,26,60,-3,28,78,37
Martin KOHOUT,MHK,Ú,53,12,14,26,60,8,31,78,19
Jakub ORSAVA,OLO,Ú,53,11,15,26,26,-1,21,88,46
Filip PŘIKRYL,CEB,Ú,56,10,16,26,30,-1,2,98,24
Marian ADÁMEK,TRI,O,59,5,21,26,20,8,2,103,72
Markus NENONEN,MHK,Ú,56,11,14,25,16,-5,6,128,31
T.J. MELANCON,MHK,O,56,11,14,25,12,-14,5,137,57
Jan MANDÁT,PCE,Ú,56,10,15,25,33,18,24,91,33
Ondřej KAŠE,LIT,Ú,33,8,17,25,14,-13,0,104,16
Tomáš CIBULKA,CEB,O,51,8,17,25,35,-10,6,89,57
Tomáš GALVAS,LIB,O,38,8,17,25,19,17,8,84,22
Tomáš HYKA,SPA,Ú,58,8,17,25,28,5,9,119,35
Marek HRIVÍK,VIT,Ú,45,6,19,25,18,-3,4,71,25
Jan ORDOŠ,CEB,Ú,53,14,10,24,16,-2,7,92,24
Tomáš FOŘT,MBL,Ú,47,14,10,24,16,6,4,77,29
Renars KRASTENBERGS,OLO,Ú,53,11,13,24,16,-16,6,130,39
Mark PYSYK,SPA,O,62,7,17,24,34,28,22,124,95
Jasper WEATHERBY,LIB,Ú,58,6,18,24,47,16,15,107,32
Jan BUCHTELE,MBL,Ú,44,12,11,23,10,-4,10,91,21
Jakub NAVRÁTIL,OLO,Ú,54,11,12,23,14,-15,3,86,28
Michal BULÍŘ,CEB,Ú,35,9,14,23,10,5,4,89,18
Michal TEPLÝ,PLZ,Ú,47,8,15,23,6,6,2,91,16
Ville LAJUNEN,PLZ,O,52,6,17,23,10,0,1,101,57
Jakub LAUKO,PCE,Ú,36,10,12,22,45,17,16,78,22
Martin RŮŽIČKA,TRI,Ú,60,9,13,22,10,-6,5,73,24
Peter ČEREŠŇÁK,PCE,O,38,7,15,22,10,5,11,91,64
Vít JISKRA,KVA,Ú,61,7,15,22,12,-3,18,82,68
Marko DAŇO,TRI,Ú,35,14,7,21,66,0,8,91,6
Daniel KUROVSKÝ,TRI,Ú,50,11,10,21,67,-4,7,81,27
Matúš SUKEĽ,LIT,Ú,44,10,11,21,53,-11,10,61,49
Ville PETMAN,PLZ,Ú,54,10,11,21,24,9,14,82,32
David CIENCIALA,TRI,Ú,57,9,12,21,10,-11,8,78,24
Adam NAJMAN,LIB,Ú,57,8,13,21,18,0,5,106,23
Alex TAMÁŠI,MHK,Ú,31,8,13,21,10,7,0,53,10
Patrik MIŠKÁŘ,MHK,Ú,49,7,14,21,32,11,19,67,25
Lukáš STRNAD,PLZ,Ú,59,13,7,20,12,7,18,91,21
Ondřej MATÝS,OLO,Ú,54,10,10,20,18,-8,12,82,14
Jan BAMBULA,KVA,Ú,37,8,12,20,21,4,29,64,39
Jan SCHLEISS,PLZ,Ú,59,5,15,20,28,8,30,82,23
Jakub GALVAS,TRI,O,58,4,16,20,28,18,2,112,65
Servác PETROVSKÝ,LIB,Ú,44,12,7,19,18,9,6,88,17
Denis ZEMAN,LIB,O,58,9,10,19,34,6,21,85,55
Dominik LAKATOŠ,MBL,Ú,34,9,10,19,44,2,18,77,13
Jaromír PÉREZ LISA,LIB,Ú,54,9,10,19,18,5,38,97,48
Daniel GAZDA,PCE,O,45,7,12,19,10,7,15,119,42
Viliam ČACHO,OLO,Ú,38,7,12,19,39,2,8,60,25
Aaron IRVING,SPA,O,62,6,13,19,40,-1,18,132,53
Matteo KOČÍ,KVA,O,60,5,14,19,38,0,20,83,41
Phil PIETRONIRO,KLA,O,53,5,14,19,26,0,26,159,90
Filip PYROCHTA,MBL,O,52,4,15,19,10,-3,7,105,33
Miroslav FORMAN,KLA,Ú,51,4,15,19,28,-1,15,75,9
Trevor COSGROVE,OLO,O,55,4,15,19,30,-15,6,101,63
Jakub POUR,MHK,Ú,52,12,6,18,31,-3,19,92,17
Karel PLÁŠEK,OLO,Ú,46,12,6,18,4,-13,8,68,24
Lukáš NAHODIL,OLO,Ú,54,9,9,18,30,-9,3,66,30
