season,round,round_index,team,elo
2025-26,R 1,1,HC Sparta Praha,1510.0
2025-26,R 1,1,Č. Budějovice,1490.0
2025-26,R 2,2,BK Mladá Boleslav,1510.0
2025-26,R 2,2,Bílí Tygři Liberec,1489.01
2025-26,R 2,2,HC Dynamo Pardubice,1519.46
2025-26,R 2,2,HC Energie Karlovy Vary,1486.14
2025-26,R 2,2,HC Kometa Brno,1510.99
2025-26,R 2,2,HC Oceláři Třinec,1519.46
2025-26,R 2,2,HC Olomouc,1480.54
2025-26,R 2,2,HC Sparta Praha,1510.0
2025-26,R 2,2,HC VERVA Litvínov,1489.01
2025-26,R 2,2,HC VÍTKOVICE RIDERA,1513.86
2025-26,R 2,2,HC Škoda Plzeň,1510.99
2025-26,R 2,2,Mountfield HK,1480.54
2025-26,R 2,2,Rytíři Kladno,1490.0
2025-26,R 2,2,Č. Budějovice,1490.0
2025-26,R 3,3,BK Mladá Boleslav,1499.05
2025-26,R 3,3,Bílí Tygři Liberec,1500.8
2025-26,R 3,3,HC Dynamo Pardubice,1507.68
2025-26,R 3,3,HC Energie Karlovy Vary,1502.34
2025-26,R 3,3,HC Kometa Brno,1521.94
2025-26,R 3,3,HC Oceláři Třinec,1505.28
2025-26,R 3,3,HC Olomouc,1468.06
2025-26,R 3,3,HC Sparta Praha,1524.18
2025-26,R 3,3,HC VERVA Litvínov,1472.81
2025-26,R 3,3,HC VÍTKOVICE RIDERA,1523.18
2025-26,R 3,3,HC Škoda Plzeň,1523.46
2025-26,R 3,3,Mountfield HK,1470.81
2025-26,R 3,3,Rytíři Kladno,1480.69
2025-26,R 3,3,Č. Budějovice,1499.73
2025-26,R 4,4,BK Mladá Boleslav,1485.58
2025-26,R 4,4,Bílí Tygři Liberec,1489.97
2025-26,R 4,4,HC Dynamo Pardubice,1521.14
2025-26,R 4,4,HC Energie Karlovy Vary,1490.46
2025-26,R 4,4,HC Kometa Brno,1532.98
2025-26,R 4,4,HC Oceláři Třinec,1516.1
2025-26,R 4,4,HC Olomouc,1479.94
2025-26,R 4,4,HC Sparta Praha,1513.13
2025-26,R 4,4,HC VERVA Litvínov,1461.21
2025-26,R 4,4,HC VÍTKOVICE RIDERA,1534.78
2025-26,R 4,4,HC Škoda Plzeň,1508.81
2025-26,R 4,4,Mountfield HK,1460.19
2025-26,R 4,4,Rytíři Kladno,1491.31
2025-26,R 4,4,Č. Budějovice,1514.38
2025-26,R 5,5,BK Mladá Boleslav,1496.46
2025-26,R 5,5,Bílí Tygři Liberec,1478.23
2025-26,R 5,5,HC Dynamo Pardubice,1507.05
2025-26,R 5,5,HC Energie Karlovy Vary,1501.11
2025-26,R 5,5,HC Kometa Brno,1546.91
2025-26,R 5,5,HC Oceláři Třinec,1505.23
2025-26,R 5,5,HC Olomouc,1479.94
2025-26,R 5,5,HC Sparta Praha,1502.48
2025-26,R 5,5,HC VERVA Litvínov,1472.95
2025-26,R 5,5,HC VÍTKOVICE RIDERA,1520.86
2025-26,R 5,5,HC Škoda Plzeň,1497.42
2025-26,R 5,5,Mountfield HK,1471.58
2025-26,R 5,5,Rytíři Kladno,1491.31
2025-26,R 5,5,Č. Budějovice,1528.47
2025-26,R 6,6,BK Mladá Boleslav,1496.46
2025-26,R 6,6,Bílí Tygři Liberec,1478.23
2025-26,R 6,6,HC Dynamo Pardubice,1507.05
2025-26,R 6,6,HC Energie Karlovy Vary,1501.11
2025-26,R 6,6,HC Kometa Brno,1546.91
2025-26,R 6,6,HC Oceláři Třinec,1505.23
2025-26,R 6,6,HC Olomouc,1494.19
2025-26,R 6,6,HC Sparta Praha,1502.48
2025-26,R 6,6,HC VERVA Litvínov,1472.95
2025-26,R 6,6,HC VÍTKOVICE RIDERA,1520.86
2025-26,R 6,6,HC Škoda Plzeň,1497.42
2025-26,R 6,6,Mountfield HK,1471.58
2025-26,R 6,6,Rytíři Kladno,1477.07
2025-26,R 6,6,Č. Budějovice,1528.47
2025-26,R 7,7,BK Mladá Boleslav,1508.09
2025-26,R 7,7,Bílí Tygři Liberec,1490.19
2025-26,R 7,7,HC Dynamo Pardubice,1517.57
2025-26,R 7,7,HC Energie Karlovy Vary,1511.03
