season,round,round_index,team,elo
2025-26,R 99,99,HC Dynamo Pardubice,1637.88
2025-26,R 99,99,HC Sparta Praha,1582.34
2025-26,R 99,99,HC Energie Karlovy Vary,1577.37
2025-26,R 99,99,HC Oceláři Třinec,1574.49
2025-26,R 99,99,Bílí Tygři Liberec,1567.08
2025-26,R 99,99,HC Škoda Plzeň,1555.06
2025-26,R 99,99,Mountfield HK,1539.2
2025-26,R 99,99,Rytíři Kladno,1494.36
2025-26,R 99,99,HC Kometa Brno,1461.88
2025-26,R 99,99,Č. Budějovice,1441.4
2025-26,R 99,99,BK Mladá Boleslav,1416.26
2025-26,R 99,99,HC VÍTKOVICE RIDERA,1410.82
2025-26,R 99,99,HC Olomouc,1395.47
2025-26,R 99,99,HC VERVA Litvínov,1346.38
