league,state_diff,n_score,n_total,n_concede,p_score,p_concede,next_if_score,next_if_concede
czech,-7,1,2,1,0.5,0.5,-6,-8
czech,-6,2,7,5,0.2857,0.7143,-5,-7
czech,-5,10,22,12,0.4545,0.5455,-4,-6
czech,-4,24,54,30,0.4444,0.5556,-3,-5
czech,-3,72,140,68,0.5143,0.4857,-2,-4
czech,-2,163,363,200,0.449,0.551,-1,-3
czech,-1,358,743,385,0.4818,0.5182,0,-2
czech,0,759,1518,759,0.5,0.5,1,-1
czech,1,385,743,358,0.5182,0.4818,2,0
czech,2,200,363,163,0.551,0.449,3,1
czech,3,68,140,72,0.4857,0.5143,4,2
czech,4,30,54,24,0.5556,0.4444,5,3
czech,5,12,22,10,0.5455,0.4545,6,4
czech,6,5,7,2,0.7143,0.2857,7,5
czech,7,1,2,1,0.5,0.5,8,6
