league,team,state_diff,n_score,n_total,n_concede,p_score,p_concede,next_if_score,next_if_concede
czech,BK Mladá Boleslav,-5,1,1,0,1.0,0.0,-4,-6
czech,BK Mladá Boleslav,-4,0,4,4,0.0,1.0,-3,-5
czech,BK Mladá Boleslav,-3,3,9,6,0.3333,0.6667,-2,-4
czech,BK Mladá Boleslav,-2,12,27,15,0.4444,0.5556,-1,-3
czech,BK Mladá Boleslav,-1,20,52,32,0.3846,0.6154,0,-2
czech,BK Mladá Boleslav,0,40,91,51,0.4396,0.5604,1,-1
czech,BK Mladá Boleslav,1,19,38,19,0.5,0.5,2,0
czech,BK Mladá Boleslav,2,7,17,10,0.4118,0.5882,3,1
czech,BK Mladá Boleslav,3,0,3,3,0.0,1.0,4,2
czech,Bílí Tygři Liberec,-4,1,1,0,1.0,0.0,-3,-5
czech,Bílí Tygři Liberec,-3,3,5,2,0.6,0.4,-2,-4
czech,Bílí Tygři Liberec,-2,5,11,6,0.4545,0.5455,-1,-3
czech,Bílí Tygři Liberec,-1,28,45,17,0.6222,0.3778,0,-2
czech,Bílí Tygři Liberec,0,60,115,55,0.5217,0.4783,1,-1
czech,Bílí Tygři Liberec,1,37,66,29,0.5606,0.4394,2,0
czech,Bílí Tygři Liberec,2,17,32,15,0.5312,0.4688,3,1
czech,Bílí Tygři Liberec,3,8,12,4,0.6667,0.3333,4,2
czech,Bílí Tygři Liberec,4,2,6,4,0.3333,0.6667,5,3
czech,Bílí Tygři Liberec,5,0,1,1,0.0,1.0,6,4
czech,HC Dynamo Pardubice,-4,1,2,1,0.5,0.5,-3,-5
czech,HC Dynamo Pardubice,-3,4,6,2,0.6667,0.3333,-2,-4
czech,HC Dynamo Pardubice,-2,13,19,6,0.6842,0.3158,-1,-3
czech,HC Dynamo Pardubice,-1,28,48,20,0.5833,0.4167,0,-2
czech,HC Dynamo Pardubice,0,57,104,47,0.5481,0.4519,1,-1
czech,HC Dynamo Pardubice,1,38,58,20,0.6552,0.3448,2,0
czech,HC Dynamo Pardubice,2,26,40,14,0.65,0.35,3,1
czech,HC Dynamo Pardubice,3,8,17,9,0.4706,0.5294,4,2
czech,HC Dynamo Pardubice,4,5,7,2,0.7143,0.2857,5,3
czech,HC Dynamo Pardubice,5,3,5,2,0.6,0.4,6,4
czech,HC Dynamo Pardubice,6,0,1,1,0.0,1.0,7,5
czech,HC Energie Karlovy Vary,-5,1,1,0,1.0,0.0,-4,-6
czech,HC Energie Karlovy Vary,-4,4,6,2,0.6667,0.3333,-3,-5
czech,HC Energie Karlovy Vary,-3,4,10,6,0.4,0.6,-2,-4
czech,HC Energie Karlovy Vary,-2,7,20,13,0.35,0.65,-1,-3
czech,HC Energie Karlovy Vary,-1,21,45,24,0.4667,0.5333,0,-2
czech,HC Energie Karlovy Vary,0,64,110,46,0.5818,0.4182,1,-1
czech,HC Energie Karlovy Vary,1,33,61,28,0.541,0.459,2,0
czech,HC Energie Karlovy Vary,2,17,33,16,0.5152,0.4848,3,1
czech,HC Energie Karlovy Vary,3,7,14,7,0.5,0.5,4,2
czech,HC Energie Karlovy Vary,4,2,5,3,0.4,0.6,5,3
czech,HC Energie Karlovy Vary,5,0,2,2,0.0,1.0,6,4
czech,HC Kometa Brno,-7,0,1,1,0.0,1.0,-6,-8
czech,HC Kometa Brno,-6,0,1,1,0.0,1.0,-5,-7
czech,HC Kometa Brno,-5,1,3,2,0.3333,0.6667,-4,-6
czech,HC Kometa Brno,-4,1,4,3,0.25,0.75,-3,-5
czech,HC Kometa Brno,-3,5,13,8,0.3846,0.6154,-2,-4
czech,HC Kometa Brno,-2,14,29,15,0.4828,0.5172,-1,-3
czech,HC Kometa Brno,-1,30,58,28,0.5172,0.4828,0,-2
czech,HC Kometa Brno,0,65,127,62,0.5118,0.4882,1,-1
czech,HC Kometa Brno,1,26,63,37,0.4127,0.5873,2,0
czech,HC Kometa Brno,2,12,22,10,0.5455,0.4545,3,1
czech,HC Kometa Brno,3,3,9,6,0.3333,0.6667,4,2
czech,HC Kometa Brno,4,1,2,1,0.5,0.5,5,3
czech,HC Oceláři Třinec,-3,4,5,1,0.8,0.2,-2,-4
czech,HC Oceláři Třinec,-2,11,22,11,0.5,0.5,-1,-3
czech,HC Oceláři Třinec,-1,28,51,23,0.549,0.451,0,-2
czech,HC Oceláři Třinec,0,70,121,51,0.5785,0.4215,1,-1
czech,HC Oceláři Třinec,1,33,66,33,0.5,0.5,2,0
czech,HC Oceláři Třinec,2,14,29,15,0.4828,0.5172,3,1
czech,HC Oceláři Třinec,3,6,12,6,0.5,0.5,4,2
czech,HC Oceláři Třinec,4,3,7,4,0.4286,0.5714,5,3
czech,HC Oceláři Třinec,5,1,2,1,0.5,0.5,6,4
czech,HC Olomouc,-6,1,1,0,1.0,0.0,-5,-7
czech,HC Olomouc,-5,0,4,4,0.0,1.0,-4,-6
czech,HC Olomouc,-4,1,5,4,0.2,0.8,-3,-5
czech,HC Olomouc,-3,4,10,6,0.4,0.6,-2,-4
czech,HC Olomouc,-2,14,30,16,0.4667,0.5333,-1,-3
czech,HC Olomouc,-1,32,64,32,0.5,0.5,0,-2
czech,HC Olomouc,0,45,110,65,0.4091,0.5909,1,-1
czech,HC Olomouc,1,21,44,23,0.4773,0.5227,2,0
czech,HC Olomouc,2,6,16,10,0.375,0.625,3,1
czech,HC Olomouc,3,3,5,2,0.6,0.4,4,2
czech,HC Olomouc,4,0,2,2,0.0,1.0,5,3
czech,HC Sparta Praha,-4,1,1,0,1.0,0.0,-3,-5
czech,HC Sparta Praha,-3,5,6,1,0.8333,0.1667,-2,-4
czech,HC Sparta Praha,-2,9,20,11,0.45,0.55,-1,-3
czech,HC Sparta Praha,-1,26,51,25,0.5098,0.4902,0,-2
czech,HC Sparta Praha,0,65,119,54,0.5462,0.4538,1,-1
czech,HC Sparta Praha,1,39,68,29,0.5735,0.4265,2,0
czech,HC Sparta Praha,2,29,47,18,0.617,0.383,3,1
czech,HC Sparta Praha,3,10,22,12,0.4545,0.5455,4,2
czech,HC Sparta Praha,4,4,8,4,0.5,0.5,5,3
czech,HC Sparta Praha,5,1,2,1,0.5,0.5,6,4
czech,HC Sparta Praha,6,0,1,1,0.0,1.0,7,5
czech,HC VERVA Litvínov,-7,1,1,0,1.0,0.0,-6,-8
czech,HC VERVA Litvínov,-6,0,2,2,0.0,1.0,-5,-7
czech,HC VERVA Litvínov,-5,2,4,2,0.5,0.5,-4,-6
czech,HC VERVA Litvínov,-4,2,8,6,0.25,0.75,-3,-5
czech,HC VERVA Litvínov,-3,7,16,9,0.4375,0.5625,-2,-4
czech,HC VERVA Litvínov,-2,12,37,25,0.3243,0.6757,-1,-3
czech,HC VERVA Litvínov,-1,21,59,38,0.3559,0.6441,0,-2
