league,league_label,team,wiki_title,wiki_api,wikidata_qid,logo_filename,logo_url,local_path,status,score
czech,Czech Extraliga,BK Mladá Boleslav,,,,,,,no_good_title,0.0
czech,Czech Extraliga,Bílí Tygři Liberec,,,,,,,no_good_title,0.0
czech,Czech Extraliga,HC Dynamo Pardubice,,,,,,,no_good_title,0.0
czech,Czech Extraliga,HC Energie Karlovy Vary,,,,,,,no_good_title,0.0
czech,Czech Extraliga,HC Kometa Brno,,,,,,,no_good_title,0.0
czech,Czech Extraliga,HC Oceláři Třinec,,,,,,,no_good_title,0.0
czech,Czech Extraliga,HC Olomouc,,,,,,,no_good_title,0.0
czech,Czech Extraliga,HC Sparta Praha,,,,,,,no_good_title,0.0
czech,Czech Extraliga,HC VERVA Litvínov,,,,,,,no_good_title,0.0
czech,Czech Extraliga,HC VÍTKOVICE RIDERA,,,,,,,no_good_title,0.0
czech,Czech Extraliga,HC Škoda Plzeň,,,,,,,no_good_title,0.0
czech,Czech Extraliga,Mountfield HK,,,,,,,no_good_title,0.0
czech,Czech Extraliga,Rytíři Kladno,,,,,,,no_good_title,0.0
czech,Czech Extraliga,Č. Budějovice,,,,,,,no_good_title,0.0
