game_id,season_year,tournament,team,period,game_time_s,assist1_id,assist1_name,assist2_id,assist2_name,away_score,event_id,goal_types,goals_in_season,home_score,log_time,minus_players,plus_players,scorer_id,scorer_name,team_side,winning_goal
1,2026,runkosarja,HPK,1,519,23029644,TEEMU RAUTIAINEN,33296946,SAMI PÄIVÄRINTA,0,72,,1,1,2025-09-09T15:48:40Z,4 7 10 86 91,7 8 12 19 63,33254027,VILI ALITALO,home,False
1,2026,runkosarja,HPK,3,2939,31585390,MISKA KUKKONEN,22709389,PETTERI NIKKILÄ,1,386,,1,2,2025-09-09T17:34:56Z,4 7 21 82 84,15 43 50 74 93,30417647,OLLI KORHONEN,home,False
1,2026,runkosarja,TPS,1,832,32219869,RUBEN RAFKIN,31886905,SISU YLINIEMI,1,112,YV,1,1,2025-09-09T15:59:44Z,,,31569277,JOEL MÄÄTTÄ,away,False
1,2026,runkosarja,TPS,3,3198,60757491,OLIVER LAURIDSEN,30969140,LEEVI TEISSALA,2,421,,1,2,2025-09-09T17:49:04Z,3 6 19 44 93,7 19 66 87 98,27023853,ALEKSI SAARELA,away,False
1,2026,runkosarja,TPS,5,3900,,,,,3,516,VL,1,2,2025-09-09T18:12:08Z,,,31569277,JOEL MÄÄTTÄ,away,False
2,2026,runkosarja,Jukurit,2,1711,60860213,KIM JOHANSSON,34570580,TOPIAS HYNNINEN,1,214,YV,1,1,2025-09-09T16:33:41Z,,,30636693,ALEKS HAATANEN,home,False
2,2026,runkosarja,Jukurit,2,2258,33502478,JEREMI TAMMELA,28897266,JUUSO AROLA,1,282,YV,1,2,2025-09-09T16:51:33Z,,,60860218,THOMAS OLSEN,home,False
2,2026,runkosarja,Jukurit,2,2330,60960731,CONNOR FORD,28897266,JUUSO AROLA,1,295,TV,1,3,2025-09-09T16:55:09Z,33 52 71 98,3 7 16 82,25663901,ALEXANDER RUUTTU,home,False
2,2026,runkosarja,HIFK,1,546,34589827,ARON KIVIHARJU,,,1,71,,1,0,2025-09-09T16:17:33Z,23 52 53 54 82,15 33 43 82 93,34118968,ARTTU KÄRKI,away,False
2,2026,runkosarja,HIFK,3,2601,22333124,JORI LEHTERÄ,27900714,PETRUS PALMU,2,329,,1,3,2025-09-09T17:18:37Z,23 34 58 89 93,4 21 43 52 98,40040956,NIKLAS NYKYRI,away,False
2,2026,runkosarja,HIFK,3,3024,32576625,JESSE SEPPÄLÄ,,,3,380,,1,3,2025-09-09T17:30:21Z,7 16 23 52 54,40 78 79 82 85,40068762,BRUNO JALASTI,away,False
2,2026,runkosarja,HIFK,3,3044,24880895,PANU MIEHO,25567120,OTTO SOMPPI,4,385,,1,3,2025-09-09T18:04:22Z,3 10 20 53 76,15 40 63 71 85,23966862,PETTERI LINDBOHM,away,True
2,2026,runkosarja,HIFK,3,3571,60809982,VINCENT MARLEAU,24223973,TONY SUND,5,458,TM,1,3,2025-09-09T17:54:21Z,16 20 52 54 58 67,6 21 43 52 98,27900714,PETRUS PALMU,away,False
3,2026,runkosarja,KooKoo,3,3328,40172010,JOONAS ODEN,32551174,JESPER AHLROTH,4,464,,1,1,2025-09-09T17:51:44Z,3 9 19 67 86,18 22 24 28 77,32713394,OSKARI LUOTO,home,False
