game_id,season_year,team,period,game_time_s,event_id,is_bench,minutes,penalized_id,penalized_name,penalty_code,penalty_type,served_by_id,served_by_name
1,2023,Tappara,2,1365,182,False,2,60668269,,KOU,Koukkaaminen,,
1,2023,TPS,1,612,84,False,2,60552432,,KII,Kiinnipitäminen,,
2,2023,HIFK,1,594,80,False,2,27752328,,KAM,Kampitus,,
2,2023,HIFK,2,1570,212,False,2,23000702,,HUI,Huitominen,,
2,2023,HPK,1,67,13,False,2,60659985,,EST,Estäminen,,
2,2023,HPK,1,425,57,False,2,,,JR,Liian monta pelaajaa jäällä,,
2,2023,HPK,2,1564,209,False,2,21926286,,KAM,Kampitus,,
2,2023,HPK,2,2272,301,False,2,27974313,,POI,Poikittainen maila,,
2,2023,HPK,3,2785,374,False,5,40003574,,PTK,Pään tai niskan alueelle kohdistuva taklaus,,
2,2023,HPK,3,2785,375,False,20,40003574,,PTK,Pään tai niskan alueelle kohdistuva taklaus - Pelirangaistus,,
3,2023,Ilves,1,570,69,False,2,,,JR,Liian monta pelaajaa jäällä,,
3,2023,Ilves,2,1823,224,False,2,60579549,,KAM,Kampitus,,
3,2023,Ilves,3,3086,374,False,2,28506900,,VII,Pelin viivyttäminen - rike aloitustapahtumassa,,
3,2023,Ilves,3,3086,373,False,2,60579549,,VAR,Pelaaminen ilman kypärää,,
3,2023,Ässät,1,587,73,False,2,29864256,,KOU,Koukkaaminen,,
3,2023,Ässät,1,829,101,False,2,24177003,,KOU,Koukkaaminen,,
3,2023,Ässät,3,2664,328,False,2,21789465,,KOR,Korkea maila,,
3,2023,Ässät,3,2664,329,False,2,21789465,,KOR,Korkea maila,,
4,2023,Jukurit,2,1723,231,False,2,60660706,,VKV,Väkivaltaisuus,,
4,2023,KooKoo,1,518,73,False,2,,,JR,Liian monta pelaajaa jäällä,,
4,2023,KooKoo,1,1092,141,False,2,30730803,,KII,Kiinnipitäminen,,
4,2023,KooKoo,2,1295,177,False,2,31585390,,POI,Poikittainen maila,,
4,2023,KooKoo,2,2256,296,False,2,28273262,,KOU,Koukkaaminen,,
4,2023,KooKoo,3,3203,412,False,2,31585390,,KAM,Kampitus,,
4,2023,KooKoo,3,3380,432,False,2,60651942,,KOR,Korkea maila,,
5,2023,KalPa,2,1265,174,False,2,24558127,,KII,Kiinnipitäminen,,
5,2023,KalPa,2,2033,273,False,2,60662103,,VKV,Väkivaltaisuus,,
5,2023,SaiPa,1,1144,151,False,2,60545068,,KOU,Koukkaaminen,,
5,2023,SaiPa,2,2033,272,False,2,60652161,,VKV,Väkivaltaisuus,,
5,2023,SaiPa,2,2370,313,False,2,60653335,,KII,Kiinnipitäminen,,
5,2023,SaiPa,3,3333,436,False,2,,,JR,Liian monta pelaajaa jäällä,,
5,2023,SaiPa,3,3541,466,False,2,22487436,,HUI,Huitominen,,
6,2023,Kärpät,3,2842,374,False,0,31589972,,HEI,Mailan tai muun esineen heitto,,
6,2023,Kärpät,3,3380,444,False,2,24276085,,KAM,Kampitus,,
6,2023,Pelicans,1,381,52,False,2,60675409,,KOU,Koukkaaminen,,
