season_year,player_id,first_name,last_name,team,assists,assists_event,assists_per_game,birth_date,catches,even_strength_goals,faceoff_pct,faceoffs_total,faceoffs_won,game_winning_goals,games,goals,goals_against,goals_event,goals_per_game,height_cm,ice_time_min_per_game,ice_time_s,is_goalie,name,nationality,pim,pim_event,plus_minus,points,points_event,points_per_game,position,powerplay_goals_event,pp_assists,pp_goals,primary_assists,save_pct_calc,saves,secondary_assists,sh_assists,sh_goals,shooting_pct,shoots,shorthanded_goals_event,shots,shots_from_shotmap,shots_per_game,team_side,weight_kg
2025,23065792,JAAKKO,RISSANEN,KalPa,56,56,0.709,1989-11-12,,17,,0,0,3,79,23,0,23,0.291,183,0.0,0,False,JAAKKO RISSANEN,FIN,36,36,0,79,79,1.0,KH,6,0,0,33,,0,23,0,0,15.54,LEFT,0,148,148,1.873,home,85
2025,60866735,PATRICK,CURRY,KalPa,36,36,0.456,1996-01-09,,25,,0,0,4,79,39,0,39,0.494,178,0.0,0,False,PATRICK CURRY,USA,114,114,0,75,75,0.949,KH,14,0,0,21,,0,15,0,0,10.83,LEFT,0,360,360,4.557,home,84
2025,22333124,JORI,LEHTERÄ,HIFK,65,65,1.016,1987-12-23,,7,,0,0,4,64,10,0,10,0.156,189,0.0,0,False,JORI LEHTERÄ,FIN,40,40,0,75,75,1.172,KH,3,0,0,36,,0,29,0,0,5.05,LEFT,0,198,198,3.094,home,96
2025,24641005,ANTTI,KALAPUDAS,SaiPa,36,36,0.444,1996-07-22,,22,,0,0,10,81,38,0,38,0.469,182,0.0,0,False,ANTTI KALAPUDAS,FIN,16,16,0,74,74,0.914,VL,15,0,0,19,,0,17,0,0,11.14,LEFT,1,341,341,4.21,away,84
2025,60658794,JENS,LÖÖKE,Ilves,52,52,0.732,1997-04-11,,12,,0,0,6,71,21,0,21,0.296,186,0.0,0,False,JENS LÖÖKE,SWE,12,12,0,73,73,1.028,OL,9,0,0,29,,0,23,0,0,6.65,RIGHT,0,316,316,4.451,home,86
2025,31165561,OTTO,KIVENMÄKI,SaiPa,52,52,0.642,2000-03-24,,14,,0,0,6,81,20,0,20,0.247,174,0.0,0,False,OTTO KIVENMÄKI,FIN,20,20,0,72,72,0.889,OL,4,0,0,34,,0,18,0,0,7.46,LEFT,2,268,268,3.309,away,78
2025,32780178,MATIAS,MÄNTYKIVI,Ilves,47,47,0.662,2001-06-21,,16,,0,0,5,71,24,0,24,0.338,181,0.0,0,False,MATIAS MÄNTYKIVI,FIN,40,40,0,71,71,1.0,KH,8,0,0,24,,0,23,0,0,11.59,LEFT,0,207,207,2.915,home,75
2025,40311015,RYAN,LASCH,Pelicans,53,53,0.757,1987-01-22,,12,,0,0,2,70,17,0,17,0.243,170,0.0,0,False,RYAN LASCH,USA,16,16,0,70,70,1.0,OL,5,0,0,32,,0,21,0,0,8.63,LEFT,0,197,197,2.814,away,82
2025,60660706,MICHAL,KOVARCIK,Kärpät,53,53,0.883,1996-11-19,,15,,0,0,0,60,17,0,17,0.283,184,0.0,0,False,MICHAL KOVARCIK,CZE,59,59,0,70,70,1.167,KH,2,0,0,26,,0,27,0,0,11.04,LEFT,0,154,154,2.567,away,78
2025,60658804,SIMON,HJALMARSSON,Sport,54,54,0.794,1989-02-01,,9,,0,0,3,68,14,0,14,0.206,184,0.0,0,False,SIMON HJALMARSSON,SWE,61,61,0,68,68,1.0,VL,5,0,0,27,,0,27,0,0,5.2,LEFT,0,269,269,3.956,home,81
2025,31578145,JUUSO,MÄENPÄÄ,KalPa,45,45,0.57,2002-04-29,,18,,0,0,5,79,22,0,22,0.278,169,0.0,0,False,JUUSO MÄENPÄÄ,FIN,16,16,0,67,67,0.848,VL,4,0,0,35,,0,10,0,0,10.09,LEFT,0,218,218,2.759,home,67
2025,29632624,ATRO,LEPPÄNEN,Sport,45,45,0.662,1998-12-14,,16,,0,0,3,68,22,0,22,0.324,184,0.0,0,False,ATRO LEPPÄNEN,FIN,32,32,0,67,67,0.985,VP,6,0,0,27,,0,18,0,0,4.6,LEFT,0,478,478,7.029,home,83
2025,21848539,JAN-MIKAEL,JÄRVINEN,Ässät,55,55,0.786,1988-02-26,,7,,0,0,3,70,12,0,12,0.171,174,0.0,0,False,JAN-MIKAEL JÄRVINEN,FIN,28,28,0,67,67,0.957,KH,5,0,0,36,,0,19,0,0,8.82,LEFT,0,136,136,1.943,home,80
2025,60716456,MATYAS,KANTNER,KalPa,30,30,0.38,1998-06-20,,24,,0,0,6,79,36,0,36,0.456,192,0.0,0,False,MATYAS KANTNER,CZE,71,71,0,66,66,0.835,OL,12,0,0,11,,0,19,0,0,13.53,LEFT,0,266,266,3.367,home,91
2025,60808078,STEVEN,JANDRIC,Lukko,38,38,0.535,1997-08-18,,19,,0,0,9,71,27,0,27,0.38,183,0.0,0,False,STEVEN JANDRIC,CAN,69,69,0,65,65,0.915,VL,7,0,0,22,,0,16,0,0,9.93,LEFT,1,272,272,3.831,home,91
2025,60543449,REID,GARDINER,Kärpät,31,31,0.517,1996-01-19,,26,,0,0,7,60,33,0,33,0.55,177,0.0,0,False,REID GARDINER,CAN,22,22,0,64,64,1.067,VL,7,0,0,18,,0,13,0,0,10.44,RIGHT,0,316,316,5.267,away,88
2025,33670096,LENNI,HÄMEENAHO,Ässät,38,38,0.543,2004-11-07,,18,,0,0,6,70,26,0,26,0.371,185,0.0,0,False,LENNI HÄMEENAHO,FIN,34,34,0,64,64,0.914,OL,8,0,0,22,,0,16,0,0,6.79,RIGHT,0,383,383,5.471,home,84
2025,60660278,LARS,BRYGGMAN,Pelicans,30,30,0.429,1993-01-09,,21,,0,0,4,70,33,0,33,0.471,193,0.0,0,False,LARS BRYGGMAN,SWE,36,36,0,63,63,0.9,VL,10,0,0,16,,0,14,0,0,15.94,LEFT,2,207,207,2.957,away,92
2025,31633679,Viljami,Marjala,TPS,48,48,0.738,2003-01-29,,7,,0,0,1,65,12,0,12,0.185,185,0.0,0,False,Viljami Marjala,FIN,14,14,0,60,60,0.923,KH,5,0,0,27,,0,21,0,0,6.82,LEFT,0,176,176,2.708,away,80
2025,60351426,JAKOB,STENQVIST,Lukko,52,52,0.732,1998-03-17,,4,,0,0,2,71,8,0,8,0.113,189,0.0,0,False,JAKOB STENQVIST,SWE,20,20,0,60,60,0.845,OP,4,0,0,24,,0,28,0,0,2.49,RIGHT,0,321,321,4.521,home,81
2025,31779229,VILLE,PETMAN,SaiPa,34,34,0.42,2000-01-18,,15,,0,0,5,81,25,0,25,0.309,179,0.0,0,False,VILLE PETMAN,FIN,49,49,0,59,59,0.728,KH,10,0,0,15,,0,19,0,0,10.25,LEFT,0,244,244,3.012,away,82
2025,27471447,ALEKSI,KLEMETTI,KalPa,35,35,0.443,1999-02-17,,18,,0,0,5,79,24,0,24,0.304,171,0.0,0,False,ALEKSI KLEMETTI,FIN,53,53,0,59,59,0.747,VL,6,0,0,23,,0,12,0,0,11.94,LEFT,0,201,201,2.544,home,72
2025,60821637,MAX,LINDROTH,TPS,33,33,0.516,1996-08-24,,15,,0,0,1,64,23,0,23,0.359,185,0.0,0,False,MAX LINDROTH,SWE,34,34,0,56,56,0.875,VP,8,0,0,19,,0,14,0,0,6.71,LEFT,0,343,343,5.359,away,90
2025,25139587,SEBASTIAN,REPO,Lukko,26,26,0.371,1996-06-23,,19,,0,0,5,70,29,0,29,0.414,191,0.0,0,False,SEBASTIAN REPO,FIN,53,53,0,55,55,0.786,OL,10,0,0,13,,0,13,0,0,8.87,RIGHT,0,327,327,4.671,home,96
2025,60544745,AXEL,HOLMSTRÖM,Sport,30,30,0.441,1996-06-29,,19,,0,0,0,68,25,0,25,0.368,186,0.0,0,False,AXEL HOLMSTRÖM,SWE,20,20,0,55,55,0.809,KH,6,0,0,19,,0,11,0,0,16.56,LEFT,0,151,151,2.221,home,96
2025,23351053,EEMELI,SUOMI,Ilves,33,33,0.471,1995-12-04,,10,,0,0,3,70,20,0,20,0.286,180,0.0,0,False,EEMELI SUOMI,FIN,58,58,0,53,53,0.757,VL,10,0,0,18,,0,15,0,0,11.49,LEFT,0,174,174,2.486,home,84
2025,60764051,LUKE,MARTIN,HIFK,40,40,0.625,1998-09-20,,9,,0,0,2,64,13,0,13,0.203,188,0.0,0,False,LUKE MARTIN,USA,20,20,0,53,53,0.828,OP,4,0,0,17,,0,23,0,0,3.24,RIGHT,0,401,401,6.266,home,98
2025,29885743,KRISTIAN,VESALAINEN,HIFK,26,26,0.406,1999-06-01,,18,,0,0,5,64,26,0,26,0.406,192,0.0,0,False,KRISTIAN VESALAINEN,FIN,16,16,0,52,52,0.812,VL,8,0,0,19,,0,7,0,0,10.83,LEFT,0,240,240,3.75,home,94
2025,32194874,JAMI,KRANNILA,Lukko,32,32,0.451,2000-10-03,,17,,0,0,3,71,20,0,20,0.282,178,0.0,0,False,JAMI KRANNILA,FIN,57,57,0,52,52,0.732,KH,3,0,0,21,,0,11,0,0,6.67,LEFT,0,300,300,4.225,home,79
2025,31854445,KRISTIAN,TANUS,Tappara,32,32,0.464,2000-08-17,,9,,0,0,4,69,20,0,20,0.29,170,0.0,0,False,KRISTIAN TANUS,FIN,24,24,0,52,52,0.754,OL,11,0,0,21,,0,11,0,0,7.94,LEFT,0,252,252,3.652,home,79
2025,60751845,BEN,TARDIF,Kärpät,33,33,0.55,2000-01-24,,18,,0,0,0,60,19,0,19,0.317,178,0.0,0,False,BEN TARDIF,CAN,26,26,0,52,52,0.867,OL,1,0,0,22,,0,11,0,0,8.56,LEFT,0,222,222,3.7,away,87
2025,60872148,PETER,ABBANDONATO,Jukurit,32,32,0.492,1998-03-25,,12,,0,0,4,65,19,0,19,0.292,180,0.0,0,False,PETER ABBANDONATO,CAN,18,18,0,51,51,0.785,KH,7,0,0,19,,0,13,0,0,9.5,LEFT,0,200,200,3.077,home,88
2025,21415137,TEEMU,ERONEN,JYP,40,40,0.667,1990-11-22,,8,,0,0,2,60,11,0,11,0.183,180,0.0,0,False,TEEMU ERONEN,FIN,42,42,0,51,51,0.85,VP,3,0,0,19,,0,21,0,0,3.85,LEFT,0,286,286,4.767,home,87
2025,22396653,HEIKKI,LIEDES,K-Espoo,25,25,0.385,1993-01-12,,16,,0,0,7,65,25,0,25,0.385,186,0.0,0,False,HEIKKI LIEDES,FIN,24,24,0,50,50,0.769,VL,9,0,0,15,,0,10,0,0,10.73,LEFT,0,233,233,3.585,away,88
2025,25506929,TEEMU,TURUNEN,Kärpät,29,29,0.483,1995-11-24,,14,,0,0,3,60,21,0,21,0.35,179,0.0,0,False,TEEMU TURUNEN,FIN,39,39,0,50,50,0.833,VL,7,0,0,16,,0,13,0,0,8.24,LEFT,0,255,255,4.25,away,84
2025,60580854,Nicholas,Halloran,Tappara,35,35,0.507,1997-05-13,,12,,0,0,0,69,15,0,15,0.217,178,0.0,0,False,Nicholas Halloran,USA,42,42,0,50,50,0.725,OL,3,0,0,22,,0,13,0,0,5.45,RIGHT,0,275,275,3.986,home,80
2025,22790602,IIRO,PAKARINEN,HIFK,16,16,0.25,1991-08-25,,22,,0,0,6,64,33,0,33,0.516,185,0.0,0,False,IIRO PAKARINEN,FIN,43,43,0,49,49,0.766,OL,10,0,0,10,,0,6,0,0,12.89,RIGHT,1,256,256,4.0,home,90
2025,60799830,LUKAS,WERNBLOM,TPS,21,21,0.323,2000-07-22,,18,,0,0,3,65,28,0,28,0.431,176,0.0,0,False,LUKAS WERNBLOM,SWE,79,79,0,49,49,0.754,VL,10,0,0,7,,0,14,0,0,8.83,LEFT,0,317,317,4.877,away,78
2025,60859897,KARSON,KUHLMAN,Lukko,27,27,0.38,1995-09-26,,16,,0,0,6,71,22,0,22,0.31,178,0.0,0,False,KARSON KUHLMAN,USA,18,18,0,49,49,0.69,OL,4,0,0,20,,0,7,0,0,8.7,LEFT,2,253,253,3.563,home,86
2025,28696292,JULIUS,MATTILA,Tappara,32,32,0.464,1997-10-09,,8,,0,0,3,69,17,0,17,0.246,180,0.0,0,False,JULIUS MATTILA,FIN,26,26,0,49,49,0.71,KH,9,0,0,12,,0,20,0,0,10.0,LEFT,0,170,170,2.464,home,79
2025,31574013,KASPER,SIMONTAIVAL,KalPa,29,29,0.367,2002-01-11,,13,,0,0,2,79,19,0,19,0.241,173,0.0,0,False,KASPER SIMONTAIVAL,FIN,52,52,0,48,48,0.608,OL,6,0,0,18,,0,11,0,0,6.6,RIGHT,0,288,288,3.646,home,84
2025,31903545,MIKKO,PETMAN,SaiPa,30,30,0.37,2001-05-13,,16,,0,0,4,81,18,0,18,0.222,184,0.0,0,False,MIKKO PETMAN,FIN,112,112,0,48,48,0.593,OL,1,0,0,24,,0,6,0,0,9.14,RIGHT,1,197,197,2.432,away,98
2025,60651941,Linus,Andersson,Sport,20,20,0.299,1999-04-30,,17,,0,0,4,67,27,0,27,0.403,182,0.0,0,False,Linus Andersson,SWE,18,18,0,47,47,0.701,OL,10,0,0,11,,0,9,0,0,10.04,RIGHT,0,269,269,4.015,home,82
2025,22895620,JESPER,PIITULAINEN,Jukurit,28,28,0.431,1991-08-13,,17,,0,0,3,65,19,0,19,0.292,175,0.0,0,False,JESPER PIITULAINEN,FIN,14,14,0,47,47,0.723,OL,2,0,0,16,,0,12,0,0,9.31,RIGHT,0,204,204,3.138,home,75
2025,29864256,EEMIL,ERHOLTZ,Ässät,29,29,0.414,2000-03-25,,13,,0,0,3,70,18,0,18,0.257,181,0.0,0,False,EEMIL ERHOLTZ,FIN,36,36,0,47,47,0.671,VL,5,0,0,12,,0,17,0,0,7.44,RIGHT,0,242,242,3.457,home,83
2025,24650025,IIKKA,KANGASNIEMI,Pelicans,36,36,0.514,1995-02-18,,7,,0,0,2,70,11,0,11,0.157,170,0.0,0,False,IIKKA KANGASNIEMI,FIN,24,24,0,47,47,0.671,VL,4,0,0,21,,0,15,0,0,6.51,LEFT,0,169,169,2.414,away,70
2025,30010552,LEEVI,TUKIAINEN,Pelicans,23,23,0.329,2000-01-20,,16,,0,0,2,70,23,0,23,0.329,182,0.0,0,False,LEEVI TUKIAINEN,FIN,24,24,0,46,46,0.657,OL,7,0,0,10,,0,13,0,0,9.91,RIGHT,0,232,232,3.314,away,80
2025,34570580,TOPIAS,HYNNINEN,Jukurit,32,32,0.492,2005-12-19,,5,,0,0,3,65,14,0,14,0.215,177,0.0,0,False,TOPIAS HYNNINEN,FIN,6,6,0,46,46,0.708,KH,9,0,0,18,,0,14,0,0,10.61,LEFT,0,132,132,2.031,home,80
2025,30728763,VALTTERI,OJANTAKANEN,JYP,8,8,0.136,2000-09-16,,25,,0,0,4,59,37,0,37,0.627,184,0.0,0,False,VALTTERI OJANTAKANEN,FIN,37,37,0,45,45,0.763,OL,11,0,0,3,,0,5,0,0,10.98,RIGHT,1,337,337,5.712,home,85
2025,26590031,VILLE,MESKANEN,Ilves,23,23,0.324,1995-10-02,,10,,0,0,3,71,22,0,22,0.31,186,0.0,0,False,VILLE MESKANEN,FIN,26,26,0,45,45,0.634,OL,12,0,0,12,,0,11,0,0,8.15,RIGHT,0,270,270,3.803,home,90
2025,60705422,MARCUS,DAVIDSSON,KooKoo,26,26,0.413,1998-11-18,,17,,0,0,5,63,19,0,19,0.302,185,0.0,0,False,MARCUS DAVIDSSON,SWE,51,51,0,45,45,0.714,KH,2,0,0,16,,0,10,0,0,10.73,LEFT,0,177,177,2.81,away,90
2025,60861292,CAMERON,HILLIS,K-Espoo,29,29,0.446,2000-06-24,,16,,0,0,1,65,16,0,16,0.246,177,0.0,0,False,CAMERON HILLIS,CAN,40,40,0,45,45,0.692,KH,0,0,0,14,,0,15,0,0,8.04,RIGHT,0,199,199,3.062,away,76
2025,27752328,OTTO,PAAJANEN,KooKoo,30,30,0.469,1992-09-13,,13,,0,0,3,64,15,0,15,0.234,179,0.0,0,False,OTTO PAAJANEN,FIN,60,60,0,45,45,0.703,KH,1,0,0,13,,0,17,0,0,9.2,LEFT,1,163,163,2.547,away,88
2025,34320235,JESSE,KIISKINEN,HPK,31,31,0.5,2005-08-23,,7,,0,0,3,62,14,0,14,0.226,184,0.0,0,False,JESSE KIISKINEN,FIN,32,32,0,45,45,0.726,OL,7,0,0,18,,0,13,0,0,5.91,RIGHT,0,237,237,3.823,away,87
2025,24725109,LASSE,LAPPALAINEN,KalPa,32,32,0.405,1989-06-07,,6,,0,0,2,79,13,0,13,0.165,190,0.0,0,False,LASSE LAPPALAINEN,FIN,54,54,0,45,45,0.57,OP,7,0,0,13,,0,19,0,0,3.15,LEFT,0,413,413,5.228,home,93
2025,33373610,ROBERT,ROOBA,KooKoo,24,24,0.375,1993-09-02,,14,,0,0,4,64,20,0,20,0.312,191,0.0,0,False,ROBERT ROOBA,EST,18,18,0,44,44,0.688,OL,6,0,0,15,,0,9,0,0,6.99,LEFT,0,286,286,4.469,away,95
2025,23029644,TEEMU,RAUTIAINEN,HPK,27,27,0.429,1992-03-13,,11,,0,0,2,63,17,0,17,0.27,169,0.0,0,False,TEEMU RAUTIAINEN,FIN,14,14,0,44,44,0.698,VL,6,0,0,16,,0,11,0,0,8.72,LEFT,0,195,195,3.095,away,75
2025,60862736,JEAN-CHRISTOPHE,BEAUDIN,TPS,29,29,0.446,1997-03-25,,9,,0,0,2,65,15,0,15,0.231,185,0.0,0,False,JEAN-CHRISTOPHE BEAUDIN,CAN,26,26,0,44,44,0.677,KH,6,0,0,16,,0,13,0,0,10.07,RIGHT,0,149,149,2.292,away,89
2025,25042564,ARTTU,PELLI,Ilves,33,33,0.465,1996-08-22,,8,,0,0,5,71,11,0,11,0.155,176,0.0,0,False,ARTTU PELLI,FIN,14,14,0,44,44,0.62,OP,3,0,0,18,,0,15,0,0,3.51,RIGHT,0,313,313,4.408,home,77
2025,24174048,OTTO,LESKINEN,Tappara,35,35,0.507,1997-02-06,,7,,0,0,2,69,9,0,9,0.13,181,0.0,0,False,OTTO LESKINEN,FIN,32,32,0,44,44,0.638,OP,2,0,0,19,,0,16,0,0,4.17,LEFT,0,216,216,3.13,home,85
2025,29780877,NICLAS,ALMARI,Lukko,36,36,0.507,1998-05-11,,7,,0,0,2,71,7,0,7,0.099,187,0.0,0,False,NICLAS ALMARI,FIN,22,22,0,43,43,0.606,VP,0,0,0,15,,0,21,0,0,2.71,LEFT,0,258,258,3.634,home,86
2025,60861295,PETER,QUENNEVILLE,K-Espoo,18,18,0.277,1994-03-09,,10,,0,0,4,65,24,0,24,0.369,181,0.0,0,False,PETER QUENNEVILLE,CAN,20,20,0,42,42,0.646,OL,14,0,0,8,,0,10,0,0,9.45,RIGHT,0,254,254,3.908,away,87
