season,round,round_index,team,elo
2025-26,GW 1,1,HIFK,1486.07
2025-26,GW 1,1,HPK,1496.68
2025-26,GW 1,1,Ilves,1473.76
2025-26,GW 1,1,JYP,1524.98
2025-26,GW 1,1,Jukurit,1474.03
2025-26,GW 1,1,K-Espoo,1512.33
2025-26,GW 1,1,KalPa,1499.16
2025-26,GW 1,1,KooKoo,1483.64
2025-26,GW 1,1,Kärpät,1502.38
2025-26,GW 1,1,Lukko,1473.6
2025-26,GW 1,1,Pelicans,1523.38
2025-26,GW 1,1,SaiPa,1490.27
2025-26,GW 1,1,Sport,1489.03
2025-26,GW 1,1,TPS,1527.79
2025-26,GW 1,1,Tappara,1524.71
2025-26,GW 1,1,Ässät,1518.2
2025-26,GW 2,2,HIFK,1456.17
2025-26,GW 2,2,HPK,1488.09
2025-26,GW 2,2,Ilves,1490.17
2025-26,GW 2,2,JYP,1523.69
2025-26,GW 2,2,Jukurit,1467.29
2025-26,GW 2,2,K-Espoo,1506.83
2025-26,GW 2,2,KalPa,1506.69
2025-26,GW 2,2,KooKoo,1484.12
2025-26,GW 2,2,Kärpät,1498.42
2025-26,GW 2,2,Lukko,1494.93
2025-26,GW 2,2,Pelicans,1485.43
2025-26,GW 2,2,SaiPa,1494.58
2025-26,GW 2,2,Sport,1495.67
2025-26,GW 2,2,TPS,1523.21
2025-26,GW 2,2,Tappara,1552.92
2025-26,GW 2,2,Ässät,1531.78
2025-26,GW 3,3,HIFK,1478.74
2025-26,GW 3,3,HPK,1511.99
2025-26,GW 3,3,Ilves,1458.54
2025-26,GW 3,3,JYP,1558.26
2025-26,GW 3,3,Jukurit,1481.49
2025-26,GW 3,3,K-Espoo,1522.01
2025-26,GW 3,3,KalPa,1503.22
2025-26,GW 3,3,KooKoo,1487.27
2025-26,GW 3,3,Kärpät,1465.29
2025-26,GW 3,3,Lukko,1501.37
2025-26,GW 3,3,Pelicans,1448.06
2025-26,GW 3,3,SaiPa,1487.26
2025-26,GW 3,3,Sport,1497.87
2025-26,GW 3,3,TPS,1515.91
2025-26,GW 3,3,Tappara,1540.29
2025-26,GW 3,3,Ässät,1542.42
2025-26,GW 4,4,HIFK,1447.25
2025-26,GW 4,4,HPK,1504.35
2025-26,GW 4,4,Ilves,1443.29
2025-26,GW 4,4,JYP,1560.37
2025-26,GW 4,4,Jukurit,1510.33
2025-26,GW 4,4,K-Espoo,1504.08
2025-26,GW 4,4,KalPa,1518.65
2025-26,GW 4,4,KooKoo,1493.58
2025-26,GW 4,4,Kärpät,1491.33
2025-26,GW 4,4,Lukko,1507.1
2025-26,GW 4,4,Pelicans,1442.16
2025-26,GW 4,4,SaiPa,1522.06
