game_id,season,date,round,round_index,home_team,away_team,home_score,away_score,is_overtime,is_shootout,home_elo_before,away_elo_before,expected_home_win,actual_home_score,elo_delta_home,home_elo_after,away_elo_after
1,2025-26,2025-09-09 15:30:00+00:00,GW 1,1,HPK,TPS,2.0,3.0,False,True,1500.0,1500.0,0.5,0.25,-5.0,1495.0,1505.0
2,2025-26,2025-09-09 15:30:00+00:00,GW 1,1,Jukurit,HIFK,3.0,5.0,False,False,1500.0,1500.0,0.5,0.0,-10.986,1489.01,1510.99
3,2025-26,2025-09-09 15:30:00+00:00,GW 1,1,KooKoo,Ässät,1.0,5.0,False,False,1500.0,1500.0,0.5,0.0,-16.094,1483.91,1516.09
4,2025-26,2025-09-09 15:30:00+00:00,GW 1,1,Kärpät,Sport,0.0,3.0,False,False,1500.0,1500.0,0.5,0.0,-13.863,1486.14,1513.86
6,2025-26,2025-09-09 15:30:00+00:00,GW 1,1,Pelicans,K-Espoo,1.0,0.0,False,False,1500.0,1500.0,0.5,1.0,10.0,1510.0,1490.0
8,2025-26,2025-09-09 15:30:00+00:00,GW 1,1,SaiPa,KalPa,3.0,4.0,False,False,1500.0,1500.0,0.5,0.0,-10.0,1490.0,1510.0
5,2025-26,2025-09-10 15:30:00+00:00,GW 1,1,Lukko,Tappara,1.0,4.0,False,False,1500.0,1500.0,0.5,0.0,-13.863,1486.14,1513.86
7,2025-26,2025-09-10 15:30:00+00:00,GW 1,1,JYP,Ilves,4.0,3.0,False,False,1500.0,1500.0,0.5,1.0,10.0,1510.0,1490.0
10,2025-26,2025-09-12 15:30:00+00:00,GW 1,1,Kärpät,Ilves,6.0,2.0,False,False,1486.14,1490.0,0.4944,1.0,16.245,1502.38,1473.76
11,2025-26,2025-09-12 15:30:00+00:00,GW 1,1,SaiPa,KooKoo,2.0,4.0,False,False,1490.0,1483.91,0.5088,0.0,-11.148,1478.85,1495.05
12,2025-26,2025-09-12 15:30:00+00:00,GW 1,1,Sport,TPS,2.0,3.0,False,False,1513.86,1505.0,0.5128,0.0,-10.255,1503.61,1515.26
13,2025-26,2025-09-12 15:30:00+00:00,GW 1,1,Ässät,HPK,4.0,1.0,False,False,1516.09,1495.0,0.5303,1.0,12.899,1528.99,1482.1
9,2025-26,2025-09-12 15:30:00+00:00,GW 1,1,JYP,Jukurit,6.0,2.0,False,False,1510.0,1489.01,0.5302,1.0,14.981,1524.98,1474.03
14,2025-26,2025-09-12 16:30:00+00:00,GW 1,1,HIFK,K-Espoo,2.0,4.0,False,False,1510.99,1490.0,0.5302,0.0,-11.539,1499.45,1501.54
15,2025-26,2025-09-13 14:00:00+00:00,GW 1,1,HPK,Sport,4.0,1.0,False,False,1482.1,1503.61,0.4691,1.0,14.577,1496.68,1489.03
