season,round,round_index,team,elo
2025-26,GW 27,27,KooKoo,1617.96
2025-26,GW 27,27,Tappara,1617.13
2025-26,GW 27,27,Ilves,1611.79
2025-26,GW 27,27,SaiPa,1604.76
2025-26,GW 27,27,Lukko,1579.81
2025-26,GW 27,27,KalPa,1534.12
2025-26,GW 27,27,HIFK,1532.07
2025-26,GW 27,27,JYP,1531.78
2025-26,GW 27,27,Pelicans,1502.93
2025-26,GW 27,27,K-Espoo,1497.67
2025-26,GW 27,27,Ässät,1478.75
2025-26,GW 27,27,HPK,1467.42
2025-26,GW 27,27,Kärpät,1412.22
2025-26,GW 27,27,TPS,1387.6
2025-26,GW 27,27,Jukurit,1378.29
2025-26,GW 27,27,Sport,1245.7
