league,state_diff,n_score,n_total,n_concede,p_score,p_concede,next_if_score,next_if_concede
finland,-8,0,1,1,0.0,1.0,-7,-9
finland,-7,0,1,1,0.0,1.0,-6,-8
finland,-6,7,13,6,0.5385,0.4615,-5,-7
finland,-5,10,28,18,0.3571,0.6429,-4,-6
finland,-4,39,79,40,0.4937,0.5063,-3,-5
finland,-3,104,237,133,0.4388,0.5612,-2,-4
finland,-2,233,529,296,0.4405,0.5595,-1,-3
finland,-1,462,979,517,0.4719,0.5281,0,-2
finland,0,942,1884,942,0.5,0.5,1,-1
finland,1,517,979,462,0.5281,0.4719,2,0
finland,2,296,529,233,0.5595,0.4405,3,1
finland,3,133,237,104,0.5612,0.4388,4,2
finland,4,40,79,39,0.5063,0.4937,5,3
finland,5,18,28,10,0.6429,0.3571,6,4
finland,6,6,13,7,0.4615,0.5385,7,5
finland,7,1,1,0,1.0,0.0,8,6
finland,8,1,1,0,1.0,0.0,9,7
