league,team,state_diff,n_score,n_total,n_concede,p_score,p_concede,next_if_score,next_if_concede
finland,HIFK,-6,0,1,1,0.0,1.0,-5,-7
finland,HIFK,-5,4,7,3,0.5714,0.4286,-4,-6
finland,HIFK,-4,2,10,8,0.2,0.8,-3,-5
finland,HIFK,-3,5,18,13,0.2778,0.7222,-2,-4
finland,HIFK,-2,11,35,24,0.3143,0.6857,-1,-3
finland,HIFK,-1,24,58,34,0.4138,0.5862,0,-2
finland,HIFK,0,51,107,56,0.4766,0.5234,1,-1
finland,HIFK,1,34,56,22,0.6071,0.3929,2,0
finland,HIFK,2,15,33,18,0.4545,0.5455,3,1
finland,HIFK,3,6,11,5,0.5455,0.4545,4,2
finland,HIFK,4,2,3,1,0.6667,0.3333,5,3
finland,HIFK,5,1,2,1,0.5,0.5,6,4
finland,HIFK,6,0,1,1,0.0,1.0,7,5
finland,HPK,-6,3,3,0,1.0,0.0,-5,-7
finland,HPK,-5,0,3,3,0.0,1.0,-4,-6
finland,HPK,-4,2,4,2,0.5,0.5,-3,-5
finland,HPK,-3,5,12,7,0.4167,0.5833,-2,-4
finland,HPK,-2,20,38,18,0.5263,0.4737,-1,-3
finland,HPK,-1,32,73,41,0.4384,0.5616,0,-2
finland,HPK,0,52,116,64,0.4483,0.5517,1,-1
finland,HPK,1,25,49,24,0.5102,0.4898,2,0
finland,HPK,2,12,21,9,0.5714,0.4286,3,1
finland,HPK,3,4,9,5,0.4444,0.5556,4,2
finland,HPK,4,1,1,0,1.0,0.0,5,3
finland,HPK,5,0,1,1,0.0,1.0,6,4
finland,Ilves,-6,1,1,0,1.0,0.0,-5,-7
finland,Ilves,-5,1,2,1,0.5,0.5,-4,-6
finland,Ilves,-4,1,3,2,0.3333,0.6667,-3,-5
finland,Ilves,-3,6,13,7,0.4615,0.5385,-2,-4
finland,Ilves,-2,8,24,16,0.3333,0.6667,-1,-3
finland,Ilves,-1,28,49,21,0.5714,0.4286,0,-2
finland,Ilves,0,66,118,52,0.5593,0.4407,1,-1
finland,Ilves,1,43,73,30,0.589,0.411,2,0
finland,Ilves,2,24,42,18,0.5714,0.4286,3,1
finland,Ilves,3,8,13,5,0.6154,0.3846,4,2
finland,Ilves,4,3,6,3,0.5,0.5,5,3
finland,Ilves,5,3,3,0,1.0,0.0,6,4
finland,Ilves,6,0,2,2,0.0,1.0,7,5
finland,JYP,-6,0,1,1,0.0,1.0,-5,-7
finland,JYP,-5,0,2,2,0.0,1.0,-4,-6
finland,JYP,-4,6,8,2,0.75,0.25,-3,-5
finland,JYP,-3,8,19,11,0.4211,0.5789,-2,-4
finland,JYP,-2,10,29,19,0.3448,0.6552,-1,-3
finland,JYP,-1,29,54,25,0.537,0.463,0,-2
finland,JYP,0,78,131,53,0.5954,0.4046,1,-1
finland,JYP,1,39,79,40,0.4937,0.5063,2,0
finland,JYP,2,21,41,20,0.5122,0.4878,3,1
finland,JYP,3,13,21,8,0.619,0.381,4,2
finland,JYP,4,2,8,6,0.25,0.75,5,3
finland,JYP,5,1,1,0,1.0,0.0,6,4
finland,Jukurit,-5,1,1,0,1.0,0.0,-4,-6
finland,Jukurit,-4,3,4,1,0.75,0.25,-3,-5
finland,Jukurit,-3,7,17,10,0.4118,0.5882,-2,-4
finland,Jukurit,-2,17,34,17,0.5,0.5,-1,-3
finland,Jukurit,-1,24,61,37,0.3934,0.6066,0,-2
finland,Jukurit,0,55,117,62,0.4701,0.5299,1,-1
finland,Jukurit,1,20,52,32,0.3846,0.6154,2,0
finland,Jukurit,2,7,19,12,0.3684,0.6316,3,1
finland,Jukurit,3,2,3,1,0.6667,0.3333,4,2
finland,K-Espoo,-4,1,3,2,0.3333,0.6667,-3,-5
finland,K-Espoo,-3,3,8,5,0.375,0.625,-2,-4
finland,K-Espoo,-2,10,22,12,0.4545,0.5455,-1,-3
finland,K-Espoo,-1,32,56,24,0.5714,0.4286,0,-2
finland,K-Espoo,0,56,119,63,0.4706,0.5294,1,-1
finland,K-Espoo,1,32,61,29,0.5246,0.4754,2,0
finland,K-Espoo,2,11,28,17,0.3929,0.6071,3,1
finland,K-Espoo,3,9,12,3,0.75,0.25,4,2
finland,K-Espoo,4,2,5,3,0.4,0.6,5,3
finland,K-Espoo,5,2,2,0,1.0,0.0,6,4
finland,K-Espoo,6,2,3,1,0.6667,0.3333,7,5
finland,KalPa,-8,0,1,1,0.0,1.0,-7,-9
finland,KalPa,-7,0,1,1,0.0,1.0,-6,-8
finland,KalPa,-6,1,3,2,0.3333,0.6667,-5,-7
finland,KalPa,-5,0,3,3,0.0,1.0,-4,-6
finland,KalPa,-4,5,8,3,0.625,0.375,-3,-5
finland,KalPa,-3,4,15,11,0.2667,0.7333,-2,-4
finland,KalPa,-2,15,33,18,0.4545,0.5455,-1,-3
finland,KalPa,-1,33,63,30,0.5238,0.4762,0,-2
finland,KalPa,0,63,120,57,0.525,0.475,1,-1
finland,KalPa,1,40,69,29,0.5797,0.4203,2,0
finland,KalPa,2,22,38,16,0.5789,0.4211,3,1
finland,KalPa,3,5,17,12,0.2941,0.7059,4,2
finland,KalPa,4,1,3,2,0.3333,0.6667,5,3
finland,KooKoo,-5,2,2,0,1.0,0.0,-4,-6
finland,KooKoo,-4,4,6,2,0.6667,0.3333,-3,-5
finland,KooKoo,-3,6,16,10,0.375,0.625,-2,-4
finland,KooKoo,-2,14,28,14,0.5,0.5,-1,-3
finland,KooKoo,-1,27,58,31,0.4655,0.5345,0,-2
finland,KooKoo,0,63,110,47,0.5727,0.4273,1,-1
finland,KooKoo,1,45,68,23,0.6618,0.3382,2,0
finland,KooKoo,2,32,49,17,0.6531,0.3469,3,1
finland,KooKoo,3,18,27,9,0.6667,0.3333,4,2
finland,KooKoo,4,6,10,4,0.6,0.4,5,3
finland,KooKoo,5,2,4,2,0.5,0.5,6,4
finland,KooKoo,6,1,1,0,1.0,0.0,7,5
finland,Kärpät,-4,1,1,0,1.0,0.0,-3,-5
finland,Kärpät,-3,8,13,5,0.6154,0.3846,-2,-4
finland,Kärpät,-2,20,41,21,0.4878,0.5122,-1,-3
finland,Kärpät,-1,26,63,37,0.4127,0.5873,0,-2
finland,Kärpät,0,64,128,64,0.5,0.5,1,-1
finland,Kärpät,1,32,75,43,0.4267,0.5733,2,0
finland,Kärpät,2,18,39,21,0.4615,0.5385,3,1
finland,Kärpät,3,7,16,9,0.4375,0.5625,4,2
finland,Kärpät,4,3,5,2,0.6,0.4,5,3
finland,Kärpät,5,1,2,1,0.5,0.5,6,4
finland,Lukko,-5,1,1,0,1.0,0.0,-4,-6
finland,Lukko,-4,3,5,2,0.6,0.4,-3,-5
finland,Lukko,-3,12,18,6,0.6667,0.3333,-2,-4
finland,Lukko,-2,13,35,22,0.3714,0.6286,-1,-3
finland,Lukko,-1,32,58,26,0.5517,0.4483,0,-2
finland,Lukko,0,57,110,53,0.5182,0.4818,1,-1
finland,Lukko,1,41,61,20,0.6721,0.3279,2,0
finland,Lukko,2,19,38,19,0.5,0.5,3,1
finland,Lukko,3,12,19,7,0.6316,0.3684,4,2
finland,Lukko,4,3,7,4,0.4286,0.5714,5,3
finland,Lukko,5,1,3,2,0.3333,0.6667,6,4
finland,Lukko,6,0,1,1,0.0,1.0,7,5
finland,Pelicans,-5,0,1,1,0.0,1.0,-4,-6
finland,Pelicans,-4,3,6,3,0.5,0.5,-3,-5
finland,Pelicans,-3,6,17,11,0.3529,0.6471,-2,-4
finland,Pelicans,-2,12,32,20,0.375,0.625,-1,-3
finland,Pelicans,-1,28,64,36,0.4375,0.5625,0,-2
finland,Pelicans,0,47,107,60,0.4393,0.5607,1,-1
finland,Pelicans,1,24,42,18,0.5714,0.4286,2,0
finland,Pelicans,2,15,27,12,0.5556,0.4444,3,1
finland,Pelicans,3,4,9,5,0.4444,0.5556,4,2
finland,Pelicans,4,1,2,1,0.5,0.5,5,3
finland,Pelicans,5,2,2,0,1.0,0.0,6,4
finland,Pelicans,6,1,1,0,1.0,0.0,7,5
finland,SaiPa,-4,2,4,2,0.5,0.5,-3,-5
finland,SaiPa,-3,6,10,4,0.6,0.4,-2,-4
finland,SaiPa,-2,14,28,14,0.5,0.5,-1,-3
finland,SaiPa,-1,29,56,27,0.5179,0.4821,0,-2
finland,SaiPa,0,77,132,55,0.5833,0.4167,1,-1
finland,SaiPa,1,40,80,40,0.5,0.5,2,0
finland,SaiPa,2,28,42,14,0.6667,0.3333,3,1
finland,SaiPa,3,12,21,9,0.5714,0.4286,4,2
finland,SaiPa,4,2,5,3,0.4,0.6,5,3
finland,SaiPa,5,1,1,0,1.0,0.0,6,4
finland,SaiPa,6,0,1,1,0.0,1.0,7,5
finland,Sport,-6,1,2,1,0.5,0.5,-5,-7
finland,Sport,-5,0,3,3,0.0,1.0,-4,-6
finland,Sport,-4,2,7,5,0.2857,0.7143,-3,-5
finland,Sport,-3,9,23,14,0.3913,0.6087,-2,-4
finland,Sport,-2,15,50,35,0.3,0.7,-1,-3
finland,Sport,-1,25,71,46,0.3521,0.6479,0,-2
finland,Sport,0,36,111,75,0.3243,0.6757,1,-1
finland,Sport,1,13,39,26,0.3333,0.6667,2,0
finland,Sport,2,6,13,7,0.4615,0.5385,3,1
finland,Sport,3,4,6,2,0.6667,0.3333,4,2
finland,Sport,4,3,4,1,0.75,0.25,5,3
finland,Sport,5,0,2,2,0.0,1.0,6,4
finland,TPS,-6,1,2,1,0.5,0.5,-5,-7
finland,TPS,-5,0,2,2,0.0,1.0,-4,-6
finland,TPS,-4,2,6,4,0.3333,0.6667,-3,-5
finland,TPS,-3,9,19,10,0.4737,0.5263,-2,-4
finland,TPS,-2,17,38,21,0.4474,0.5526,-1,-3
finland,TPS,-1,30,67,37,0.4478,0.5522,0,-2
finland,TPS,0,59,126,67,0.4683,0.5317,1,-1
finland,TPS,1,15,53,38,0.283,0.717,2,0
finland,TPS,2,9,12,3,0.75,0.25,3,1
finland,TPS,3,2,5,3,0.4,0.6,4,2
finland,TPS,4,1,1,0,1.0,0.0,5,3
finland,Tappara,-3,8,8,0,1.0,0.0,-2,-4
finland,Tappara,-2,20,32,12,0.625,0.375,-1,-3
finland,Tappara,-1,33,63,30,0.5238,0.4762,0,-2
finland,Tappara,0,61,117,56,0.5214,0.4786,1,-1
finland,Tappara,1,40,63,23,0.6349,0.3651,2,0
finland,Tappara,2,36,49,13,0.7347,0.2653,3,1
finland,Tappara,3,15,28,13,0.5357,0.4643,4,2
finland,Tappara,4,9,13,4,0.6923,0.3077,5,3
finland,Tappara,5,4,5,1,0.8,0.2,6,4
finland,Tappara,6,2,3,1,0.6667,0.3333,7,5
finland,Tappara,7,1,1,0,1.0,0.0,8,6
