league,league_label,team,wiki_title,wiki_api,wikidata_qid,logo_filename,logo_url,local_path,status,score
finland,Liiga,HIFK,,,,,,,no_good_title,0.0
finland,Liiga,HPK,,,,,,,no_good_title,0.0
finland,Liiga,Ilves,,,,,,,no_good_title,0.0
finland,Liiga,JYP,,,,,,,no_good_title,0.0
finland,Liiga,Jukurit,,,,,,,no_good_title,0.0
finland,Liiga,K-Espoo,,,,,,,no_good_title,0.0
finland,Liiga,KalPa,,,,,,,no_good_title,0.0
finland,Liiga,KooKoo,,,,,,,no_good_title,0.0
finland,Liiga,Kärpät,,,,,,,no_good_title,0.0
finland,Liiga,Lukko,,,,,,,no_good_title,0.0
finland,Liiga,Pelicans,,,,,,,no_good_title,0.0
finland,Liiga,SaiPa,,,,,,,no_good_title,0.0
finland,Liiga,Sport,,,,,,,no_good_title,0.0
finland,Liiga,TPS,,,,,,,no_good_title,0.0
finland,Liiga,Tappara,,,,,,,no_good_title,0.0
finland,Liiga,Ässät,,,,,,,no_good_title,0.0
