game_slug,season,period,time,event_type,team,assists,gk_direction,goal_type,goalkeeper,penalized_player,penalty_minutes,penalty_reason,raw_event,served_by
01032026_adler-mannheim_gg_straubing-tigers_4264,2025-26,,60:00,period_end,,,,,,,,,Drittelende  ,
01032026_adler-mannheim_gg_straubing-tigers_4264,2025-26,,58:59,timeout,,,,,,,,,Auszeit  ,
01032026_adler-mannheim_gg_straubing-tigers_4264,2025-26,,58:59,goalkeeper_change,,,out,,Maximilian Franzreb,,,,Torhüter aus dem Tor : Maximilian Franzreb (#56)  ,
01032026_adler-mannheim_gg_straubing-tigers_4264,2025-26,,57:49,penalty,,,,,,Nicolas Mattinen,2,DELAY,2 Min.  Strafe  gegen Nicolas Mattinen (#52) wegen DELAY  ,
01032026_adler-mannheim_gg_straubing-tigers_4264,2025-26,,57:42,goalkeeper_change,,,in,,Maximilian Franzreb,,,,Torhüter ins Tor : Maximilian Franzreb (#56)  ,
01032026_adler-mannheim_gg_straubing-tigers_4264,2025-26,,56:52,goalkeeper_change,,,out,,Maximilian Franzreb,,,,Torhüter aus dem Tor : Maximilian Franzreb (#56)  ,
01032026_adler-mannheim_gg_straubing-tigers_4264,2025-26,,54:26,goal,,Gilmour (#7) und Esposito (#19),,PP1,,,,,Tor (PP1) von Zachary Solow (#73) auf Vorlage von Gilmour (#7) und Esposito (#19) Tor (PP1) von Zachary Solow (#73) auf Vorlage von Gilmour (#7) und Esposito (#19) 2 3,
01032026_adler-mannheim_gg_straubing-tigers_4264,2025-26,,52:30,penalty,,,,,,Ryan Merkley,2,INTRF,2 Min.  Strafe  gegen Ryan Merkley (#58) wegen INTRF  ,
01032026_adler-mannheim_gg_straubing-tigers_4264,2025-26,,45:01,goal,,Leonhardt (#53),,,,,,,Tor von Justin Scott (#20) auf Vorlage von Leonhardt (#53) Tor von Justin Scott (#20) auf Vorlage von Leonhardt (#53) 1 3,
01032026_adler-mannheim_gg_straubing-tigers_4264,2025-26,,40:00,period_end,,,,,,,,,Drittelende  ,
01032026_adler-mannheim_gg_straubing-tigers_4264,2025-26,,40:00,period_start,,,,,,,,,Drittelstart  ,
01032026_adler-mannheim_gg_straubing-tigers_4264,2025-26,,34:13,goal,,Mattinen (#52) und Gawanke (#9),,PP1,,,,,Tor (PP1) von Justin Schütz (#74) auf Vorlage von Mattinen (#52) und Gawanke (#9) Tor (PP1) von Justin Schütz (#74) auf Vorlage von Mattinen (#52) und Gawanke (#9) 1 2,
01032026_adler-mannheim_gg_straubing-tigers_4264,2025-26,,33:37,penalty,,,,,,Stefan Loibl,2,DELAY,2 Min.  Strafe  gegen Stefan Loibl (#38) wegen DELAY  ,
01032026_adler-mannheim_gg_straubing-tigers_4264,2025-26,,24:17,penalty,,,,,,Hayden Shaw,5,FIST,5 Min.  Strafe  gegen Hayden Shaw (#82) wegen FIST  ,
01032026_adler-mannheim_gg_straubing-tigers_4264,2025-26,,24:17,penalty,,,,,,Alex Green,2,INTRF,2 Min.  Strafe  gegen Alex Green (#6) angetreten von Simon Seidl (#39) wegen INTRF  ,Simon Seidl
01032026_adler-mannheim_gg_straubing-tigers_4264,2025-26,,24:17,penalty,,,,,,Alex Green,5,FIST,5 Min.  Strafe  gegen Alex Green (#6) wegen FIST  ,
01032026_adler-mannheim_gg_straubing-tigers_4264,2025-26,,20:21,penalty,,,,,,Tyler Madden,2,SLASH,2 Min.  Strafe  gegen Tyler Madden (#18) wegen SLASH  ,
01032026_adler-mannheim_gg_straubing-tigers_4264,2025-26,,20:00,period_end,,,,,,,,,Drittelende  ,
01032026_adler-mannheim_gg_straubing-tigers_4264,2025-26,,20:00,period_start,,,,,,,,,Drittelstart  ,
01032026_adler-mannheim_gg_straubing-tigers_4264,2025-26,,19:36,penalty,,,,,,Zachary Solow,2,CHE-H,2 Min.  Strafe  gegen Zachary Solow (#73) wegen CHE-H  ,
01032026_adler-mannheim_gg_straubing-tigers_4264,2025-26,,16:15,goal,,Madden (#18) und Halloran (#71),,,,,,,Tor von Elis Hede (#75) auf Vorlage von Madden (#18) und Halloran (#71) Tor von Elis Hede (#75) auf Vorlage von Madden (#18) und Halloran (#71) 0 2,
01032026_adler-mannheim_gg_straubing-tigers_4264,2025-26,,12:28,goal,,Scott (#20) und Zimmermann (#13),,,,,,,Tor von Danjo Leonhardt (#53) auf Vorlage von Scott (#20) und Zimmermann (#13) Tor von Danjo Leonhardt (#53) auf Vorlage von Scott (#20) und Zimmermann (#13) 0 1,
01032026_adler-mannheim_gg_straubing-tigers_4264,2025-26,,8:36,penalty,,,,,,Dan Renouf,2,TRIP,2 Min.  Strafe  gegen Dan Renouf (#4) wegen TRIP  ,
01032026_adler-mannheim_gg_straubing-tigers_4264,2025-26,,0:00,period_start,,,,,,,,,Drittelstart  ,
01032026_adler-mannheim_gg_straubing-tigers_4264,2025-26,,0:00,goalkeeper_change,,,in,,Maximilian Franzreb,,,,Torhüter ins Tor : Maximilian Franzreb (#56)  ,
01032026_adler-mannheim_gg_straubing-tigers_4264,2025-26,,0:00,goalkeeper_change,,,in,,Florian Bugl,,,,Torhüter ins Tor : Florian Bugl (#1)  ,
01032026_ehc-red-bull-muenchen_gg_koelner-haie_4266,2025-26,,60:00,period_end,,,,,,,,,Drittelende  ,
01032026_ehc-red-bull-muenchen_gg_koelner-haie_4266,2025-26,,58:26,penalty,,,,,,,2,DELAY,2 Min.  Strafe  gegen Louis-Marc Aubry (#15) wegen DELAY  ,
01032026_ehc-red-bull-muenchen_gg_koelner-haie_4266,2025-26,,57:48,goalkeeper_change,,,out,,Mathias Niederberger,,,,Torhüter aus dem Tor : Mathias Niederberger (#35)  ,
01032026_ehc-red-bull-muenchen_gg_koelner-haie_4266,2025-26,,56:52,timeout,,,,,,,,,Auszeit  ,
01032026_ehc-red-bull-muenchen_gg_koelner-haie_4266,2025-26,,56:52,penalty,,,,,,Nate Schnarr,2,DELAY,2 Min.  Strafe  gegen Nate Schnarr (#76) wegen DELAY  ,
01032026_ehc-red-bull-muenchen_gg_koelner-haie_4266,2025-26,,49:54,penalty,,,,,,Oliwer Kaski,2,DELAY,2 Min.  Strafe  gegen Oliwer Kaski (#7) wegen DELAY  ,
01032026_ehc-red-bull-muenchen_gg_koelner-haie_4266,2025-26,,47:02,penalty,,,,,,Frederik Storm,2,SLASH,2 Min.  Strafe  gegen Frederik Storm (#19) wegen SLASH  ,
01032026_ehc-red-bull-muenchen_gg_koelner-haie_4266,2025-26,,47:02,penalty,,,,,,Fabio Wagner,2,TRIP,2 Min.  Strafe  gegen Fabio Wagner (#55) wegen TRIP  ,
01032026_ehc-red-bull-muenchen_gg_koelner-haie_4266,2025-26,,44:40,penalty,,,,,,Maximilian Kastner,2,HOOK,2 Min.  Strafe  gegen Maximilian Kastner (#93) wegen HOOK  ,
