game_slug,season,team,jersey,name,goals_against,is_captain,is_starter,minutes,save_pct,saves
01032026_iserlohn-roosters_gg_augsburger-panther_4263,2025-26,Iserlohn Roosters,32,Hendrik Hane,2,False,True,60:00,91.67%,22
01032026_iserlohn-roosters_gg_augsburger-panther_4263,2025-26,Iserlohn Roosters,92,Andreas Jenike,,False,False,,,
01032026_iserlohn-roosters_gg_augsburger-panther_4263,2025-26,Augsburger Panther,34,Michael Garteig,3,False,True,58:26,86.96%,20
01032026_iserlohn-roosters_gg_augsburger-panther_4263,2025-26,Augsburger Panther,41,Peyton Jones,,False,False,,,
01032026_loewen-frankfurt_gg_grizzlys-wolfsburg_4268,2025-26,Löwen Frankfurt,30,Mirko Pantkowski,2,False,True,60:27,91.30%,21
01032026_loewen-frankfurt_gg_grizzlys-wolfsburg_4268,2025-26,Löwen Frankfurt,51,Cody Brenner,,False,False,,,
01032026_loewen-frankfurt_gg_grizzlys-wolfsburg_4268,2025-26,Grizzlys Wolfsburg,1,Dustin Strahlmeier,3,False,True,60:27,90.32%,28
01032026_loewen-frankfurt_gg_grizzlys-wolfsburg_4268,2025-26,Grizzlys Wolfsburg,67,Hannibal Weitzmann,,False,False,,,
01032026_schwenninger-wild-wings_gg_dresdner-eisloewen_4267,2025-26,Schwenninger Wild Wings,60,Joacim Eriksson,4,False,True,58:11,85.19%,23
01032026_schwenninger-wild-wings_gg_dresdner-eisloewen_4267,2025-26,Schwenninger Wild Wings,1,Michael Bitzer,,False,False,,,
01032026_schwenninger-wild-wings_gg_dresdner-eisloewen_4267,2025-26,Dresdner Eislöwen,62,Janick Schwendener,2,False,True,60:00,94.44%,34
01032026_schwenninger-wild-wings_gg_dresdner-eisloewen_4267,2025-26,Dresdner Eislöwen,45,Juho Olkinuora,,False,False,,,
01112025_iserlohn-roosters_gg_grizzlys-wolfsburg_4053,2025-26,Iserlohn Roosters,92,Andreas Jenike,2,False,True,63:43,93.10%,27
01112025_iserlohn-roosters_gg_grizzlys-wolfsburg_4053,2025-26,Iserlohn Roosters,32,Hendrik Hane,,False,False,,,
01112025_iserlohn-roosters_gg_grizzlys-wolfsburg_4053,2025-26,Grizzlys Wolfsburg,1,Dustin Strahlmeier,3,False,True,63:43,87.50%,21
01112025_iserlohn-roosters_gg_grizzlys-wolfsburg_4053,2025-26,Grizzlys Wolfsburg,67,Hannibal Weitzmann,,False,False,,,
02012026_adler-mannheim_gg_dresdner-eisloewen_4182,2025-26,Adler Mannheim,33,Johan Christer Mattsson,4,False,True,57:00,78.95%,15
02012026_adler-mannheim_gg_dresdner-eisloewen_4182,2025-26,Adler Mannheim,72,Kimi Saffran,,False,False,,,
