season,round,round_index,team,elo
2025-26,R 1,1,Dresdner Eislöwen,1483.91
2025-26,R 1,1,Eisbären Berlin,1516.09
2025-26,R 2,2,Adler Mannheim,1513.86
2025-26,R 2,2,Augsburger Panther,1489.01
2025-26,R 2,2,Dresdner Eislöwen,1483.91
2025-26,R 2,2,EHC Red Bull München,1510.99
2025-26,R 2,2,ERC Ingolstadt,1490.0
2025-26,R 2,2,Eisbären Berlin,1516.09
2025-26,R 2,2,Grizzlys Wolfsburg,1521.97
2025-26,R 2,2,Iserlohn Roosters,1510.0
2025-26,R 2,2,Kölner Haie,1489.01
2025-26,R 2,2,Löwen Frankfurt,1478.03
2025-26,R 2,2,Nürnberg Ice Tigers,1510.99
2025-26,R 2,2,Pinguins Bremerhaven,1510.0
2025-26,R 2,2,Schwenninger Wild Wings,1490.0
2025-26,R 2,2,Straubing Tigers,1486.14
2025-26,R 3,3,Adler Mannheim,1526.59
2025-26,R 3,3,Augsburger Panther,1476.28
2025-26,R 3,3,Dresdner Eislöwen,1483.91
2025-26,R 3,3,EHC Red Bull München,1500.96
2025-26,R 3,3,ERC Ingolstadt,1490.0
2025-26,R 3,3,Eisbären Berlin,1530.76
2025-26,R 3,3,Grizzlys Wolfsburg,1532.56
2025-26,R 3,3,Iserlohn Roosters,1499.42
2025-26,R 3,3,Kölner Haie,1474.35
2025-26,R 3,3,Löwen Frankfurt,1468.26
2025-26,R 3,3,Nürnberg Ice Tigers,1500.4
2025-26,R 3,3,Pinguins Bremerhaven,1520.03
2025-26,R 3,3,Schwenninger Wild Wings,1500.58
2025-26,R 3,3,Straubing Tigers,1495.9
2025-26,R 4,4,Adler Mannheim,1526.59
2025-26,R 4,4,Augsburger Panther,1476.28
2025-26,R 4,4,Dresdner Eislöwen,1497.05
2025-26,R 4,4,EHC Red Bull München,1500.96
2025-26,R 4,4,ERC Ingolstadt,1490.0
2025-26,R 4,4,Eisbären Berlin,1530.76
2025-26,R 4,4,Grizzlys Wolfsburg,1532.56
2025-26,R 4,4,Iserlohn Roosters,1499.42
2025-26,R 4,4,Kölner Haie,1474.35
2025-26,R 4,4,Löwen Frankfurt,1455.12
2025-26,R 4,4,Nürnberg Ice Tigers,1500.4
2025-26,R 4,4,Pinguins Bremerhaven,1520.03
2025-26,R 4,4,Schwenninger Wild Wings,1500.58
2025-26,R 4,4,Straubing Tigers,1495.9
2025-26,R 5,5,Adler Mannheim,1546.25
2025-26,R 5,5,Augsburger Panther,1463.55
2025-26,R 5,5,Dresdner Eislöwen,1497.05
2025-26,R 5,5,EHC Red Bull München,1513.7
2025-26,R 5,5,ERC Ingolstadt,1501.22
2025-26,R 5,5,Eisbären Berlin,1511.1
2025-26,R 5,5,Grizzlys Wolfsburg,1521.34
2025-26,R 5,5,Iserlohn Roosters,1509.45
2025-26,R 5,5,Kölner Haie,1489.08
2025-26,R 5,5,Löwen Frankfurt,1455.12
2025-26,R 5,5,Nürnberg Ice Tigers,1490.37
2025-26,R 5,5,Pinguins Bremerhaven,1505.37
2025-26,R 5,5,Schwenninger Wild Wings,1485.84
2025-26,R 5,5,Straubing Tigers,1510.57
2025-26,R 6,6,Adler Mannheim,1546.25
2025-26,R 6,6,Augsburger Panther,1478.91
2025-26,R 6,6,Dresdner Eislöwen,1484.3
2025-26,R 6,6,EHC Red Bull München,1497.48
2025-26,R 6,6,ERC Ingolstadt,1501.22
2025-26,R 6,6,Eisbären Berlin,1494.78
2025-26,R 6,6,Grizzlys Wolfsburg,1534.09
2025-26,R 6,6,Iserlohn Roosters,1494.09
2025-26,R 6,6,Kölner Haie,1500.1
2025-26,R 6,6,Löwen Frankfurt,1442.65
2025-26,R 6,6,Nürnberg Ice Tigers,1479.35
2025-26,R 6,6,Pinguins Bremerhaven,1521.68
2025-26,R 6,6,Schwenninger Wild Wings,1498.31
2025-26,R 6,6,Straubing Tigers,1526.78
2025-26,R 7,7,Adler Mannheim,1546.25
2025-26,R 7,7,Augsburger Panther,1478.91
2025-26,R 7,7,Dresdner Eislöwen,1484.3
