season,round,round_index,team,elo
2025-26,R 75,75,Kölner Haie,1646.94
2025-26,R 75,75,Adler Mannheim,1631.25
2025-26,R 75,75,EHC Red Bull München,1623.18
2025-26,R 75,75,ERC Ingolstadt,1613.99
2025-26,R 75,75,Straubing Tigers,1554.28
2025-26,R 75,75,Eisbären Berlin,1541.23
2025-26,R 75,75,Pinguins Bremerhaven,1510.04
2025-26,R 75,75,Schwenninger Wild Wings,1474.09
2025-26,R 75,75,Grizzlys Wolfsburg,1461.66
2025-26,R 75,75,Nürnberg Ice Tigers,1461.19
2025-26,R 75,75,Iserlohn Roosters,1434.12
2025-26,R 75,75,Augsburger Panther,1394.08
2025-26,R 75,75,Löwen Frankfurt,1385.78
2025-26,R 75,75,Dresdner Eislöwen,1268.16
