league,league_label,team,wiki_title,wiki_api,wikidata_qid,logo_filename,logo_url,local_path,status,score
germany,DEL,Adler Mannheim,,,,,,,no_good_title,0.0
germany,DEL,Augsburger Panther,,,,,,,no_good_title,0.0
germany,DEL,Dresdner Eislöwen,,,,,,,no_good_title,0.0
germany,DEL,EHC Red Bull München,,,,,,,no_good_title,0.0
germany,DEL,ERC Ingolstadt,,,,,,,no_good_title,0.0
germany,DEL,Eisbären Berlin,,,,,,,no_good_title,0.0
germany,DEL,Grizzlys Wolfsburg,,,,,,,no_good_title,0.0
germany,DEL,Iserlohn Roosters,,,,,,,no_good_title,0.0
germany,DEL,Kölner Haie,,,,,,,no_good_title,0.0
germany,DEL,Löwen Frankfurt,,,,,,,no_good_title,0.0
germany,DEL,Nürnberg Ice Tigers,,,,,,,no_good_title,0.0
germany,DEL,Pinguins Bremerhaven,,,,,,,no_good_title,0.0
germany,DEL,Schwenninger Wild Wings,,,,,,,no_good_title,0.0
germany,DEL,Straubing Tigers,,,,,,,no_good_title,0.0
