source,league,league_label,game_url,match_date,home_team,away_team,home_score,away_score,status,bookmaker,outcome_type,european_odds,fetched_at
oddsportal,germany,DEL,https://www.oddsportal.com/hockey/h2h/eisbaren-berlin-vwLXr6U8/straubing-tigers-4rgakDjm#GtXDry2m,2026-04-04,Eisbaren Berlin,Straubing Tigers,6,5,final_ot,OddsPortal Avg,home,1.90,2026-04-07T13:57:39.943163+00:00
oddsportal,germany,DEL,https://www.oddsportal.com/hockey/h2h/eisbaren-berlin-vwLXr6U8/straubing-tigers-4rgakDjm#GtXDry2m,2026-04-04,Eisbaren Berlin,Straubing Tigers,6,5,final_ot,OddsPortal Avg,draw,4.35,2026-04-07T13:57:39.943163+00:00
oddsportal,germany,DEL,https://www.oddsportal.com/hockey/h2h/eisbaren-berlin-vwLXr6U8/straubing-tigers-4rgakDjm#GtXDry2m,2026-04-04,Eisbaren Berlin,Straubing Tigers,6,5,final_ot,OddsPortal Avg,away,3.65,2026-04-07T13:57:39.943163+00:00
oddsportal,germany,DEL,https://www.oddsportal.com/hockey/h2h/erc-ingolstadt-OzEsAZ6s/munchen-dOHrLrqd#U3g8eKz0,2026-04-04,ERC Ingolstadt,Munchen,3,7,final,OddsPortal Avg,home,2.51,2026-04-07T13:57:39.943163+00:00
oddsportal,germany,DEL,https://www.oddsportal.com/hockey/h2h/erc-ingolstadt-OzEsAZ6s/munchen-dOHrLrqd#U3g8eKz0,2026-04-04,ERC Ingolstadt,Munchen,3,7,final,OddsPortal Avg,draw,4.30,2026-04-07T13:57:39.943163+00:00
oddsportal,germany,DEL,https://www.oddsportal.com/hockey/h2h/erc-ingolstadt-OzEsAZ6s/munchen-dOHrLrqd#U3g8eKz0,2026-04-04,ERC Ingolstadt,Munchen,3,7,final,OddsPortal Avg,away,2.64,2026-04-07T13:57:39.943163+00:00
oddsportal,germany,DEL,https://www.oddsportal.com/hockey/h2h/adler-mannheim-0jhpSN72/pinguins-bremerhaven-vRV0SS63#jamrbJe5,2026-04-02,Adler Mannheim,Bremerhaven,4,3,final,OddsPortal Avg,home,1.68,2026-04-07T13:57:39.943163+00:00
oddsportal,germany,DEL,https://www.oddsportal.com/hockey/h2h/adler-mannheim-0jhpSN72/pinguins-bremerhaven-vRV0SS63#jamrbJe5,2026-04-02,Adler Mannheim,Bremerhaven,4,3,final,OddsPortal Avg,draw,5.00,2026-04-07T13:57:39.943163+00:00
oddsportal,germany,DEL,https://www.oddsportal.com/hockey/h2h/adler-mannheim-0jhpSN72/pinguins-bremerhaven-vRV0SS63#jamrbJe5,2026-04-02,Adler Mannheim,Bremerhaven,4,3,final,OddsPortal Avg,away,4.41,2026-04-07T13:57:39.943163+00:00
oddsportal,germany,DEL,https://www.oddsportal.com/hockey/h2h/eisbaren-berlin-vwLXr6U8/straubing-tigers-4rgakDjm#QwHizF56,2026-04-02,Straubing Tigers,Eisbaren Berlin,2,1,final_ot,OddsPortal Avg,home,2.53,2026-04-07T13:57:39.943163+00:00
oddsportal,germany,DEL,https://www.oddsportal.com/hockey/h2h/eisbaren-berlin-vwLXr6U8/straubing-tigers-4rgakDjm#QwHizF56,2026-04-02,Straubing Tigers,Eisbaren Berlin,2,1,final_ot,OddsPortal Avg,draw,4.29,2026-04-07T13:57:39.943163+00:00
oddsportal,germany,DEL,https://www.oddsportal.com/hockey/h2h/eisbaren-berlin-vwLXr6U8/straubing-tigers-4rgakDjm#QwHizF56,2026-04-02,Straubing Tigers,Eisbaren Berlin,2,1,final_ot,OddsPortal Avg,away,2.48,2026-04-07T13:57:39.943163+00:00
oddsportal,germany,DEL,https://www.oddsportal.com/hockey/h2h/erc-ingolstadt-OzEsAZ6s/munchen-dOHrLrqd#biFaYhzJ,2026-04-02,Munchen,ERC Ingolstadt,6,3,final,OddsPortal Avg,home,2.10,2026-04-07T13:57:39.943163+00:00
oddsportal,germany,DEL,https://www.oddsportal.com/hockey/h2h/erc-ingolstadt-OzEsAZ6s/munchen-dOHrLrqd#biFaYhzJ,2026-04-02,Munchen,ERC Ingolstadt,6,3,final,OddsPortal Avg,draw,4.50,2026-04-07T13:57:39.943163+00:00
oddsportal,germany,DEL,https://www.oddsportal.com/hockey/h2h/erc-ingolstadt-OzEsAZ6s/munchen-dOHrLrqd#biFaYhzJ,2026-04-02,Munchen,ERC Ingolstadt,6,3,final,OddsPortal Avg,away,3.25,2026-04-07T13:57:39.943163+00:00
oddsportal,germany,DEL,https://www.oddsportal.com/hockey/h2h/adler-mannheim-0jhpSN72/pinguins-bremerhaven-vRV0SS63#I3M1q2Gk,2026-03-31,Bremerhaven,Adler Mannheim,6,1,final,OddsPortal Avg,home,3.27,2026-04-07T13:57:39.943163+00:00
oddsportal,germany,DEL,https://www.oddsportal.com/hockey/h2h/adler-mannheim-0jhpSN72/pinguins-bremerhaven-vRV0SS63#I3M1q2Gk,2026-03-31,Bremerhaven,Adler Mannheim,6,1,final,OddsPortal Avg,draw,4.45,2026-04-07T13:57:39.943163+00:00
oddsportal,germany,DEL,https://www.oddsportal.com/hockey/h2h/adler-mannheim-0jhpSN72/pinguins-bremerhaven-vRV0SS63#I3M1q2Gk,2026-03-31,Bremerhaven,Adler Mannheim,6,1,final,OddsPortal Avg,away,2.05,2026-04-07T13:57:39.943163+00:00
