title,date,home_team,away_team,score,home_score,away_score,period_scores,meta_line,match_id,url,error
Súťaže a štatistiky | Tipsport liga | Presov Hockey a.s. vs. Hokejový klub  Poprad a.s. | HockeySlovakia.sk - oficiálny web slovenského hokeja,2025-09-12,Presov Hockey a.s.,Hokejový klub Poprad a.s.,4 : 3,4,3,0:2 | 2:1 | 2:0,"1. kolo, Číslo zápasu",153017,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153017/PlayByPlay,
"Súťaže a štatistiky | Tipsport liga | HC ‘05 BANSKÁ BYSTRICA, a.s. vs. HKM a.s  | HockeySlovakia.sk - oficiálny web slovenského hokeja",2025-09-12,"HC ‘05 BANSKÁ BYSTRICA, a.s.",HKM a.s,5 : 1,5,1,2:0 | 1:1 | 2:0,"1. kolo, Číslo zápasu",153018,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153018/PlayByPlay,
"Súťaže a štatistiky | Tipsport liga | VLCI ŽILINA, a.s. vs. HK Nitra, s.r.o. | HockeySlovakia.sk - oficiálny web slovenského hokeja",2025-09-12,"VLCI ŽILINA, a.s.","HK Nitra, s.r.o.",3 : 0,3,0,0:0 | 2:0 | 1:0,"1. kolo, Číslo zápasu",153019,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153019/PlayByPlay,
"Súťaže a štatistiky | Tipsport liga | Hokejový klub DUKLA Trenčín, a.s. vs. HK Rysy, s.r.o. | HockeySlovakia.sk - oficiálny web slovenského hokeja",2025-09-12,"Hokejový klub DUKLA Trenčín, a.s.","HK Rysy, s.r.o.",4 : 3,4,3,0:1 | 4:2 | 0:0,"1. kolo, Číslo zápasu",153020,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153020/PlayByPlay,
"Súťaže a štatistiky | Tipsport liga | HC SLOVAN Bratislava, a.s. vs. HC Košice  s.r.o.  | HockeySlovakia.sk - oficiálny web slovenského hokeja",2025-09-12,"HC SLOVAN Bratislava, a.s.",HC Košice s.r.o.,2 : 4,2,4,0:1 | 1:1 | 1:2,"1. kolo, Číslo zápasu",153021,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153021/PlayByPlay,
"Súťaže a štatistiky | Tipsport liga | Mestský Hokejový klub 32 Liptovský Mikuláš, a.s.  vs. Hokejový klub Dukla Ingema Michalovce | HockeySlovakia.sk - oficiálny web slovenského hokeja",2025-09-12,"Mestský Hokejový klub 32 Liptovský Mikuláš, a.s.",Hokejový klub Dukla Ingema Michalovce,4 : 1,4,1,2:0 | 0:1 | 2:0,"1. kolo, Číslo zápasu",153022,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153022/PlayByPlay,
Súťaže a štatistiky | Tipsport liga | Hokejový klub  Poprad a.s. vs. Hokejový klub Dukla Ingema Michalovce | HockeySlovakia.sk - oficiálny web slovenského hokeja,2025-09-14,Hokejový klub Poprad a.s.,Hokejový klub Dukla Ingema Michalovce,5 : 4,5,4,2:1 | 1:3 | 2:0,"2. kolo, Číslo zápasu",153023,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153023/PlayByPlay,
"Súťaže a štatistiky | Tipsport liga | HC Košice  s.r.o.  vs. Mestský Hokejový klub 32 Liptovský Mikuláš, a.s.  | HockeySlovakia.sk - oficiálny web slovenského hokeja",2025-09-14,HC Košice s.r.o.,"Mestský Hokejový klub 32 Liptovský Mikuláš, a.s.",3 : 4 sn,3,4,0:1 | 0:0 | 3:2 | 0:0,"2. kolo, Číslo zápasu",153024,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153024/PlayByPlay,
"Súťaže a štatistiky | Tipsport liga | HK Rysy, s.r.o. vs. HC SLOVAN Bratislava, a.s. | HockeySlovakia.sk - oficiálny web slovenského hokeja",2025-09-14,"HK Rysy, s.r.o.","HC SLOVAN Bratislava, a.s.",1 : 3,1,3,0:2 | 0:1 | 1:0,"2. kolo, Číslo zápasu",153025,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153025/PlayByPlay,
"Súťaže a štatistiky | Tipsport liga | HK Nitra, s.r.o. vs. Hokejový klub DUKLA Trenčín, a.s. | HockeySlovakia.sk - oficiálny web slovenského hokeja",2025-09-14,"HK Nitra, s.r.o.","Hokejový klub DUKLA Trenčín, a.s.",2 : 3 sn,2,3,0:1 | 1:1 | 1:0 | 0:0,"2. kolo, Číslo zápasu",153026,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153026/PlayByPlay,
"Súťaže a štatistiky | Tipsport liga | HKM a.s  vs. VLCI ŽILINA, a.s. | HockeySlovakia.sk - oficiálny web slovenského hokeja",2025-09-14,HKM a.s,"VLCI ŽILINA, a.s.",1 : 4,1,4,0:2 | 0:0 | 1:2,"2. kolo, Číslo zápasu",153027,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153027/PlayByPlay,
"Súťaže a štatistiky | Tipsport liga | Presov Hockey a.s. vs. HC ‘05 BANSKÁ BYSTRICA, a.s. | HockeySlovakia.sk - oficiálny web slovenského hokeja",2025-09-14,Presov Hockey a.s.,"HC ‘05 BANSKÁ BYSTRICA, a.s.",0 : 6,0,6,0:0 | 0:4 | 0:2,"2. kolo, Číslo zápasu",153028,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153028/PlayByPlay,
"Súťaže a štatistiky | Tipsport liga | HC ‘05 BANSKÁ BYSTRICA, a.s. vs. Hokejový klub  Poprad a.s. | HockeySlovakia.sk - oficiálny web slovenského hokeja",2025-09-16,"HC ‘05 BANSKÁ BYSTRICA, a.s.",Hokejový klub Poprad a.s.,3 : 2,3,2,0:0 | 3:2 | 0:0,"3. kolo, Číslo zápasu",153029,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153029/PlayByPlay,
"Súťaže a štatistiky | Tipsport liga | VLCI ŽILINA, a.s. vs. Presov Hockey a.s. | HockeySlovakia.sk - oficiálny web slovenského hokeja",2025-09-16,"VLCI ŽILINA, a.s.",Presov Hockey a.s.,4 : 1,4,1,1:0 | 1:1 | 2:0,"3. kolo, Číslo zápasu",153030,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153030/PlayByPlay,
"Súťaže a štatistiky | Tipsport liga | Hokejový klub DUKLA Trenčín, a.s. vs. HKM a.s  | HockeySlovakia.sk - oficiálny web slovenského hokeja",2025-09-16,"Hokejový klub DUKLA Trenčín, a.s.",HKM a.s,4 : 3 pp,4,3,2:1 | 1:1 | 0:1 | 1:0,"3. kolo, Číslo zápasu",153031,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153031/PlayByPlay,
"Súťaže a štatistiky | Tipsport liga | HC SLOVAN Bratislava, a.s. vs. HK Nitra, s.r.o. | HockeySlovakia.sk - oficiálny web slovenského hokeja",2025-09-16,"HC SLOVAN Bratislava, a.s.","HK Nitra, s.r.o.",3 : 4 pp,3,4,0:3 | 1:0 | 2:0 | 0:1,"3. kolo, Číslo zápasu",153032,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153032/PlayByPlay,
"Súťaže a štatistiky | Tipsport liga | Mestský Hokejový klub 32 Liptovský Mikuláš, a.s.  vs. HK Rysy, s.r.o. | HockeySlovakia.sk - oficiálny web slovenského hokeja",2025-09-16,"Mestský Hokejový klub 32 Liptovský Mikuláš, a.s.","HK Rysy, s.r.o.",4 : 5 sn,4,5,0:3 | 3:0 | 1:1 | 0:0,"3. kolo, Číslo zápasu",153033,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153033/PlayByPlay,
Súťaže a štatistiky | Tipsport liga | Hokejový klub Dukla Ingema Michalovce vs. HC Košice  s.r.o.  | HockeySlovakia.sk - oficiálny web slovenského hokeja,2025-09-16,Hokejový klub Dukla Ingema Michalovce,HC Košice s.r.o.,3 : 2 pp,3,2,1:0 | 0:1 | 1:1 | 1:0,"3. kolo, Číslo zápasu",153034,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153034/PlayByPlay,
Súťaže a štatistiky | Tipsport liga | Hokejový klub  Poprad a.s. vs. HC Košice  s.r.o.  | HockeySlovakia.sk - oficiálny web slovenského hokeja,2025-09-19,Hokejový klub Poprad a.s.,HC Košice s.r.o.,2 : 5,2,5,1:1 | 0:4 | 1:0,"4. kolo, Číslo zápasu",153035,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153035/PlayByPlay,
