player,team,goals,assists,penalties,pim,points
VIRTANEN Jacob Reid,HK Dukla Michalovce,40.0,34.0,0.0,0.0,74.0
ROY Marc-Olivier,HK Dukla Michalovce,19.0,53.0,0.0,0.0,72.0
TURNBULL Carter Christopher,HC MONACObet B.Bystrica,34.0,37.0,0.0,0.0,71.0
MARTEL Jordan,HK Dukla Michalovce,31.0,36.0,0.0,0.0,67.0
CRACKNELL Adam,HK Poprad,27.0,38.0,0.0,0.0,65.0
MYKLUKHA Oleksiy,HC MONACObet B.Bystrica,19.0,39.0,0.0,0.0,58.0
PETRÁŠ Šimon,HC Košice,31.0,26.0,0.0,0.0,57.0
RANFORD Brendan,Vlci Žilina,21.0,35.0,0.0,0.0,56.0
CALOF Andrew,HK Poprad,21.0,31.0,0.0,0.0,52.0
FAITH Roman,HC MONACObet B.Bystrica,17.0,35.0,0.0,0.0,52.0
MARCINEK Patrik,HKM Zvolen,21.0,30.0,0.0,0.0,51.0
PECARARO Liam,Slovan Bratislava,21.0,30.0,0.0,0.0,51.0
TAKÁČ Samuel,Slovan Bratislava,18.0,33.0,0.0,0.0,51.0
DMOWSKI Ryan,Slovan Bratislava,32.0,18.0,0.0,0.0,50.0
MIKÚŠ Tomáš,HC Košice,25.0,25.0,0.0,0.0,50.0
CASSELS Cole James Todd,HKM Zvolen,7.0,43.0,0.0,0.0,50.0
KORCZAK Ryder Jade,Vlci Žilina,23.0,24.0,0.0,0.0,47.0
KRIVOŠÍK Filip,HC Košice,23.0,24.0,0.0,0.0,47.0
ROSANDIČ Mislav,HC Košice,8.0,39.0,0.0,0.0,47.0
MARTEL Danick,HK Spišská Nová Ves,27.0,19.0,0.0,0.0,46.0
PAULOVIČ Matej,HK Nitra,22.0,24.0,0.0,0.0,46.0
BJALONČÍK Peter,HK Poprad,19.0,27.0,0.0,0.0,46.0
SPROUL Ryan,HK Poprad,13.0,33.0,0.0,0.0,46.0
PASSOLT Josh,HK Nitra,22.0,23.0,0.0,0.0,45.0
KRIŠTOF Michal,HK Nitra,15.0,29.0,0.0,0.0,44.0
VARONE Philip Michael,HK Dukla Trenčín,12.0,32.0,0.0,0.0,44.0
TRITT Dawson David,HK 32 Liptovský Mikuláš,17.0,26.0,0.0,0.0,43.0
LUCAS Andrew Eric,HC MONACObet B.Bystrica,3.0,40.0,0.0,0.0,43.0
SPODNIAK Matúš,HK Dukla Michalovce,29.0,13.0,0.0,0.0,42.0
ROBERTSON Carter,HK 32 Liptovský Mikuláš,10.0,32.0,0.0,0.0,42.0
OSBURN Zach,HK Nitra,8.0,34.0,0.0,0.0,42.0
HECL Marek,HKM Zvolen,24.0,17.0,0.0,0.0,41.0
DESCHENEAU Jaedon,HK Dukla Trenčín,18.0,23.0,0.0,0.0,41.0
ELSON Turner Kent,Slovan Bratislava,13.0,28.0,0.0,0.0,41.0
WELSH Connor Scott,HK Dukla Michalovce,6.0,35.0,0.0,0.0,41.0
JACKSON III Robert Lockwood,HK Nitra,22.0,18.0,0.0,0.0,40.0
CORMIER Xavier,HK 32 Liptovský Mikuláš,18.0,22.0,0.0,0.0,40.0
ŠOLTÉS Dávid,HC MONACObet B.Bystrica,19.0,20.0,0.0,0.0,39.0
SUKEĽ Jakub,HK 32 Liptovský Mikuláš,18.0,21.0,0.0,0.0,39.0
VALACH Marek,HC MONACObet B.Bystrica,20.0,18.0,0.0,0.0,38.0
VARGA Róbert,Slovan Bratislava,18.0,19.0,0.0,0.0,37.0
ČEDERLE Sebastián,HK Nitra,14.0,23.0,0.0,0.0,37.0
JÄÄSKELÄINEN Joona Anttoni,HKM Zvolen,18.0,18.0,0.0,0.0,36.0
VOJTECH Matúš,HK 32 Liptovský Mikuláš,18.0,18.0,0.0,0.0,36.0
ZUZIN Peter,HKM Zvolen,15.0,21.0,0.0,0.0,36.0
CHICOINE Gabriel,Vlci Žilina,12.0,24.0,0.0,0.0,36.0
