match_id,date,round,venue,attendance,home_team,away_team,score,home_goals,away_goals,periods,goal_count,penalty_count,goalie_change_count,unclassified_event_count,url,error
153017,,,,,Presov Hockey a.s.,Hokejový klub Poprad a.s.,4 : 3,4,3,0:2 | 2:1 | 2:0,8,11,4,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153017/Overview,
153018,,,,,"HC ‘05 BANSKÁ BYSTRICA, a.s.",HKM a.s,5 : 1,5,1,2:0 | 1:1 | 2:0,7,7,4,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153018/Overview,
153019,,,,,"VLCI ŽILINA, a.s.","HK Nitra, s.r.o.",3 : 0,3,0,0:0 | 2:0 | 1:0,3,14,4,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153019/Overview,
153020,,,,,"Hokejový klub DUKLA Trenčín, a.s.","HK Rysy, s.r.o.",4 : 3,4,3,0:1 | 4:2 | 0:0,7,8,6,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153020/Overview,
153021,,,,,"HC SLOVAN Bratislava, a.s.",HC Košice s.r.o.,2 : 4,2,4,0:1 | 1:1 | 1:2,6,11,6,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153021/Overview,
153022,,,,,"Mestský Hokejový klub 32 Liptovský Mikuláš, a.s.",Hokejový klub Dukla Ingema Michalovce,4 : 1,4,1,2:0 | 0:1 | 2:0,5,10,4,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153022/Overview,
153023,,,,,Hokejový klub Poprad a.s.,Hokejový klub Dukla Ingema Michalovce,5 : 4,5,4,2:1 | 1:3 | 2:0,10,12,4,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153023/Overview,
153024,,,,,HC Košice s.r.o.,"Mestský Hokejový klub 32 Liptovský Mikuláš, a.s.",3 : 4 sn,3,4,0:1 | 0:0 | 3:2 | 0:0,7,7,4,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153024/Overview,
153025,,,,,"HK Rysy, s.r.o.","HC SLOVAN Bratislava, a.s.",1 : 3,1,3,0:2 | 0:1 | 1:0,4,12,4,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153025/Overview,
153026,,,,,"HK Nitra, s.r.o.","Hokejový klub DUKLA Trenčín, a.s.",2 : 3 sn,2,3,0:1 | 1:1 | 1:0 | 0:0,5,14,4,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153026/Overview,
153027,,,,,HKM a.s,"VLCI ŽILINA, a.s.",1 : 4,1,4,0:2 | 0:0 | 1:2,5,7,4,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153027/Overview,
153028,,,,,Presov Hockey a.s.,"HC ‘05 BANSKÁ BYSTRICA, a.s.",0 : 6,0,6,0:0 | 0:4 | 0:2,7,9,4,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153028/Overview,
153029,,,,,"HC ‘05 BANSKÁ BYSTRICA, a.s.",Hokejový klub Poprad a.s.,3 : 2,3,2,0:0 | 3:2 | 0:0,5,6,4,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153029/Overview,
153030,,,,,"VLCI ŽILINA, a.s.",Presov Hockey a.s.,4 : 1,4,1,1:0 | 1:1 | 2:0,5,8,4,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153030/Overview,
153031,,,,,"Hokejový klub DUKLA Trenčín, a.s.",HKM a.s,4 : 3 pp,4,3,2:1 | 1:1 | 0:1 | 1:0,7,5,4,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153031/Overview,
153032,,,,,"HC SLOVAN Bratislava, a.s.","HK Nitra, s.r.o.",3 : 4 pp,3,4,0:3 | 1:0 | 2:0 | 0:1,7,7,4,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153032/Overview,
153033,,,,,"Mestský Hokejový klub 32 Liptovský Mikuláš, a.s.","HK Rysy, s.r.o.",4 : 5 sn,4,5,0:3 | 3:0 | 1:1 | 0:0,9,16,4,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153033/Overview,
153034,,,,,Hokejový klub Dukla Ingema Michalovce,HC Košice s.r.o.,3 : 2 pp,3,2,1:0 | 0:1 | 1:1 | 1:0,5,17,4,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153034/Overview,
153035,,,,,Hokejový klub Poprad a.s.,HC Košice s.r.o.,2 : 5,2,5,1:1 | 0:4 | 1:0,8,13,6,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153035/Overview,
153036,,,,,"HK Rysy, s.r.o.",Hokejový klub Dukla Ingema Michalovce,2 : 1,2,1,0:1 | 2:0 | 0:0,3,11,4,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153036/Overview,
153037,,,,,"HK Nitra, s.r.o.","Mestský Hokejový klub 32 Liptovský Mikuláš, a.s.",5 : 2,5,2,2:0 | 1:0 | 2:2,7,6,8,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153037/Overview,
153038,,,,,HKM a.s,"HC SLOVAN Bratislava, a.s.",3 : 5,3,5,1:0 | 1:3 | 1:2,8,8,6,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153038/Overview,
153039,,,,,Presov Hockey a.s.,"Hokejový klub DUKLA Trenčín, a.s.",1 : 3,1,3,0:2 | 1:0 | 0:1,4,4,6,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153039/Overview,
153040,,,,,"HC ‘05 BANSKÁ BYSTRICA, a.s.","VLCI ŽILINA, a.s.",2 : 1 pp,2,1,0:0 | 0:0 | 1:1 | 1:0,3,13,4,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153040/Overview,
153041,,,,,"VLCI ŽILINA, a.s.",Hokejový klub Poprad a.s.,4 : 3,4,3,1:0 | 0:3 | 3:0,7,8,4,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153041/Overview,
153042,,,,,"Hokejový klub DUKLA Trenčín, a.s.","HC ‘05 BANSKÁ BYSTRICA, a.s.",3 : 4,3,4,1:1 | 2:0 | 0:3,7,9,4,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153042/Overview,
153043,,,,,"HC SLOVAN Bratislava, a.s.",Presov Hockey a.s.,4 : 0,4,0,2:0 | 1:0 | 1:0,4,8,4,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153043/Overview,
153044,,,,,"Mestský Hokejový klub 32 Liptovský Mikuláš, a.s.",HKM a.s,2 : 5,2,5,0:1 | 1:2 | 1:2,7,4,4,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153044/Overview,
153045,,,,,Hokejový klub Dukla Ingema Michalovce,"HK Nitra, s.r.o.",4 : 5,4,5,0:1 | 3:3 | 1:1,9,9,6,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153045/Overview,
153046,,,,,HC Košice s.r.o.,"HK Rysy, s.r.o.",5 : 1,5,1,2:1 | 2:0 | 1:0,7,8,8,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153046/Overview,
153047,,,,,Hokejový klub Poprad a.s.,"HK Rysy, s.r.o.",1 : 2,1,2,1:0 | 0:0 | 0:2,3,8,6,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153047/Overview,
153048,,,,,"HK Nitra, s.r.o.",HC Košice s.r.o.,4 : 3,4,3,2:0 | 1:1 | 1:2,7,6,4,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153048/Overview,
153049,,,,,HKM a.s,Hokejový klub Dukla Ingema Michalovce,7 : 2,7,2,2:0 | 1:1 | 4:1,9,9,6,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153049/Overview,
153050,,,,,Presov Hockey a.s.,"Mestský Hokejový klub 32 Liptovský Mikuláš, a.s.",3 : 4,3,4,2:1 | 0:2 | 1:1,9,11,4,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153050/Overview,
153051,,,,,"HC ‘05 BANSKÁ BYSTRICA, a.s.","HC SLOVAN Bratislava, a.s.",4 : 5 pp,4,5,3:1 | 1:3 | 0:0 | 0:1,10,10,6,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153051/Overview,
153052,,,,,"VLCI ŽILINA, a.s.","Hokejový klub DUKLA Trenčín, a.s.",4 : 0,4,0,3:0 | 0:0 | 1:0,4,8,4,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153052/Overview,
153053,,,,,"Hokejový klub DUKLA Trenčín, a.s.",Hokejový klub Poprad a.s.,3 : 0,3,0,1:0 | 2:0 | 0:0,3,7,4,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153053/Overview,
153054,,,,,"HC SLOVAN Bratislava, a.s.","VLCI ŽILINA, a.s.",5 : 1,5,1,2:0 | 2:1 | 1:0,7,24,4,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153054/Overview,
153055,,,,,"Mestský Hokejový klub 32 Liptovský Mikuláš, a.s.","HC ‘05 BANSKÁ BYSTRICA, a.s.",4 : 3,4,3,1:1 | 2:1 | 1:1,7,11,4,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153055/Overview,
