season,round,round_index,team,elo
2025-26,R 1,1,HC Košice s.r.o.,1510.99
2025-26,R 1,1,"HC SLOVAN Bratislava, a.s.",1489.01
2025-26,R 1,1,"HC ‘05 BANSKÁ BYSTRICA, a.s.",1516.09
2025-26,R 1,1,"HK Nitra, s.r.o.",1486.14
2025-26,R 1,1,"HK Rysy, s.r.o.",1490.0
2025-26,R 1,1,HKM a.s,1483.91
2025-26,R 1,1,"Hokejový klub DUKLA Trenčín, a.s.",1510.0
2025-26,R 1,1,Hokejový klub Dukla Ingema Michalovce,1486.14
2025-26,R 1,1,Hokejový klub Poprad a.s.,1490.0
2025-26,R 1,1,"Mestský Hokejový klub 32 Liptovský Mikuláš, a.s.",1513.86
2025-26,R 1,1,Presov Hockey a.s.,1510.0
2025-26,R 1,1,"VLCI ŽILINA, a.s.",1513.86
2025-26,R 2,2,HC Košice s.r.o.,1501.07
2025-26,R 2,2,"HC SLOVAN Bratislava, a.s.",1500.03
2025-26,R 2,2,"HC ‘05 BANSKÁ BYSTRICA, a.s.",1535.16
2025-26,R 2,2,"HK Nitra, s.r.o.",1476.82
2025-26,R 2,2,"HK Rysy, s.r.o.",1478.99
2025-26,R 2,2,HKM a.s,1471.41
2025-26,R 2,2,"Hokejový klub DUKLA Trenčín, a.s.",1519.31
2025-26,R 2,2,Hokejový klub Dukla Ingema Michalovce,1476.25
2025-26,R 2,2,Hokejový klub Poprad a.s.,1499.89
2025-26,R 2,2,"Mestský Hokejový klub 32 Liptovský Mikuláš, a.s.",1523.78
2025-26,R 2,2,Presov Hockey a.s.,1490.94
2025-26,R 2,2,"VLCI ŽILINA, a.s.",1526.36
2025-26,R 3,3,HC Košice s.r.o.,1490.36
2025-26,R 3,3,"HC SLOVAN Bratislava, a.s.",1489.36
2025-26,R 3,3,"HC ‘05 BANSKÁ BYSTRICA, a.s.",1544.15
2025-26,R 3,3,"HK Nitra, s.r.o.",1487.49
2025-26,R 3,3,"HK Rysy, s.r.o.",1490.27
2025-26,R 3,3,HKM a.s,1462.78
2025-26,R 3,3,"Hokejový klub DUKLA Trenčín, a.s.",1527.94
2025-26,R 3,3,Hokejový klub Dukla Ingema Michalovce,1486.96
2025-26,R 3,3,Hokejový klub Poprad a.s.,1490.9
2025-26,R 3,3,"Mestský Hokejový klub 32 Liptovský Mikuláš, a.s.",1512.5
2025-26,R 3,3,Presov Hockey a.s.,1478.68
2025-26,R 3,3,"VLCI ŽILINA, a.s.",1538.62
2025-26,R 4,4,HC Košice s.r.o.,1504.24
2025-26,R 4,4,"HC SLOVAN Bratislava, a.s.",1499.39
2025-26,R 4,4,"HC ‘05 BANSKÁ BYSTRICA, a.s.",1553.99
2025-26,R 4,4,"HK Nitra, s.r.o.",1502.18
