game_id,season,date,round,round_index,home_team,away_team,home_score,away_score,is_overtime,is_shootout,home_elo_before,away_elo_before,expected_home_win,actual_home_score,elo_delta_home,home_elo_after,away_elo_after
1,2025-26,2025-09-12 00:00:00+00:00,R 1,1,Presov Hockey a.s.,Hokejový klub Poprad a.s.,4.0,3.0,False,False,1500.0,1500.0,0.5,1.0,10.0,1510.0,1490.0
2,2025-26,2025-09-12 00:00:00+00:00,R 1,1,"HC ‘05 BANSKÁ BYSTRICA, a.s.",HKM a.s,5.0,1.0,False,False,1500.0,1500.0,0.5,1.0,16.094,1516.09,1483.91
3,2025-26,2025-09-12 00:00:00+00:00,R 1,1,"VLCI ŽILINA, a.s.","HK Nitra, s.r.o.",3.0,0.0,False,False,1500.0,1500.0,0.5,1.0,13.863,1513.86,1486.14
4,2025-26,2025-09-12 00:00:00+00:00,R 1,1,"Hokejový klub DUKLA Trenčín, a.s.","HK Rysy, s.r.o.",4.0,3.0,False,False,1500.0,1500.0,0.5,1.0,10.0,1510.0,1490.0
5,2025-26,2025-09-12 00:00:00+00:00,R 1,1,"HC SLOVAN Bratislava, a.s.",HC Košice s.r.o.,2.0,4.0,False,False,1500.0,1500.0,0.5,0.0,-10.986,1489.01,1510.99
6,2025-26,2025-09-12 00:00:00+00:00,R 1,1,"Mestský Hokejový klub 32 Liptovský Mikuláš, a.s.",Hokejový klub Dukla Ingema Michalovce,4.0,1.0,False,False,1500.0,1500.0,0.5,1.0,13.863,1513.86,1486.14
10,2025-26,2025-09-14 00:00:00+00:00,R 2,2,"HK Nitra, s.r.o.","Hokejový klub DUKLA Trenčín, a.s.",2.0,3.0,False,False,1486.14,1510.0,0.4657,0.0,-9.314,1476.82,1519.31
11,2025-26,2025-09-14 00:00:00+00:00,R 2,2,HKM a.s,"VLCI ŽILINA, a.s.",1.0,4.0,False,False,1483.91,1513.86,0.457,0.0,-12.5,1471.41,1526.36
12,2025-26,2025-09-14 00:00:00+00:00,R 2,2,Presov Hockey a.s.,"HC ‘05 BANSKÁ BYSTRICA, a.s.",0.0,6.0,False,False,1510.0,1516.09,0.4912,0.0,-19.065,1490.94,1535.16
7,2025-26,2025-09-14 00:00:00+00:00,R 2,2,Hokejový klub Poprad a.s.,Hokejový klub Dukla Ingema Michalovce,5.0,4.0,False,False,1490.0,1486.14,0.5056,1.0,9.889,1499.89,1476.25
8,2025-26,2025-09-14 00:00:00+00:00,R 2,2,HC Košice s.r.o.,"Mestský Hokejový klub 32 Liptovský Mikuláš, a.s.",3.0,4.0,False,False,1510.99,1513.86,0.4959,0.0,-9.917,1501.07,1523.78
9,2025-26,2025-09-14 00:00:00+00:00,R 2,2,"HK Rysy, s.r.o.","HC SLOVAN Bratislava, a.s.",1.0,3.0,False,False,1490.0,1489.01,0.5014,0.0,-11.012,1478.99,1500.03
13,2025-26,2025-09-16 00:00:00+00:00,R 3,3,"HC ‘05 BANSKÁ BYSTRICA, a.s.",Hokejový klub Poprad a.s.,3.0,2.0,False,False,1535.16,1499.89,0.5506,1.0,8.988,1544.15,1490.9
14,2025-26,2025-09-16 00:00:00+00:00,R 3,3,"VLCI ŽILINA, a.s.",Presov Hockey a.s.,4.0,1.0,False,False,1526.36,1490.94,0.5508,1.0,12.257,1538.62,1478.68
15,2025-26,2025-09-16 00:00:00+00:00,R 3,3,"Hokejový klub DUKLA Trenčín, a.s.",HKM a.s,4.0,3.0,False,False,1519.31,1471.41,0.5685,1.0,8.63,1527.94,1462.78
