season,round,round_index,team,elo
2025-26,R 54,54,"HK Nitra, s.r.o.",1646.92
2025-26,R 54,54,Hokejový klub Poprad a.s.,1591.49
2025-26,R 54,54,HC Košice s.r.o.,1556.96
2025-26,R 54,54,"HC SLOVAN Bratislava, a.s.",1555.58
2025-26,R 54,54,"VLCI ŽILINA, a.s.",1539.58
2025-26,R 54,54,"HK Rysy, s.r.o.",1514.87
2025-26,R 54,54,HKM a.s,1506.4
2025-26,R 7,7,HC 19 Humenné,1496.74
2025-26,R 54,54,"HC ‘05 BANSKÁ BYSTRICA, a.s.",1488.63
2025-26,R 54,54,Hokejový klub Dukla Ingema Michalovce,1471.58
2025-26,R 7,7,"HK Skalica, s.r.o.",1470.61
2025-26,R 54,54,"Mestský Hokejový klub 32 Liptovský Mikuláš, a.s.",1453.13
2025-26,R 54,54,"Hokejový klub DUKLA Trenčín, a.s.",1389.57
2025-26,R 54,54,Presov Hockey a.s.,1285.29
