league,state_diff,n_score,n_total,n_concede,p_score,p_concede,next_if_score,next_if_concede
slovakia,-6,3,6,3,0.5,0.5,-5,-7
slovakia,-5,10,26,16,0.3846,0.6154,-4,-6
slovakia,-4,27,69,42,0.3913,0.6087,-3,-5
slovakia,-3,65,156,91,0.4167,0.5833,-2,-4
slovakia,-2,177,376,199,0.4707,0.5293,-1,-3
slovakia,-1,348,728,380,0.478,0.522,0,-2
slovakia,0,707,1414,707,0.5,0.5,1,-1
slovakia,1,380,728,348,0.522,0.478,2,0
slovakia,2,199,376,177,0.5293,0.4707,3,1
slovakia,3,91,156,65,0.5833,0.4167,4,2
slovakia,4,42,69,27,0.6087,0.3913,5,3
slovakia,5,16,26,10,0.6154,0.3846,6,4
slovakia,6,3,6,3,0.5,0.5,7,5
