league,team,state_diff,n_score,n_total,n_concede,p_score,p_concede,next_if_score,next_if_concede
slovakia,HC 19 Humenné,-3,1,1,0,1.0,0.0,-2,-4
slovakia,HC 19 Humenné,-2,1,2,1,0.5,0.5,-1,-3
slovakia,HC 19 Humenné,-1,0,1,1,0.0,1.0,0,-2
slovakia,HC 19 Humenné,0,2,3,1,0.6667,0.3333,1,-1
slovakia,HC 19 Humenné,1,1,2,1,0.5,0.5,2,0
slovakia,HC 19 Humenné,2,0,1,1,0.0,1.0,3,1
slovakia,HC Košice s.r.o.,-5,1,3,2,0.3333,0.6667,-4,-6
slovakia,HC Košice s.r.o.,-4,2,7,5,0.2857,0.7143,-3,-5
slovakia,HC Košice s.r.o.,-3,3,10,7,0.3,0.7,-2,-4
slovakia,HC Košice s.r.o.,-2,9,19,10,0.4737,0.5263,-1,-3
slovakia,HC Košice s.r.o.,-1,31,50,19,0.62,0.38,0,-2
slovakia,HC Košice s.r.o.,0,59,115,56,0.513,0.487,1,-1
slovakia,HC Košice s.r.o.,1,39,62,23,0.629,0.371,2,0
slovakia,HC Košice s.r.o.,2,16,31,15,0.5161,0.4839,3,1
slovakia,HC Košice s.r.o.,3,9,14,5,0.6429,0.3571,4,2
slovakia,HC Košice s.r.o.,4,6,7,1,0.8571,0.1429,5,3
slovakia,HC Košice s.r.o.,5,1,3,2,0.3333,0.6667,6,4
slovakia,"HC SLOVAN Bratislava, a.s.",-4,0,2,2,0.0,1.0,-3,-5
slovakia,"HC SLOVAN Bratislava, a.s.",-3,5,8,3,0.625,0.375,-2,-4
slovakia,"HC SLOVAN Bratislava, a.s.",-2,16,27,11,0.5926,0.4074,-1,-3
slovakia,"HC SLOVAN Bratislava, a.s.",-1,30,56,26,0.5357,0.4643,0,-2
slovakia,"HC SLOVAN Bratislava, a.s.",0,69,118,49,0.5847,0.4153,1,-1
slovakia,"HC SLOVAN Bratislava, a.s.",1,38,68,30,0.5588,0.4412,2,0
slovakia,"HC SLOVAN Bratislava, a.s.",2,17,34,17,0.5,0.5,3,1
slovakia,"HC SLOVAN Bratislava, a.s.",3,8,11,3,0.7273,0.2727,4,2
slovakia,"HC SLOVAN Bratislava, a.s.",4,3,5,2,0.6,0.4,5,3
slovakia,"HC SLOVAN Bratislava, a.s.",5,1,2,1,0.5,0.5,6,4
slovakia,"HC ‘05 BANSKÁ BYSTRICA, a.s.",-6,1,3,2,0.3333,0.6667,-5,-7
slovakia,"HC ‘05 BANSKÁ BYSTRICA, a.s.",-5,0,3,3,0.0,1.0,-4,-6
slovakia,"HC ‘05 BANSKÁ BYSTRICA, a.s.",-4,3,5,2,0.6,0.4,-3,-5
