team,total_penalties,total_pen_min,avg_pen_min
HK Poprad,283,882.0,3.11660777385159
HK 32 Liptovský Mikuláš,264,817.0,3.0946969696969697
Vlci Žilina,267,815.0,3.052434456928839
HK Dukla Michalovce,289,786.0,2.7197231833910034
Slovan Bratislava,266,754.0,2.8345864661654137
HC MONACObet B.Bystrica,236,729.0,3.0889830508474576
HK Nitra,246,686.0,2.7886178861788617
HK Spišská Nová Ves,227,645.0,2.841409691629956
HC Košice,248,604.0,2.435483870967742
HKM Zvolen,213,564.0,2.647887323943662
HC Prešov,231,558.0,2.4155844155844157
HK Dukla Trenčín,187,525.0,2.807486631016043
