rb_scorer,goals,pp_goals,sh_goals,es_goals,ot_goals,tying_goals,go_ahead_goals,avg_minute
VIRTANEN Jacob Reid,35,10,0,25,0,9,16,30.45238095238095
TURNBULL Carter Christopher,33,9,0,24,2,2,13,32.04545454545455
DMOWSKI Ryan,32,10,0,22,0,7,11,37.59739583333333
MARTEL Jordan,31,11,0,20,4,5,13,36.40483870967742
SPODNIAK Matúš,29,11,1,17,0,3,9,29.602298850574712
PETRÁŠ Šimon,29,13,0,16,0,6,11,26.46379310344828
MARTEL Danick,27,10,1,16,3,2,13,38.912962962962965
CRACKNELL Adam,26,3,5,18,0,4,9,28.647435897435898
MIKÚŠ Tomáš,24,12,0,12,0,4,10,34.03194444444444
KRIVOŠÍK Filip,23,7,1,15,2,1,13,31.280434782608697
PAULOVIČ Matej,22,6,3,13,3,0,10,33.86666666666667
HECL Marek,22,3,0,19,0,5,11,32.37045454545454
PASSOLT Josh,21,4,0,17,0,4,8,31.788888888888884
MARCINEK Patrik,21,1,2,18,1,4,9,31.683333333333334
PECARARO Liam,21,2,0,19,1,3,11,30.0015873015873
KORCZAK Ryder Jade,21,2,0,19,1,2,12,36.36190476190476
JACKSON III Robert Lockwood,21,5,0,16,0,1,9,30.16349206349206
RANFORD Brendan,20,3,0,17,1,4,8,30.630000000000003
VALACH Marek,20,4,1,15,2,2,8,44.52083333333333
CALOF Andrew,20,1,0,19,2,4,9,34.9325
BJALONČÍK Peter,19,6,0,13,0,1,8,27.696491228070176
ROY Marc-Olivier,19,5,0,14,0,2,10,30.653508771929822
MYKLUKHA Oleksiy,19,3,0,16,0,6,7,32.364035087719294
URBÁNEK Jakub,19,4,1,14,2,2,8,32.6140350877193
ŠOLTÉS Dávid,19,8,0,11,2,3,7,33.94736842105263
VOJTECH Matúš,18,5,0,13,1,3,5,31.174999999999997
SUKEĽ Jakub,18,6,1,11,2,2,9,34.2712962962963
JÄÄSKELÄINEN Joona Anttoni,17,4,0,13,1,3,9,27.66176470588235
TRITT Dawson David,17,4,0,13,1,4,8,35.85
MACEK Matej,17,6,0,11,0,1,9,30.91764705882353
FAITH Roman,17,5,0,12,1,4,8,33.17254901960785
TAKÁČ Samuel,17,1,2,14,2,0,12,40.84607843137255
CORMIER Xavier,17,3,3,11,1,2,7,41.33333333333333
KUKUČA Andrej,16,6,0,10,0,1,9,34.12291666666667
LAMPER Patrik,16,6,1,9,0,0,8,35.166666666666664
VARGA Róbert,16,3,4,9,1,4,5,36.66354166666667
KUDRNA Andrej,16,2,1,13,0,4,8,30.864583333333332
BELLERIVE Jordan Raymond Garton,15,4,0,11,1,1,10,36.95777777777778
ZUZIN Peter,15,5,0,10,0,2,5,36.422222222222224
KRIŠTOF Michal,15,5,1,9,1,1,6,32.49666666666666
FERKODIČ Max,14,3,0,11,1,0,7,31.61785714285714
AVTSIN Alexander,14,1,1,12,0,2,5,37.84761904761905
DESCHENEAU Jaedon,14,3,0,11,0,2,6,34.18333333333333
ELSON Turner Kent,13,5,1,7,0,1,6,40.1474358974359
SAVOIE Carter Patrick,13,8,0,5,0,1,7,34.353846153846156
SPROUL Ryan,13,4,1,8,3,1,6,38.53974358974359
HRNKA Tomáš,13,3,1,9,0,4,5,30.24871794871795
ČEDERLE Sebastián,13,4,1,8,0,0,6,29.525641025641026
