league,league_label,team,wiki_title,wiki_api,wikidata_qid,logo_filename,logo_url,local_path,status,score
slovakia,Slovak Extraliga,HC 19 Humenné,,,,,,,no_good_title,0.0
slovakia,Slovak Extraliga,HC Košice s.r.o.,,,,,,,no_good_title,0.0
slovakia,Slovak Extraliga,"HC SLOVAN Bratislava, a.s.",,,,,,,no_good_title,0.0
slovakia,Slovak Extraliga,"HC ‘05 BANSKÁ BYSTRICA, a.s.",,,,,,,no_good_title,0.0
slovakia,Slovak Extraliga,"HK Nitra, s.r.o.",,,,,,,no_good_title,0.0
slovakia,Slovak Extraliga,"HK Rysy, s.r.o.",,,,,,,no_good_title,0.0
slovakia,Slovak Extraliga,"HK Skalica, s.r.o.",,,,,,,no_good_title,0.0
slovakia,Slovak Extraliga,HKM a.s,,,,,,,no_good_title,0.0
slovakia,Slovak Extraliga,"Hokejový klub DUKLA Trenčín, a.s.",,,,,,,no_good_title,0.0
slovakia,Slovak Extraliga,Hokejový klub Dukla Ingema Michalovce,,,,,,,no_good_title,0.0
slovakia,Slovak Extraliga,Hokejový klub Poprad a.s.,,,,,,,no_good_title,0.0
slovakia,Slovak Extraliga,"Mestský Hokejový klub 32 Liptovský Mikuláš, a.s.",,,,,,,no_good_title,0.0
slovakia,Slovak Extraliga,Presov Hockey a.s.,,,,,,,no_good_title,0.0
slovakia,Slovak Extraliga,"VLCI ŽILINA, a.s.",,,,,,,no_good_title,0.0
