game_id,season_id,period,time,event_type,team,on_ice_neg,on_ice_pos,penalty_end,penalty_minutes,penalty_reason,penalty_start,player1_name,player1_number,player2_name,player2_number,player3_name,player3_number,score_state
1079004,19791,3rd period,60:00,gk_out,ÖHK,,,,,,,"Enroth, Jhonas",1,,,,,
1079004,19791,3rd period,60:00,gk_out,LHF,,,,,,,"Ward, Matteus",31,,,,,
1079004,19791,3rd period,60:00,penalty,LHF,,,60:00,2,Crosschecking,60:00,"O'neill, Brian",91,,,,,
1079004,19791,3rd period,57:50,gk_in,ÖHK,,,,,,,"Enroth, Jhonas",1,,,,,
1079004,19791,3rd period,57:50,goal,LHF,"11 , 12 , 21 , 28 , 55 , 89","23 , 31 , 39 , 51 , 76 , 96",,,,,"Levtchi, Anton",76,"Sellgren, Jesper",23,"Själin, Pontus",39,2-6 (EQ) ENG
1079004,19791,3rd period,57:48,gk_out,ÖHK,,,,,,,"Enroth, Jhonas",1,,,,,
1079004,19791,3rd period,57:21,goal,LHF,"1 , 6 , 7 , 33 , 37 , 77","3 , 6 , 25 , 29 , 31 , 91",,,,,"Gustafsson, Erik",29,,,,,2-5 (EQ)
1079004,19791,3rd period,51:21,penalty,ÖHK,,,,2,High Sticking,,"Wikman, William",17,,,,,
1079004,19791,3rd period,51:21,penalty,LHF,,,,2,Interference,,"Gustafsson, Erik",29,,,,,
1079004,19791,3rd period,40:41,penalty,LHF,,,42:41,2,Slashing,40:41,"Allard, Frederic",3,,,,,
1079004,19791,2nd period,37:41,penalty,LHF,,,39:41,2,Hooking,37:41,"Levtchi, Anton",76,,,,,
1079004,19791,2nd period,35:55,goal,ÖHK,"24 , 29 , 31 , 32 , 72 , 91","1 , 7 , 9 , 11 , 77 , 89",,,,,"Kossila, Kalle",11,"Nilsson, Niklas",9,"Karlkvist, Patrik",89,2-4 (EQ)
1079004,19791,2nd period,33:58,goal,LHF,"1 , 7 , 21 , 55 , 72 , 80","6 , 25 , 27 , 31 , 82 , 91",,,,,"Hedqvist, Isac",6,"Laaksonen, Oskari",27,"Eriksson, Filip",25,1-4 (EQ)
1079004,19791,2nd period,32:43,goal,LHF,"1 , 7 , 9 , 11 , 12 , 89","13 , 23 , 31 , 39 , 67 , 86",,,,,"Bromé, Mathias",86,"Sellgren, Jesper",23,"Omark, Linus",67,1-3 (EQ)
1079004,19791,2nd period,31:51,goal,LHF,"1 , 6 , 29 , 33 , 37 , 55","27 , 31 , 51 , 76 , 82 , 96",,,,,"Andreasson, Pontus",96,"Levtchi, Anton",76,"Laaksonen, Oskari",27,1-2 (EQ)
1079004,19791,2nd period,26:08,goal,LHF,"1 , 21 , 28 , 55 , 72 , 80","13 , 23 , 31 , 67 , 82 , 86",,,,,"Koivistoinen, Eetu",13,"Omark, Linus",67,"Sellgren, Jesper",23,1-1 (EQ)
1079004,19791,2nd period,22:41,goal,ÖHK,"6 , 23 , 31 , 39 , 96","1 , 11 , 21 , 55 , 72 , 89",,,,,"Puistola, Patrik",21,"Kossila, Kalle",11,"Quenneville, David",55,1-0 (PP1)
1079004,19791,2nd period,22:21,penalty,LHF,,,22:41,2,Hooking,22:21,"Omark, Linus",67,,,,,
1079004,19791,1st period,11:16,penalty,ÖHK,,,13:16,2,High Sticking,11:16,"Backström, Gustav",5,,,,,
1079004,19791,1st period,00:00,gk_in,LHF,,,,,,,"Ward, Matteus",31,,,,,
1079004,19791,1st period,00:00,gk_in,ÖHK,,,,,,,"Enroth, Jhonas",1,,,,,
1079005,19791,1st overtime,69:08,penalty,MIF,,,,20,Game Misconduct,,,,,,,,
1079005,19791,1st overtime,69:08,goal,DIF,"4 , 6 , 12 , 13 , 40","14 , 38 , 53 , 61 , 74 , 82",,,,,"Frondell, Anton",14,"Eklund, Victor",38,"Björck, Viggo",61,3-2 (PP1)
1079005,19791,1st overtime,69:08,gk_out,DIF,,,,,,,"Marmenlind, Daniel",74,,,,,
1079005,19791,1st overtime,69:08,gk_out,MIF,,,,,,,"Blomgren, Oskar",40,,,,,
1079005,19791,1st overtime,68:04,penalty,MIF,,,69:08,2,Hooking,68:04,"Pajuniemi, Lauri",48,,,,,
1079005,19791,3rd period,59:22,penalty,MIF,,,61:22,2,Tripping,59:22,"Hanzl, Robin",78,,,,,
1079005,19791,3rd period,59:22,unknown,DIF,,,,,,,,,,,,,
1079005,19791,3rd period,48:09,penalty,MIF,,,,2,Roughing,,"Öberg, Linus",12,,,,,
1079005,19791,3rd period,48:09,penalty,DIF,,,,2,Roughing,,"Sissons, Colby",82,,,,,
1079005,19791,3rd period,40:52,goal,DIF,"6 , 12 , 13 , 40 , 42 , 78","14 , 21 , 37 , 38 , 61 , 74",,,,,"Björck, Viggo",61,"Frondell, Anton",14,"Eklund, Victor",38,2-2 (EQ)
1079005,19791,2nd period,36:26,goal,MIF,"29 , 37 , 52 , 53 , 74","22 , 40 , 42 , 48 , 63 , 95",,,,,"Persson, Carl",95,"Kuokkanen, Janne",22,"Pajuniemi, Lauri",48,1-2 (PP1)
1079005,19791,2nd period,35:13,penalty,DIF,,,36:26,2,Slashing,35:13,"Lindström, Gustav",28,,,,,
1079005,19791,2nd period,26:21,goal,DIF,"22 , 32 , 40 , 42 , 49","14 , 38 , 53 , 61 , 74 , 82",,,,,"Sissons, Colby",82,"Eklund, Victor",38,"Björck, Viggo",61,1-1 (PP1)
1079005,19791,2nd period,24:25,penalty,MIF,,,26:21,2,Too many players on the ice,24:25,,,,,,,
1079005,19791,1st period,18:37,goal,MIF,"20 , 40 , 42 , 52 , 74 , 82","6 , 7 , 22 , 32 , 40 , 48",,,,,"Ikonen, Joona",32,"Niemelä, Topi",7,"Kuokkanen, Janne",22,0-1 (EQ)
1079005,19791,1st period,09:43,penalty,MIF,,,11:43,2,Too many players on the ice,09:43,,,,,,,
1079005,19791,1st period,00:00,gk_in,MIF,,,,,,,"Blomgren, Oskar",40,,,,,
1079005,19791,1st period,00:00,gk_in,DIF,,,,,,,"Marmenlind, Daniel",74,,,,,
1079006,19791,3rd period,60:00,gk_out,ÖHK,,,,,,,"Enroth, Jhonas",1,,,,,
1079006,19791,3rd period,57:57,unknown,LHF,,,,,,,,,,,,,
1079006,19791,3rd period,56:45,gk_out,LHF,,,,,,,"Ward, Matteus",31,,,,,
1079006,19791,3rd period,52:10,goal,ÖHK,"13 , 31 , 39 , 67 , 72 , 82","1 , 5 , 7 , 23 , 72 , 80",,,,,"Miketinac, Kalle",80,"Ylönen, Jesse",72,"Karlkvist, Patrik",89,1-3 (EQ)
1079006,19791,3rd period,46:57,goal,ÖHK,"13 , 27 , 31 , 67 , 82 , 86","1 , 6 , 9 , 21 , 72 , 80",,,,,"Miketinac, Kalle",80,"Berglund, Filip",6,"Puistola, Patrik",21,1-2 (EQ)
