game_id,season_id,date,home_team,away_team,score,round,venue,spectators,away_pim,away_pp_pct,away_pp_time,away_save_pct,away_saves,away_score,away_shots,away_team_short,home_pim,home_pp_pct,home_pp_time,home_save_pct,home_saves,home_score,home_shots,home_team_short,periods,periods_detail
1004308,18263,2025-09-13 15:15,Brynäs IF,Växjö Lakers HC,4-7,,Monitor ERP Arena,7909,12,"80,00%",03:42,"38,89",22,7,18,VÄX,10,"16,67%",09:41,"15,38",11,4,26,BIF,"(2-2, 2-3, 0-2)","2-2, 2-3, 0-2"
1004309,18263,2025-09-13 15:15,Frölunda HC,Linköping HC,2-1,,Scandinavium,12044,6,"50,00%",03:49,"3,45",29,1,29,LHC,4,"33,33%",05:28,"6,45",28,2,31,FRÖ,"(1-0, 0-1, 1-0)","1-0, 0-1, 1-0"
1004310,18263,2025-09-13 15:15,Djurgårdens IF,Skellefteå AIK,5-4,,"Hovet, Johanneshov",8094,6,"33,33%",04:53,"11,76",19,4,34,SKE,8,"50,00%",03:11,"20,83",30,5,24,DIF,"(1-2, 1-0, 3-2)","1-2, 1-0, 3-2"
1004311,18263,2025-09-13 18:00,Färjestad BK,Rögle BK,2-3,,Löfbergs Arena,8250,30,"28,57%",13:48,"15,00",24,3,20,RBK,39,"0,00%",06:52,"7,69",17,2,26,FBK,"(0-0, 1-1, 1-1, 0-1)","0-0, 1-1, 1-1, 0-1"
1004312,18263,2025-09-13 18:00,,Örebro HK,3-4,,Husqvarna Garden,6800,12,"66,67%",04:40,"17,39",21,4,23,ÖHK,12,"33,33%",06:55,"12,50",19,3,24,HV71,"(0-1, 2-1, 1-2)","0-1, 2-1, 1-2"
1004313,18263,2025-09-13 18:00,Leksands IF,Timrå IK,3-2,,Tegera Arena,7650,6,"33,33%",05:05,"6,90",22,2,29,TIK,6,"0,00%",04:48,"12,00",27,3,25,LIF,"(1-1, 2-1, 0-0)","1-1, 2-1, 0-0"
1004314,18263,2025-09-13 18:00,Luleå HF,IF Malmö Redhawks,5-0,,Coop Norrbotten Arena,6150,10,"0,00%",05:30,"0,00",20,0,21,MIF,10,"33,33%",04:09,"20,00",21,5,25,LHF,"(3-0, 1-0, 1-0)","3-0, 1-0, 1-0"
1004315,18263,2025-09-16 19:00,Brynäs IF,Luleå HF,5-7,,Monitor ERP Arena,7743,4,"100,00%",01:38,"25,00",25,7,28,LHF,2,"100,00%",02:49,"16,67",21,5,30,BIF,"(1-0, 3-4, 1-3)","1-0, 3-4, 1-3"
1004316,18263,2025-09-16 19:00,Färjestad BK,IF Malmö Redhawks,6-2,,Löfbergs Arena,6119,12,"0,00%",06:00,"11,76",21,2,17,MIF,10,"75,00%",04:17,"22,22",15,6,27,FBK,"(3-0, 1-2, 2-0)","3-0, 1-2, 2-0"
1004317,18263,2025-09-16 19:00,Leksands IF,Örebro HK,4-2,,Tegera Arena,5780,10,"0,00%",02:00,"9,09",27,2,22,ÖHK,4,"33,33%",06:39,"12,90",20,4,31,LIF,"(0-1, 1-1, 3-0)","0-1, 1-1, 3-0"
1004318,18263,2025-09-16 19:00,Linköping HC,Timrå IK,2-5,,Saab Arena,6508,8,"33,33%",05:42,"21,74",18,5,23,TIK,6,"25,00%",07:56,"10,00",18,2,20,LHC,"(1-1, 0-2, 1-2)","1-1, 0-2, 1-2"
1004319,18263,2025-09-16 19:00,Skellefteå AIK,Rögle BK,5-2,,Skellefteå Kraft Arena,4607,35,"14,29%",06:20,"5,41",22,2,37,RBK,12,"33,33%",07:59,"18,52",35,5,27,SKE,"(2-1, 1-1, 2-0)","2-1, 1-1, 2-0"
