team,player,goals,assists,points,penalties,pim
SKE,"Lindberg, Oscar",32.0,40.0,72.0,26.0,52.0
SKE,"Hugg, Rickard",21.0,37.0,58.0,7.0,14.0
VÄX,"Elvenes, Lucas",14.0,44.0,58.0,8.0,16.0
RBK,nan,0.0,56.0,56.0,6.0,12.0
TIK,"Dahlén, Jonathan",30.0,25.0,55.0,8.0,16.0
ÖHK,"Karlkvist, Patrik",14.0,38.0,52.0,7.0,14.0
LHF,nan,0.0,52.0,52.0,8.0,16.0
SKE,"Pudas, Jonathan",17.0,34.0,51.0,11.0,40.0
VÄX,nan,0.0,51.0,51.0,8.0,16.0
VÄX,"Persson, Joel",8.0,42.0,50.0,6.0,30.0
FBK,"Lodin, Viktor",13.0,36.0,49.0,25.0,50.0
LHC,"Kovacs, Robin",23.0,24.0,47.0,14.0,49.0
ÖHK,"Quenneville, David",16.0,31.0,47.0,7.0,14.0
BIF,"Silfverberg, Jakob",22.0,24.0,46.0,13.0,44.0
HV,"Ang, Jonathan",21.0,25.0,46.0,19.0,38.0
TIK,"Pettersson, Emil",15.0,31.0,46.0,11.0,22.0
BIF,"Kinnvall, Johannes",12.0,34.0,46.0,8.0,16.0
MIF,"Kuokkanen, Janne",11.0,35.0,46.0,18.0,57.0
BIF,nan,0.0,46.0,46.0,8.0,16.0
MIF,nan,0.0,45.0,45.0,7.0,32.0
HV,nan,0.0,45.0,45.0,6.0,12.0
SKE,"Aagaard, Mikkel",20.0,24.0,44.0,8.0,16.0
SKE,nan,0.0,44.0,44.0,9.0,36.0
MIF,"Persson, Carl",24.0,18.0,42.0,13.0,26.0
FRÖ,"Innala, Jere",23.0,19.0,42.0,10.0,20.0
MIF,"Salo, Robin",8.0,34.0,42.0,8.0,16.0
RBK,"Nilsson, Felix",14.0,27.0,41.0,7.0,14.0
DIF,"Laleggia, Joseph",13.0,28.0,41.0,5.0,10.0
VÄX,"Rasmussen, Dennis",22.0,18.0,40.0,8.0,16.0
MIF,"Pajuniemi, Lauri",17.0,23.0,40.0,20.0,58.0
FRÖ,"Ruotsalainen, Arttu",16.0,24.0,40.0,9.0,18.0
RBK,"Själin, Calle",9.0,31.0,40.0,9.0,36.0
ÖHK,"Kossila, Kalle",15.0,24.0,39.0,9.0,18.0
DIF,"Snively, Joseph",15.0,24.0,39.0,9.0,18.0
BIF,"Rödin, Anton",12.0,27.0,39.0,14.0,28.0
FBK,nan,0.0,39.0,39.0,4.0,8.0
VÄX,"Rafferty, Brogan",13.0,25.0,38.0,4.0,8.0
RBK,"Olofsson, Fredrik",12.0,26.0,38.0,7.0,14.0
LIF,nan,0.0,38.0,38.0,13.0,62.0
FRÖ,nan,0.0,38.0,38.0,6.0,12.0
ÖHK,"Puistola, Patrik",14.0,23.0,37.0,9.0,21.0
FRÖ,"Stenberg, Ivar",11.0,26.0,37.0,5.0,10.0
FRÖ,"Tömmernes, Henrik",6.0,31.0,37.0,14.0,28.0
ÖHK,nan,0.0,37.0,37.0,5.0,28.0
FRÖ,"Lindholm, Max",17.0,19.0,36.0,12.0,24.0
FBK,"Philp, Luke",13.0,23.0,36.0,9.0,18.0
HV,"Rindell, Axel",10.0,26.0,36.0,6.0,12.0
TIK,nan,0.0,36.0,36.0,7.0,14.0
MIF,"Sundberg, Axel",15.0,20.0,35.0,5.0,10.0
FRÖ,"Cederqvist, Filip",17.0,17.0,34.0,9.0,39.0
FRÖ,"Niederbach, Theodor",14.0,20.0,34.0,9.0,18.0
DIF,nan,0.0,34.0,34.0,11.0,40.0
VÄX,"Gardiner, Reid",18.0,15.0,33.0,6.0,12.0
SKE,"Okuliar, Oliver",16.0,17.0,33.0,20.0,40.0
