season,round,round_index,team,elo
19791,R 1,1,Djurgårdens IF,1510.0
19791,R 1,1,IF Malmö Redhawks,1490.0
19791,R 1,1,Luleå HF,1516.09
19791,R 1,1,Örebro HK,1483.91
19791,R 2,2,Djurgårdens IF,1499.42
19791,R 2,2,IF Malmö Redhawks,1500.58
19791,R 2,2,Luleå HF,1504.27
19791,R 2,2,Örebro HK,1495.73
19791,R 3,3,Djurgårdens IF,1488.48
19791,R 3,3,IF Malmö Redhawks,1511.52
19791,R 3,3,Luleå HF,1514.94
19791,R 3,3,Örebro HK,1485.06
19791,R 4,4,Djurgårdens IF,1488.48
19791,R 4,4,Frölunda HC,1490.43
19791,R 4,4,IF Malmö Redhawks,1497.27
19791,R 4,4,Luleå HF,1524.51
19791,R 4,4,Skellefteå AIK,1514.25
19791,R 4,4,Örebro HK,1485.06
19791,R 5,5,Brynäs IF,1483.91
19791,R 5,5,Djurgårdens IF,1488.48
19791,R 5,5,Frölunda HC,1490.43
19791,R 5,5,Färjestad BK,1510.0
19791,R 5,5,IF Malmö Redhawks,1497.27
19791,R 5,5,Luleå HF,1524.51
19791,R 5,5,Rögle BK,1490.0
19791,R 5,5,Skellefteå AIK,1514.25
19791,R 5,5,Växjö Lakers HC,1516.09
19791,R 5,5,Örebro HK,1485.06
19791,R 6,6,Brynäs IF,1483.91
19791,R 6,6,Djurgårdens IF,1488.48
19791,R 6,6,Frölunda HC,1512.91
19791,R 6,6,Färjestad BK,1510.0
19791,R 6,6,IF Malmö Redhawks,1487.76
19791,R 6,6,Luleå HF,1502.03
19791,R 6,6,Rögle BK,1490.0
19791,R 6,6,Skellefteå AIK,1523.76
19791,R 6,6,Växjö Lakers HC,1516.09
19791,R 6,6,Örebro HK,1485.06
19791,R 7,7,Brynäs IF,1474.08
19791,R 7,7,Djurgårdens IF,1488.48
19791,R 7,7,Frölunda HC,1512.91
19791,R 7,7,Färjestad BK,1519.42
19791,R 7,7,IF Malmö Redhawks,1487.76
19791,R 7,7,Luleå HF,1502.03
19791,R 7,7,Rögle BK,1480.58
19791,R 7,7,Skellefteå AIK,1523.76
19791,R 7,7,Växjö Lakers HC,1525.92
19791,R 7,7,Örebro HK,1485.06
19791,R 8,8,Brynäs IF,1474.08
19791,R 8,8,Djurgårdens IF,1488.48
19791,R 8,8,Frölunda HC,1502.6
19791,R 8,8,Färjestad BK,1519.42
19791,R 8,8,IF Malmö Redhawks,1478.07
19791,R 8,8,Luleå HF,1512.35
19791,R 8,8,Rögle BK,1480.58
19791,R 8,8,Skellefteå AIK,1533.45
19791,R 8,8,Växjö Lakers HC,1525.92
19791,R 8,8,Örebro HK,1485.06
19791,R 9,9,Brynäs IF,1485.56
19791,R 9,9,Djurgårdens IF,1488.48
19791,R 9,9,Frölunda HC,1502.6
19791,R 9,9,Färjestad BK,1529.02
19791,R 9,9,IF Malmö Redhawks,1478.07
19791,R 9,9,Luleå HF,1512.35
19791,R 9,9,Rögle BK,1470.98
19791,R 9,9,Skellefteå AIK,1533.45
19791,R 9,9,Växjö Lakers HC,1514.44
19791,R 9,9,Örebro HK,1485.06
19791,R 10,10,Brynäs IF,1485.56
19791,R 10,10,Djurgårdens IF,1488.48
19791,R 10,10,Frölunda HC,1492.88
19791,R 10,10,Färjestad BK,1529.02
19791,R 10,10,IF Malmö Redhawks,1489.65
19791,R 10,10,Luleå HF,1522.06
19791,R 10,10,Rögle BK,1470.98
19791,R 10,10,Skellefteå AIK,1521.87
19791,R 10,10,Växjö Lakers HC,1514.44
19791,R 10,10,Örebro HK,1485.06
19791,R 11,11,Brynäs IF,1476.39
19791,R 11,11,Djurgårdens IF,1488.48
19791,R 11,11,Frölunda HC,1492.88
19791,R 11,11,Färjestad BK,1529.02
19791,R 11,11,IF Malmö Redhawks,1489.65
19791,R 11,11,Luleå HF,1522.06
19791,R 11,11,Rögle BK,1470.98
19791,R 11,11,Skellefteå AIK,1521.87
19791,R 11,11,Växjö Lakers HC,1523.61
19791,R 11,11,Örebro HK,1485.06
