game_id,season,date,round,round_index,home_team,away_team,home_score,away_score,is_overtime,is_shootout,home_elo_before,away_elo_before,expected_home_win,actual_home_score,elo_delta_home,home_elo_after,away_elo_after
1079004,19791,2026-03-17 19:00:00+00:00,R 1,1,Örebro HK,Luleå HF,2.0,6.0,False,False,1500.0,1500.0,0.5,0.0,-16.094,1483.91,1516.09
1079005,19791,2026-03-17 19:00:00+00:00,R 1,1,Djurgårdens IF,IF Malmö Redhawks,3.0,2.0,False,False,1500.0,1500.0,0.5,1.0,10.0,1510.0,1490.0
1079006,19791,2026-03-19 19:00:00+00:00,R 2,2,Luleå HF,Örebro HK,1.0,3.0,False,False,1516.09,1483.91,0.5462,0.0,-11.828,1504.27,1495.73
1079007,19791,2026-03-19 19:00:00+00:00,R 2,2,IF Malmö Redhawks,Djurgårdens IF,2.0,1.0,False,False,1490.0,1510.0,0.4712,1.0,10.575,1500.58,1499.42
1079008,19791,2026-03-21 15:15:00+00:00,R 3,3,Luleå HF,Örebro HK,4.0,2.0,False,False,1504.27,1495.73,0.5123,1.0,10.675,1514.94,1485.06
1079009,19791,2026-03-21 15:15:00+00:00,R 3,3,IF Malmö Redhawks,Djurgårdens IF,3.0,1.0,False,False,1500.58,1499.42,0.5017,1.0,10.944,1511.52,1488.48
1079010,19791,2026-03-23 19:00:00+00:00,R 4,4,Skellefteå AIK,IF Malmö Redhawks,4.0,1.0,False,False,1500.0,1511.52,0.4834,1.0,14.248,1514.25,1497.27
1079013,19791,2026-03-23 19:00:00+00:00,R 4,4,Frölunda HC,Luleå HF,2.0,3.0,False,False,1500.0,1514.94,0.4785,0.0,-9.57,1490.43,1524.51
1079011,19791,2026-03-24 19:00:00+00:00,R 5,5,Rögle BK,Färjestad BK,1.0,2.0,False,False,1500.0,1500.0,0.5,0.0,-10.0,1490.0,1510.0
1079012,19791,2026-03-24 19:00:00+00:00,R 5,5,Växjö Lakers HC,Brynäs IF,6.0,2.0,False,False,1500.0,1500.0,0.5,1.0,16.094,1516.09,1483.91
1079014,19791,2026-03-25 19:00:00+00:00,R 6,6,Skellefteå AIK,IF Malmö Redhawks,3.0,2.0,False,False,1514.25,1497.27,0.5244,1.0,9.512,1523.76,1487.76
1079017,19791,2026-03-25 19:00:00+00:00,R 6,6,Frölunda HC,Luleå HF,7.0,0.0,False,False,1490.43,1524.51,0.4511,1.0,22.479,1512.91,1502.03
1079015,19791,2026-03-26 19:00:00+00:00,R 7,7,Rögle BK,Färjestad BK,5.0,6.0,False,False,1490.0,1510.0,0.4712,0.0,-9.425,1480.58,1519.42
1079016,19791,2026-03-26 19:00:00+00:00,R 7,7,Växjö Lakers HC,Brynäs IF,6.0,4.0,False,False,1516.09,1483.91,0.5462,1.0,9.827,1525.92,1474.08
1079018,19791,2026-03-27 19:00:00+00:00,R 8,8,IF Malmö Redhawks,Skellefteå AIK,2.0,4.0,False,False,1487.76,1523.76,0.4484,0.0,-9.693,1478.07,1533.45
1079021,19791,2026-03-27 19:00:00+00:00,R 8,8,Luleå HF,Frölunda HC,2.0,1.0,False,False,1502.03,1512.91,0.4844,1.0,10.313,1512.35,1502.6
1079019,19791,2026-03-28 15:15:00+00:00,R 9,9,Färjestad BK,Rögle BK,2.0,0.0,False,False,1519.42,1480.58,0.5557,1.0,9.593,1529.02,1470.98
1079020,19791,2026-03-28 15:15:00+00:00,R 9,9,Brynäs IF,Växjö Lakers HC,3.0,2.0,False,False,1474.08,1525.92,0.4259,1.0,11.481,1485.56,1514.44
1079022,19791,2026-03-29 15:00:00+00:00,R 10,10,IF Malmö Redhawks,Skellefteå AIK,2.0,1.0,False,False,1478.07,1533.45,0.421,1.0,11.581,1489.65,1521.87
1079025,19791,2026-03-29 15:00:00+00:00,R 10,10,Luleå HF,Frölunda HC,4.0,3.0,False,False,1512.35,1502.6,0.514,1.0,9.719,1522.06,1492.88
1079024,19791,2026-03-30 19:00:00+00:00,R 11,11,Brynäs IF,Växjö Lakers HC,2.0,3.0,False,False,1485.56,1514.44,0.4585,0.0,-9.171,1476.39,1523.61
