league,state_diff,n_score,n_total,n_concede,p_score,p_concede,next_if_score,next_if_concede
sweden,-6,0,1,1,0.0,1.0,-5,-7
sweden,-5,2,3,1,0.6667,0.3333,-4,-6
sweden,-4,1,4,3,0.25,0.75,-3,-5
sweden,-3,3,7,4,0.4286,0.5714,-2,-4
sweden,-2,8,15,7,0.5333,0.4667,-1,-3
sweden,-1,24,47,23,0.5106,0.4894,0,-2
sweden,0,37,74,37,0.5,0.5,1,-1
sweden,1,23,47,24,0.4894,0.5106,2,0
sweden,2,7,15,8,0.4667,0.5333,3,1
sweden,3,4,7,3,0.5714,0.4286,4,2
sweden,4,3,4,1,0.75,0.25,5,3
sweden,5,1,3,2,0.3333,0.6667,6,4
sweden,6,1,1,0,1.0,0.0,7,5
