league,league_label,team,wiki_title,wiki_api,wikidata_qid,logo_filename,logo_url,local_path,status,score
sweden,SHL,Brynäs IF,,,,,,,no_good_title,0.0
sweden,SHL,Djurgårdens IF,,,,,,,no_good_title,0.0
sweden,SHL,Frölunda HC,,,,,,,no_good_title,0.0
sweden,SHL,Färjestad BK,,,,,,,no_good_title,0.0
sweden,SHL,IF Malmö Redhawks,,,,,,,no_good_title,0.0
sweden,SHL,Luleå HF,,,,,,,no_good_title,0.0
sweden,SHL,Rögle BK,,,,,,,no_good_title,0.0
sweden,SHL,Skellefteå AIK,,,,,,,no_good_title,0.0
sweden,SHL,Växjö Lakers HC,,,,,,,no_good_title,0.0
sweden,SHL,Örebro HK,,,,,,,no_good_title,0.0
