game_id,event_idx,period,time,elapsed_seconds,event_type,team,player,player_jersey,foul_type,goal_type,is_empty_net,penalty_minutes,penalty_reason,score_state,secondary_player_1,secondary_player_2
20261105000001,0,1,14:18,858,penalty,EHCK,,,122,,,2,,,,
20261105000001,1,2,35:00,2100,penalty,EHCK,Mischa Ramel,14,120,,,2,,,,
20261105000001,2,2,35:14,2114,goal,EHCK,Petteri Puhakka,90,,SH1,,,,0:1,Robert Leino,
20261105000001,3,2,45:09,2709,penalty,HCAP,Inti Pestoni,18,120,,,2,,,,
20261105000001,4,2,55:16,3316,goal,HCAP,Simone Terraneo,26,,EQ,,,,1:1,,
20261105000001,5,3,86:46,5206,penalty,HCAP,Miles Müller,17,122,,,2,,,,
20261105000001,6,3,99:12,5952,goal,HCAP,Tim Heed,72,,EQ,,,,2:1,Inti Pestoni,Simone Terraneo
20261105000001,7,3,99:12,5952,gk_out,EHCK,Ludovic Waeber,35,,,,,,,,
20261105000002,0,1,0:10,10,penalty,HCD,Matej Stransky,44,122,,,2,,,,
20261105000002,1,1,15:01,901,penalty,HCD,Calle Andersson,55,125,,,2,,,,
20261105000002,2,1,25:25,1525,penalty,LHC,Michael Hügli,19,119,,,2,,,,
20261105000002,3,2,40:42,2442,penalty,HCD,Nico Gross,77,124,,,2,,,,
20261105000002,4,2,41:41,2501,penalty,LHC,Jason Fuchs,14,120,,,2,,,,
20261105000002,5,2,50:20,3020,penalty,HCD,Chris Egli,96,120,,,2,,,,
20261105000002,6,2,57:37,3457,penalty,LHC,Ken Jäger,17,113,,,5,,,,
20261105000002,7,2,57:37,3457,penalty,LHC,Ken Jäger,17,113,,,20,,,,
20261105000002,8,2,60:42,3642,goal,HCD,Matej Stransky,44,,PP1,,,,1:0,Enzo Corvi,Lukas Frick
20261105000002,9,2,66:40,4000,penalty,HCD,Lukas Frick,38,119,,,2,,,,
20261105000002,10,3,70:29,4229,goal,HCD,Simon Ryfors,15,,EQ,,,,2:0,Adam Tambellini,
20261105000002,11,3,73:28,4408,penalty,LHC,Yannick Zehnder,12,125,,,2,,,,
20261105000002,12,3,92:39,5559,goal,HCD,Filip Zadina,18,,EQ,,,,3:0,Tino Kessler,
20261105000002,13,3,94:03,5643,penalty,HCD,,,135,,,2,,,,
20261105000002,14,3,94:03,5643,gk_out,LHC,Kevin Pasche,33,,,,,,,,
20261105000002,15,3,97:08,5828,goal,LHC,Yannick Zehnder,12,,PP1,,,,3:1,Ahti Oksanen,Damien Riat
20261105000002,16,3,97:08,5828,gk_in,LHC,Kevin Pasche,33,,,,,,,,
20261105000002,17,3,98:29,5909,goal,HCD,Sven Jung,90,,EQ,,,,4:1,Simon Knak,Rasmus Asplund
20261105000002,18,3,98:51,5931,penalty,LHC,Dominik Kahun,24,122,,,2,,,,
20261105000003,0,1,7:08,428,penalty,HCL,Lorenzo Canonica,14,122,,,2,,,,
20261105000003,1,1,12:11,731,penalty,HCL,Jesper Peltonen,52,120,,,2,,,,
20261105000003,2,1,21:58,1318,goal,FRI,Lucas Wallmark,32,,EQ,,,,1:0,Marcus Sörensen,
20261105000003,3,2,39:09,2349,penalty,HCL,Brian Zanetti,9,126,,,2,,,,
20261105000003,4,2,44:09,2649,goal,HCL,Lorenzo Canonica,14,,EQ,,,,1:1,Luca Fazzini,Mike Sgarbossa
20261105000003,5,2,61:44,3704,penalty,HCL,Jesper Peltonen,52,110,,,5,,,,
20261105000003,6,2,61:44,3704,penalty,HCL,Jesper Peltonen,52,110,,,20,,,,
20261105000003,7,2,61:44,3704,penalty,HCL,Santeri Alatalo,22,136,,,2,,,,
20261105000003,8,2,61:44,3704,penalty,FRI,Julien Sprunger,86,116,,,2,,,,
20261105000003,9,2,61:44,3704,penalty,FRI,Christoph Bertschy,22,136,,,2,,,,
20261105000003,10,3,70:03,4203,penalty,FRI,Sandro Schmid,73,125,,,2,,,,
20261105000003,11,3,85:05,5105,goal,HCL,Calvin Thürkauf,97,,EQ,,,,1:2,David Aebischer,Mirco Müller
20261105000003,12,3,89:07,5347,goal,FRI,Ludvig Johnson,33,,EQ,,,,2:2,Marcus Sörensen,
20261105000003,13,4,104:00,6240,goal,FRI,Attilio Biasca,17,,EQ,,,,3:2,Michael Kapla,Marcus Sörensen
20261105000004,0,1,7:28,448,penalty,HCA,Valentin Pilet,2,116,,,2,,,,
20261105000004,1,1,7:28,448,penalty,GSHC,Vili Saarijärvi,46,116,,,2,,,,
20261105000004,2,1,9:06,546,goal,HCA,Louis Robin,13,,EQ,,,,0:1,Julius Nättinen,
20261105000004,3,1,9:18,558,penalty,HCA,Frédérik Gauthier,23,119,,,2,,,,
20261105000004,4,1,13:41,821,penalty,HCA,Kyen Sopa,78,116,,,2,,,,
20261105000004,5,1,13:41,821,penalty,GSHC,Roger Karrer,25,116,,,2,,,,
20261105000004,6,1,25:29,1529,penalty,GSHC,Matthew Verboon,23,126,,,2,,,,
20261105000004,7,2,43:37,2617,goal,GSHC,Marc-Antoine Pouliot,78,,EQ,,,,1:1,Vili Saarijärvi,Stéphane Charlin
20261105000004,8,2,45:30,2730,penalty,GSHC,Vili Saarijärvi,46,121,,,2,,,,
20261105000004,9,2,47:39,2859,goal,GSHC,Jimmy Vesey,16,,SH1,,,,2:1,Josh Jooris,Roger Karrer
20261105000004,10,2,52:11,3131,penalty,HCA,Louis Robin,13,119,,,2,,,,
20261105000004,11,3,67:18,4038,goal,GSHC,Markus Granlund,60,,EQ,,,,3:1,Sakari Manninen,Jesse Puljujärvi
20261105000004,12,3,70:13,4213,penalty,GSHC,Josh Jooris,19,132,,,2,,,,
20261105000004,13,3,78:59,4739,penalty,HCA,Emils Veckaktins,14,121,,,2,,,,
20261105000004,14,3,79:16,4756,goal,GSHC,Marc-Antoine Pouliot,78,,PP1,,,,4:1,Josh Jooris,Noah Rod
20261105000004,15,3,85:09,5109,penalty,HCA,Kyen Sopa,78,126,,,2,,,,
20261105000004,16,3,87:07,5227,penalty,GSHC,Josh Jooris,19,116,,,2,,,,
