game_id,date,home_team,away_team,score,away_fow,away_pim,away_pp_goals,away_pp_opps,away_score,away_shots,home_fow,home_pim,home_pp_goals,home_pp_opps,home_score,home_shots,is_overtime,is_shootout,ot_score,period_scores,spectators,venue
20261105000001,2025-09-09,HC Ambri-Piotta,EHC Kloten,2:1,26,4,0,2,1,17,24,4,0,2,2,31,0,0,,0:0 | 1:1 | 1:0,6149,Gottardo Arena
20261105000002,2025-09-09,HC Davos,Lausanne HC,4:1,29,33,1,6,1,23,31,12,1,6,4,28,0,0,,0:0 | 1:0 | 3:1,3696,zondacrypto-Arena
20261105000003,2025-09-09,Fribourg-Gottéron,HC Lugano,3:2,25,33,0,1,2,25,27,6,0,5,3,30,1,0,1:0,1:0 | 0:1 | 1:1,9280,BCF Arena
20261105000004,2025-09-09,Genève-Servette HC,HC Ajoie,5:3,21,14,1,5,3,25,36,16,1,4,5,43,0,0,,0:1 | 2:0 | 3:2,6003,Les Vernets
20261105000005,2025-09-09,SC Rapperswil-Jona Lakers,SCL Tigers,5:1,30,18,0,3,1,24,31,16,1,4,5,46,0,0,,2:0 | 2:0 | 1:1,4293,St.Galler Kantonalbank Arena
20261105000006,2025-09-09,ZSC Lions,EHC Biel-Bienne,4:3,33,4,1,2,3,21,33,4,1,2,4,29,0,0,,0:1 | 1:0 | 3:2,10152,Swiss Life Arena
20261105000007,2025-09-09,EV Zug,SC Bern,3:0,30,4,0,1,0,26,20,2,1,2,3,19,0,0,,2:0 | 0:0 | 1:0,7073,OYM hall
20261105000008,2025-09-12,HC Ajoie,ZSC Lions,0:4,23,33,0,3,4,38,24,37,0,2,0,15,0,0,,0:1 | 0:3 | 0:0,3963,Raiffeisen Arena
20261105000009,2025-09-12,SC Bern,Genève-Servette HC,2:1,40,6,0,1,1,31,30,2,0,3,2,30,1,1,0:0,1:0 | 0:1 | 0:0,14523,PostFinance Arena
20261105000010,2025-09-11,EHC Biel-Bienne,HC Davos,1:4,27,14,1,2,4,17,17,10,0,4,1,33,0,0,,1:1 | 0:2 | 0:1,5705,Tissot Arena
20261105000011,2025-09-12,EHC Kloten,SCRJ Lakers,5:3,27,51,1,4,3,33,31,10,3,8,5,34,0,0,,0:2 | 0:1 | 5:0,5090,SWISS Arena
