player,team,goals,assists,points,penalties,pim
Matej Stransky,HC Davos,31,24,55,11,72
Markus Granlund,Genève-Servette HC,23,32,55,9,22
Jesse Puljujärvi,Genève-Servette HC,21,33,54,9,20
Austin Czarnik,Lausanne HC,19,34,53,14,30
Théo Rochette,Lausanne HC,23,27,50,8,16
Denis Malgin,ZSC Lions,17,33,50,12,28
Luca Fazzini,HC Lugano,17,31,48,5,12
Sven Andrighetto,ZSC Lions,19,28,47,10,24
Sakari Manninen,Genève-Servette HC,17,29,46,12,28
Zach Sanford,HC Lugano,17,28,45,7,18
Henrik Borgström,Fribourg-Gottéron,14,31,45,4,8
Filip Zadina,HC Davos,23,21,44,13,78
Simon Ryfors,HC Davos,16,28,44,10,24
Ahti Oksanen,Lausanne HC,14,29,43,6,14
Lias Andersson,EHC Biel-Bienne,19,22,41,10,20
Fabio Hofer,EHC Biel-Bienne,19,22,41,4,10
Christopher DiDomenico,HC Ambri-Piotta,10,31,41,11,42
Andre Petersson,SCL Tigers,24,16,40,6,14
Dominik Kubalik,EV Zug,23,17,40,11,22
Adam Tambellini,HC Davos,21,18,39,4,31
Damien Riat,Lausanne HC,16,23,39,11,24
Michael Joly,HC Ambri-Piotta,20,18,38,3,6
Christoph Bertschy,Fribourg-Gottéron,14,24,38,17,36
Rasmus Asplund,HC Davos,12,26,38,7,14
Sandro Schmid,Fribourg-Gottéron,10,28,38,16,36
Anttoni Honka,HC Ajoie,10,28,38,11,22
Vili Saarijärvi,Genève-Servette HC,5,33,38,9,40
Drake Caggiula,Lausanne HC,19,18,37,9,68
Gregory Hofmann,EV Zug,17,20,37,8,20
Jesper Frödén,ZSC Lions,14,23,37,10,20
Lukas Frick,HC Davos,5,32,37,5,10
Julius Nättinen,HC Ajoie,21,15,36,3,6
Erik Brännström,Lausanne HC,18,18,36,14,32
Toni Rajala,EHC Biel-Bienne,16,20,36,2,4
Jimmy Vesey,Genève-Servette HC,15,21,36,9,22
Tomas Tatar,EV Zug,9,27,36,9,41
Dario Rohrbach,SCL Tigers,13,22,35,3,6
Tino Kessler,HC Davos,16,18,34,6,14
Calvin Thürkauf,HC Lugano,15,19,34,14,34
Enzo Corvi,HC Davos,10,24,34,5,12
Michael Kapla,Fribourg-Gottéron,12,21,33,6,14
Valentin Nussbaumer,HC Davos,12,21,33,7,14
Yannick Rathgeb,Fribourg-Gottéron,10,23,33,12,28
Gaëtan Haas,EHC Biel-Bienne,9,24,33,8,20
Jacob De la Rose,Fribourg-Gottéron,20,12,32,9,22
Malte Strömwall,SCRJ Lakers,16,16,32,9,70
Victor Ejdsell,SC Bern,14,18,32,10,22
Jan Kovar,EV Zug,11,21,32,14,32
Tyler Moy,SCRJ Lakers,9,23,32,7,14
Marcus Sörensen,Fribourg-Gottéron,8,24,32,2,6
Saku Mäenalanen,SCL Tigers,9,22,31,8,43
Rudolfs Balcers,ZSC Lions,15,15,30,7,18
Jason Fuchs,Lausanne HC,8,22,30,7,16
Michael Fora,HC Davos,7,23,30,11,24
Alex Formenton,HC Ambri-Piotta,17,12,29,17,58
Dominic Zwerger,HC Ambri-Piotta,16,13,29,11,24
Derek Grant,ZSC Lions,13,16,29,8,39
Dario Simion,HC Lugano,15,13,28,4,31
Dario Meyer,EHC Kloten,15,13,28,5,12
Harri Pesonen,SCL Tigers,14,14,28,10,24
Waltteri Merelä,SC Bern,13,15,28,8,16
Connor Carrick,HC Lugano,10,18,28,15,80
Jacob Larsson,SCRJ Lakers,8,20,28,11,48
David Sklenicka,EV Zug,7,21,28,8,43
Juuso Riikola,SCL Tigers,7,21,28,6,35
Santtu Kinnunen,SCL Tigers,6,22,28,7,14
Tim Heed,HC Ambri-Piotta,2,26,28,3,6
Attilio Biasca,Fribourg-Gottéron,15,12,27,3,6
Andreas Wingerli,EV Zug,14,13,27,9,24
Julien Sprunger,Fribourg-Gottéron,11,16,27,9,22
Robert Leino,EHC Kloten,8,19,27,10,20
Rodwin Dionicio,EHC Biel-Bienne,6,21,27,16,42
Brendan Lemieux,HC Davos,14,12,26,13,55
Victor Rask,SCRJ Lakers,13,13,26,3,6
Tyler Morley,EHC Kloten,12,14,26,7,16
Max Lindroth,EHC Kloten,10,16,26,8,18
Sami Niku,Lausanne HC,8,18,26,10,22
Sven Senteler,EV Zug,14,11,25,5,12
Jesse Virtanen,HC Ambri-Piotta,7,18,25,15,30
Mikko Lehtonen,ZSC Lions,7,18,25,8,28
Gian-Marco Wetter,SCRJ Lakers,7,18,25,4,8
Mike Künzle,EV Zug,12,12,24,12,30
Axel Simic,EHC Kloten,11,13,24,9,21
Josh Jooris,Genève-Servette HC,10,14,24,17,50
Petteri Puhakka,EHC Kloten,10,14,24,7,14
Christopher Tierney,HC Ambri-Piotta,10,14,24,4,8
Hardy Häman Aktell,SC Bern,9,15,24,5,22
Marc Marchon,SC Bern,6,18,24,14,61
Hannes Björninen,SCL Tigers,10,13,23,7,20
Marcus Sylvegard,EHC Biel-Bienne,10,13,23,5,10
Lucas Wallmark,Fribourg-Gottéron,9,14,23,9,24
Nico Dünner,SCRJ Lakers,8,15,23,10,22
Miro Aaltonen,SC Bern,6,17,23,8,16
Julian Schmutz,SCL Tigers,10,12,22,15,30
Tommaso De Luca,HC Ambri-Piotta,9,13,22,10,26
Jere Sallinen,EHC Biel-Bienne,8,14,22,8,18
Jan Rutta,Genève-Servette HC,5,17,22,13,55
Santeri Alatalo,HC Lugano,5,17,22,14,30
Linus Hultström,EHC Biel-Bienne,4,18,22,14,32
Yannick Frehner,HC Davos,14,7,21,2,4
Philip-Michael Devos,HC Ajoie,14,7,21,1,2
Simon Le Coultre,Genève-Servette HC,12,9,21,7,16
Willy Riedi,ZSC Lions,11,10,21,6,14
Tanner Fritz,SCRJ Lakers,9,12,21,9,43
Pontus Aberg,ZSC Lions,8,13,21,7,14
Vincent Praplan,Genève-Servette HC,8,13,21,6,14
Antti Suomela,Lausanne HC,6,15,21,2,6
Jerry Turkulainen,HC Ajoie,6,15,21,3,6
David Aebischer,HC Lugano,4,17,21,10,46
Dean Kukan,ZSC Lions,4,17,21,7,16
Jiri Felcman,SCL Tigers,4,17,21,5,10
Lorenzo Canonica,HC Lugano,13,7,20,8,16
Tim Bozon,Genève-Servette HC,12,8,20,3,29
Emil Bemström,SC Bern,12,8,20,2,4
Killian Mottet,HC Ajoie,10,10,20,5,10
Miles Müller,HC Ambri-Piotta,8,12,20,4,31
Kyen Sopa,HC Ajoie,7,13,20,7,16
André Heim,HC Ambri-Piotta,5,15,20,7,14
Romain Loeffel,SC Bern,5,15,20,4,8
Brandon Gignac,EHC Kloten,4,16,20,6,14
Manix Landry,HC Ambri-Piotta,8,11,19,6,12
Jiri Sekac,HC Lugano,7,12,19,10,72
Calle Andersson,HC Davos,2,17,19,4,8
