season,round,round_index,team,elo
2025-26,R 1,1,EHC Biel-Bienne,1490.0
2025-26,R 1,1,EHC Kloten,1490.0
2025-26,R 1,1,EV Zug,1513.86
2025-26,R 1,1,Fribourg-Gottéron,1505.0
2025-26,R 1,1,Genève-Servette HC,1510.99
2025-26,R 1,1,HC Ajoie,1489.01
2025-26,R 1,1,HC Ambri-Piotta,1510.0
2025-26,R 1,1,HC Davos,1513.86
2025-26,R 1,1,HC Lugano,1495.0
2025-26,R 1,1,Lausanne HC,1486.14
2025-26,R 1,1,SC Bern,1486.14
2025-26,R 1,1,SC Rapperswil-Jona Lakers,1516.09
2025-26,R 1,1,SCL Tigers,1483.91
2025-26,R 1,1,ZSC Lions,1510.0
2025-26,R 2,2,EHC Biel-Bienne,1477.23
2025-26,R 2,2,EHC Kloten,1490.0
2025-26,R 2,2,EV Zug,1513.86
2025-26,R 2,2,Fribourg-Gottéron,1505.0
2025-26,R 2,2,Genève-Servette HC,1510.99
2025-26,R 2,2,HC Ajoie,1489.01
2025-26,R 2,2,HC Ambri-Piotta,1510.0
2025-26,R 2,2,HC Davos,1526.64
2025-26,R 2,2,HC Lugano,1495.0
2025-26,R 2,2,Lausanne HC,1486.14
2025-26,R 2,2,SC Bern,1486.14
2025-26,R 2,2,SC Rapperswil-Jona Lakers,1516.09
2025-26,R 2,2,SCL Tigers,1483.91
2025-26,R 2,2,ZSC Lions,1510.0
2025-26,R 3,3,EHC Biel-Bienne,1477.23
2025-26,R 3,3,EHC Kloten,1501.25
2025-26,R 3,3,EV Zug,1523.32
2025-26,R 3,3,Fribourg-Gottéron,1488.18
2025-26,R 3,3,Genève-Servette HC,1505.27
2025-26,R 3,3,HC Ajoie,1474.03
2025-26,R 3,3,HC Ambri-Piotta,1499.25
2025-26,R 3,3,HC Davos,1526.64
2025-26,R 3,3,HC Lugano,1485.54
2025-26,R 3,3,Lausanne HC,1502.96
2025-26,R 3,3,SC Bern,1491.85
2025-26,R 3,3,SC Rapperswil-Jona Lakers,1516.09
2025-26,R 3,3,SCL Tigers,1494.66
2025-26,R 3,3,SCRJ Lakers,1488.75
2025-26,R 3,3,ZSC Lions,1524.98
2025-26,R 4,4,EHC Biel-Bienne,1461.72
2025-26,R 4,4,EHC Kloten,1490.41
2025-26,R 4,4,EV Zug,1517.5
2025-26,R 4,4,Fribourg-Gottéron,1503.69
2025-26,R 4,4,Genève-Servette HC,1516.11
2025-26,R 4,4,HC Ajoie,1474.03
2025-26,R 4,4,HC Ambri-Piotta,1485.56
2025-26,R 4,4,HC Davos,1526.64
2025-26,R 4,4,HC Lugano,1471.52
2025-26,R 4,4,Lausanne HC,1516.65
2025-26,R 4,4,SC Bern,1481.76
2025-26,R 4,4,SC Rapperswil-Jona Lakers,1516.09
2025-26,R 4,4,SCL Tigers,1500.48
2025-26,R 4,4,SCRJ Lakers,1498.84
2025-26,R 4,4,ZSC Lions,1539.0
2025-26,R 5,5,EHC Biel-Bienne,1461.72
2025-26,R 5,5,EHC Kloten,1490.41
2025-26,R 5,5,EV Zug,1517.5
2025-26,R 5,5,Fribourg-Gottéron,1503.69
2025-26,R 5,5,Genève-Servette HC,1516.11
2025-26,R 5,5,HC Ajoie,1457.88
2025-26,R 5,5,HC Ambri-Piotta,1485.56
2025-26,R 5,5,HC Davos,1542.79
2025-26,R 5,5,HC Lugano,1471.52
2025-26,R 5,5,Lausanne HC,1516.65
2025-26,R 5,5,SC Bern,1481.76
2025-26,R 5,5,SC Rapperswil-Jona Lakers,1516.09
2025-26,R 5,5,SCL Tigers,1500.48
2025-26,R 5,5,SCRJ Lakers,1498.84
2025-26,R 5,5,ZSC Lions,1539.0
2025-26,R 6,6,EHC Biel-Bienne,1467.0
2025-26,R 6,6,EHC Kloten,1481.29
2025-26,R 6,6,EV Zug,1512.1
2025-26,R 6,6,Fribourg-Gottéron,1509.08
2025-26,R 6,6,Genève-Servette HC,1491.31
2025-26,R 6,6,HC Ajoie,1448.36
2025-26,R 6,6,HC Ambri-Piotta,1474.47
2025-26,R 6,6,HC Davos,1551.91
2025-26,R 6,6,HC Lugano,1466.24
2025-26,R 6,6,Lausanne HC,1541.46
2025-26,R 6,6,SC Bern,1492.85
2025-26,R 6,6,SC Rapperswil-Jona Lakers,1516.09
2025-26,R 6,6,SCL Tigers,1511.58
2025-26,R 6,6,SCRJ Lakers,1508.36
2025-26,R 6,6,ZSC Lions,1527.9
2025-26,R 7,7,EHC Biel-Bienne,1467.0
2025-26,R 7,7,EHC Kloten,1481.29
2025-26,R 7,7,EV Zug,1512.1
2025-26,R 7,7,Fribourg-Gottéron,1498.57
2025-26,R 7,7,Genève-Servette HC,1501.82
2025-26,R 7,7,HC Ajoie,1448.36
2025-26,R 7,7,HC Ambri-Piotta,1474.47
2025-26,R 7,7,HC Davos,1551.91
2025-26,R 7,7,HC Lugano,1466.24
2025-26,R 7,7,Lausanne HC,1541.46
2025-26,R 7,7,SC Bern,1492.85
2025-26,R 7,7,SC Rapperswil-Jona Lakers,1516.09
2025-26,R 7,7,SCL Tigers,1511.58
2025-26,R 7,7,SCRJ Lakers,1508.36
2025-26,R 7,7,ZSC Lions,1527.9
2025-26,R 8,8,EHC Biel-Bienne,1467.0
2025-26,R 8,8,EHC Kloten,1468.82
2025-26,R 8,8,EV Zug,1524.56
2025-26,R 8,8,Fribourg-Gottéron,1498.57
2025-26,R 8,8,Genève-Servette HC,1501.82
2025-26,R 8,8,HC Ajoie,1438.03
2025-26,R 8,8,HC Ambri-Piotta,1463.0
2025-26,R 8,8,HC Davos,1560.76
2025-26,R 8,8,HC Lugano,1476.57
2025-26,R 8,8,Lausanne HC,1555.81
2025-26,R 8,8,SC Bern,1492.85
2025-26,R 8,8,SC Rapperswil-Jona Lakers,1516.09
2025-26,R 8,8,SCL Tigers,1502.74
2025-26,R 8,8,SCRJ Lakers,1494.01
2025-26,R 8,8,ZSC Lions,1539.37
2025-26,R 9,9,EHC Biel-Bienne,1471.88
2025-26,R 9,9,EHC Kloten,1481.98
2025-26,R 9,9,EV Zug,1503.69
2025-26,R 9,9,Fribourg-Gottéron,1512.58
2025-26,R 9,9,Genève-Servette HC,1513.78
2025-26,R 9,9,HC Ajoie,1456.19
2025-26,R 9,9,HC Ambri-Piotta,1458.12
2025-26,R 9,9,HC Davos,1568.82
2025-26,R 9,9,HC Lugano,1468.51
2025-26,R 9,9,Lausanne HC,1542.65
2025-26,R 9,9,SC Bern,1474.69
2025-26,R 9,9,SC Rapperswil-Jona Lakers,1516.09
2025-26,R 9,9,SCL Tigers,1488.74
2025-26,R 9,9,SCRJ Lakers,1514.88
2025-26,R 9,9,ZSC Lions,1527.4
2025-26,R 10,10,EHC Biel-Bienne,1459.96
