season,round,round_index,team,elo
2025-26,R 109,109,HC Davos,1668.52
2025-26,R 109,109,ZSC Lions,1613.86
2025-26,R 109,109,Fribourg-Gottéron,1588.75
2025-26,R 109,109,Lausanne HC,1538.63
2025-26,R 109,109,Genève-Servette HC,1527.83
2025-26,R 109,109,SCRJ Lakers,1524.09
2025-26,R 109,109,HC Lugano,1500.85
2025-26,R 109,109,SC Rapperswil-Jona Lakers,1486.89
2025-26,R 109,109,nan,1483.74
2025-26,R 109,109,EHC Biel-Bienne,1466.9
2025-26,R 109,109,HC Ambri-Piotta,1461.4
2025-26,R 109,109,SC Bern,1459.95
2025-26,R 109,109,EHC Kloten,1458.99
2025-26,R 109,109,EV Zug,1454.57
2025-26,R 109,109,SCL Tigers,1430.59
2025-26,R 109,109,HC Ajoie,1334.44
