league,state_diff,n_score,n_total,n_concede,p_score,p_concede,next_if_score,next_if_concede
switzerland,-10,0,1,1,0.0,1.0,-9,-11
switzerland,-9,0,1,1,0.0,1.0,-8,-10
switzerland,-8,0,1,1,0.0,1.0,-7,-9
switzerland,-7,0,3,3,0.0,1.0,-6,-8
switzerland,-6,0,7,7,0.0,1.0,-5,-7
switzerland,-5,9,22,13,0.4091,0.5909,-4,-6
switzerland,-4,29,61,32,0.4754,0.5246,-3,-5
switzerland,-3,69,172,103,0.4012,0.5988,-2,-4
switzerland,-2,176,393,217,0.4478,0.5522,-1,-3
switzerland,-1,374,779,405,0.4801,0.5199,0,-2
switzerland,0,736,1472,736,0.5,0.5,1,-1
switzerland,1,405,779,374,0.5199,0.4801,2,0
switzerland,2,217,393,176,0.5522,0.4478,3,1
switzerland,3,103,172,69,0.5988,0.4012,4,2
switzerland,4,32,61,29,0.5246,0.4754,5,3
switzerland,5,13,22,9,0.5909,0.4091,6,4
switzerland,6,7,7,0,1.0,0.0,7,5
switzerland,7,3,3,0,1.0,0.0,8,6
switzerland,8,1,1,0,1.0,0.0,9,7
switzerland,9,1,1,0,1.0,0.0,10,8
switzerland,10,1,1,0,1.0,0.0,11,9
