league,league_label,team,wiki_title,wiki_api,wikidata_qid,logo_filename,logo_url,local_path,status,score
switzerland,National League,EHC Biel-Bienne,,,,,,,no_good_title,0.0
switzerland,National League,EHC Kloten,,,,,,,no_good_title,0.0
switzerland,National League,EV Zug,,,,,,,no_good_title,0.0
switzerland,National League,Fribourg-Gottéron,,,,,,,no_good_title,0.0
switzerland,National League,Genève-Servette HC,,,,,,,no_good_title,0.0
switzerland,National League,HC Ajoie,,,,,,,no_good_title,0.0
switzerland,National League,HC Ambri-Piotta,,,,,,,no_good_title,0.0
switzerland,National League,HC Davos,,,,,,,no_good_title,0.0
switzerland,National League,HC Lugano,,,,,,,no_good_title,0.0
switzerland,National League,Lausanne HC,,,,,,,no_good_title,0.0
switzerland,National League,SC Bern,,,,,,,no_good_title,0.0
switzerland,National League,SC Rapperswil-Jona Lakers,,,,,,,no_good_title,0.0
switzerland,National League,SCL Tigers,,,,,,,no_good_title,0.0
switzerland,National League,SCRJ Lakers,,,,,,,no_good_title,0.0
switzerland,National League,ZSC Lions,,,,,,,no_good_title,0.0
