player,team,position,games,goals,assists,points,penalties,pim,plus_minus,shots,toi,goals_per_game,assists_per_game,points_per_game,shots_per_game,toi_per_game
Markus Granlund,Genève-Servette HC,forwarder,58,25,37,62,9,22,13,146,62189,0.431,0.638,1.069,2.517,1072.22
Jesse Puljujärvi,Genève-Servette HC,forwarder,61,24,35,59,9,20,15,201,68651,0.393,0.574,0.967,3.295,1125.43
Matej Stransky,HC Davos,forwarder,53,33,24,57,12,74,35,152,53313,0.623,0.453,1.075,2.868,1005.91
Austin Czarnik,Lausanne HC,forwarder,58,20,34,54,14,30,12,118,65452,0.345,0.586,0.931,2.034,1128.48
Théo Rochette,Lausanne HC,forwarder,54,23,29,52,8,16,15,145,62440,0.426,0.537,0.963,2.685,1156.3
Sakari Manninen,Genève-Servette HC,forwarder,56,17,35,52,13,30,8,116,64536,0.304,0.625,0.929,2.071,1152.43
Denis Malgin,ZSC Lions,forwarder,47,17,33,50,13,30,25,122,53574,0.362,0.702,1.064,2.596,1139.87
Luca Fazzini,HC Lugano,forwarder,57,17,31,48,5,12,1,175,59324,0.298,0.544,0.842,3.07,1040.77
Sven Andrighetto,ZSC Lions,forwarder,44,19,28,47,10,24,18,143,49917,0.432,0.636,1.068,3.25,1134.48
Henrik Borgström,Fribourg-Gottéron,forwarder,57,14,32,46,4,8,17,163,59041,0.246,0.561,0.807,2.86,1035.81
Filip Zadina,HC Davos,forwarder,49,24,21,45,13,78,14,161,49510,0.49,0.429,0.918,3.286,1010.41
Zach Sanford,HC Lugano,forwarder,58,17,28,45,7,18,9,112,63120,0.293,0.483,0.776,1.931,1088.28
Simon Ryfors,HC Davos,forwarder,57,16,28,44,10,24,26,90,55738,0.281,0.491,0.772,1.579,977.86
Vili Saarijärvi,Genève-Servette HC,defender,61,7,37,44,11,44,3,126,74219,0.115,0.607,0.721,2.066,1216.7
Ahti Oksanen,Lausanne HC,forwarder,50,14,29,43,6,14,22,114,50455,0.28,0.58,0.86,2.28,1009.1
Adam Tambellini,HC Davos,forwarder,53,21,21,42,4,31,25,162,50338,0.396,0.396,0.792,3.057,949.77
Christoph Bertschy,Fribourg-Gottéron,forwarder,61,17,25,42,17,36,12,162,65383,0.279,0.41,0.689,2.656,1071.85
Christopher DiDomenico,HC Ambri-Piotta,forwarder,49,10,31,41,11,42,-17,97,51154,0.204,0.633,0.837,1.98,1043.96
Michael Joly,HC Ambri-Piotta,forwarder,54,22,19,41,3,6,-10,145,52873,0.407,0.352,0.759,2.685,979.13
Fabio Hofer,EHC Biel-Bienne,forwarder,54,19,22,41,4,10,1,106,62719,0.352,0.407,0.759,1.963,1161.46
Lias Andersson,EHC Biel-Bienne,forwarder,55,19,22,41,10,20,-11,147,61466,0.345,0.4,0.745,2.673,1117.56
Jimmy Vesey,Genève-Servette HC,forwarder,62,18,23,41,10,24,-1,131,66551,0.29,0.371,0.661,2.113,1073.4
Andre Petersson,SCL Tigers,forwarder,46,24,16,40,6,14,4,130,44037,0.522,0.348,0.87,2.826,957.33
Dominik Kubalik,EV Zug,forwarder,53,23,17,40,11,22,-10,149,57523,0.434,0.321,0.755,2.811,1085.34
Damien Riat,Lausanne HC,forwarder,59,16,23,39,12,26,10,142,61441,0.271,0.39,0.661,2.407,1041.37
Erik Brännström,Lausanne HC,defender,46,18,20,38,14,32,10,164,62774,0.391,0.435,0.826,3.565,1364.65
Rasmus Asplund,HC Davos,forwarder,52,12,26,38,8,16,31,85,52820,0.231,0.5,0.731,1.635,1015.77
Sandro Schmid,Fribourg-Gottéron,forwarder,52,10,28,38,16,36,6,107,57557,0.192,0.538,0.731,2.058,1106.87
Drake Caggiula,Lausanne HC,forwarder,54,20,18,38,9,68,4,137,60824,0.37,0.333,0.704,2.537,1126.37
Jesper Frödén,ZSC Lions,forwarder,56,14,24,38,10,20,6,109,62791,0.25,0.429,0.679,1.946,1121.27
Anttoni Honka,HC Ajoie,defender,57,10,28,38,11,22,-22,174,78739,0.175,0.491,0.667,3.053,1381.39
Gregory Hofmann,EV Zug,forwarder,56,17,20,37,8,20,9,151,58195,0.304,0.357,0.661,2.696,1039.2
Lukas Frick,HC Davos,defender,59,5,32,37,5,10,12,60,69627,0.085,0.542,0.627,1.017,1180.12
Julius Nättinen,HC Ajoie,forwarder,48,21,15,36,3,6,-11,127,57199,0.438,0.312,0.75,2.646,1191.65
Tomas Tatar,EV Zug,forwarder,48,9,27,36,9,41,-1,64,51332,0.188,0.562,0.75,1.333,1069.42
Toni Rajala,EHC Biel-Bienne,forwarder,52,16,20,36,2,4,12,168,55818,0.308,0.385,0.692,3.231,1073.42
Dario Rohrbach,SCL Tigers,forwarder,52,13,22,35,3,6,6,116,53175,0.25,0.423,0.673,2.231,1022.6
Tino Kessler,HC Davos,forwarder,56,16,19,35,6,14,9,94,53395,0.286,0.339,0.625,1.679,953.48
Michael Kapla,Fribourg-Gottéron,defender,61,12,23,35,8,18,10,103,74967,0.197,0.377,0.574,1.689,1228.97
Enzo Corvi,HC Davos,forwarder,37,10,24,34,5,12,23,33,37166,0.27,0.649,0.919,0.892,1004.49
Calvin Thürkauf,HC Lugano,forwarder,53,15,19,34,14,34,1,146,58158,0.283,0.358,0.642,2.755,1097.32
Jacob De la Rose,Fribourg-Gottéron,forwarder,61,21,13,34,10,24,-14,113,68297,0.344,0.213,0.557,1.852,1119.62
Gaëtan Haas,EHC Biel-Bienne,forwarder,54,9,24,33,8,20,12,99,56008,0.167,0.444,0.611,1.833,1037.19
Valentin Nussbaumer,HC Davos,forwarder,56,12,21,33,7,14,17,71,51724,0.214,0.375,0.589,1.268,923.64
Yannick Rathgeb,Fribourg-Gottéron,defender,60,10,23,33,12,28,4,118,67728,0.167,0.383,0.55,1.967,1128.8
Marcus Sörensen,Fribourg-Gottéron,forwarder,32,8,24,32,2,6,7,78,37384,0.25,0.75,1.0,2.438,1168.25
Victor Ejdsell,SC Bern,forwarder,41,14,18,32,10,22,2,135,50076,0.341,0.439,0.78,3.293,1221.37
Jan Kovar,EV Zug,forwarder,56,11,21,32,14,32,-13,74,62299,0.196,0.375,0.571,1.321,1112.48
